source,target,edge_type,confidence,evidence_source,notes
NBR_FAR,P_P001,contains_export_entry,HIGH,E01,Neighborhood membership only; not a Connected Papers similarity edge.
NBR_SPIKE,P_P001,contains_export_entry,HIGH,E02,Neighborhood membership only; not a Connected Papers similarity edge.
NBR_FAR,P_P002,contains_export_entry,HIGH,E01,Neighborhood membership only; not a Connected Papers similarity edge.
NBR_FAR,P_P003,contains_export_entry,HIGH,E01,Neighborhood membership only; not a Connected Papers similarity edge.
NBR_SPIKE,P_P004,contains_export_entry,HIGH,E02,Neighborhood membership only; not a Connected Papers similarity edge.
NBR_FAR,P_P005,contains_export_entry,HIGH,E01,Neighborhood membership only; not a Connected Papers similarity edge.
NBR_SPIKE,P_P006,contains_export_entry,HIGH,E02,Neighborhood membership only; not a Connected Papers similarity edge.
NBR_FAR,P_P007,contains_export_entry,HIGH,E01,Neighborhood membership only; not a Connected Papers similarity edge.
NBR_SPIKE,P_P008,contains_export_entry,HIGH,E02,Neighborhood membership only; not a Connected Papers similarity edge.
NBR_FAR,P_P009,contains_export_entry,HIGH,E01,Neighborhood membership only; not a Connected Papers similarity edge.
NBR_SPIKE,P_P010,contains_export_entry,HIGH,E02,Neighborhood membership only; not a Connected Papers similarity edge.
NBR_FAR,P_P011,contains_export_entry,HIGH,E01,Neighborhood membership only; not a Connected Papers similarity edge.
NBR_SPIKE,P_P012,contains_export_entry,HIGH,E02,Neighborhood membership only; not a Connected Papers similarity edge.
NBR_FAR,P_P013,contains_export_entry,HIGH,E01,Neighborhood membership only; not a Connected Papers similarity edge.
NBR_SPIKE,P_P013,contains_export_entry,HIGH,E02,Neighborhood membership only; not a Connected Papers similarity edge.
NBR_FAR,P_P014,contains_export_entry,HIGH,E01,Neighborhood membership only; not a Connected Papers similarity edge.
NBR_SPIKE,P_P015,contains_export_entry,HIGH,E02,Neighborhood membership only; not a Connected Papers similarity edge.
NBR_FAR,P_P016,contains_export_entry,HIGH,E01,Neighborhood membership only; not a Connected Papers similarity edge.
NBR_SPIKE,P_P017,contains_export_entry,HIGH,E02,Neighborhood membership only; not a Connected Papers similarity edge.
NBR_FAR,P_P018,contains_export_entry,HIGH,E01,Neighborhood membership only; not a Connected Papers similarity edge.
NBR_SPIKE,P_P018,contains_export_entry,HIGH,E02,Neighborhood membership only; not a Connected Papers similarity edge.
NBR_SPIKE,P_P019,contains_export_entry,HIGH,E02,Neighborhood membership only; not a Connected Papers similarity edge.
NBR_FAR,P_P020,contains_export_entry,HIGH,E01,Neighborhood membership only; not a Connected Papers similarity edge.
NBR_FAR,P_P021,contains_export_entry,HIGH,E01,Neighborhood membership only; not a Connected Papers similarity edge.
NBR_FAR,P_P022,contains_export_entry,HIGH,E01,Neighborhood membership only; not a Connected Papers similarity edge.
NBR_FAR,P_P023,contains_export_entry,HIGH,E01,Neighborhood membership only; not a Connected Papers similarity edge.
NBR_SPIKE,P_P023,contains_export_entry,HIGH,E02,Neighborhood membership only; not a Connected Papers similarity edge.
