"source_paper_id","queried_doi","crossref_doi","crossref_type","published_year","canonical_title","container_title","volume","page","article_number","publisher","source_url","retrieved_utc"
"P001","10.1145/3732785","10.1145/3732785","journal-article","2025","Adaptive Target-Oriented Tracking","ACM Transactions on Intelligent Systems and Technology","16","1-15",,"Association for Computing Machinery (ACM)","https://doi.org/10.1145/3732785","2026-08-30"
"P002","10.1016/j.patcog.2024.111278","10.1016/j.patcog.2024.111278","journal-article","2025","Adaptively bypassing vision transformer blocks for efficient visual tracking","Pattern Recognition","161","111278","111278","Elsevier BV","https://doi.org/10.1016/j.patcog.2024.111278","2026-08-30"
"P003","10.1016/j.knosys.2026.115369","10.1016/j.knosys.2026.115369","journal-article","2026","AdaptTrack: Perception field adaptation with contrastive attention for robust visual tracking","Knowledge-Based Systems","337","115369","115369","Elsevier BV","https://doi.org/10.1016/j.knosys.2026.115369","2026-08-30"
"P004","10.1109/cvpr52733.2024.01826","10.1109/cvpr52733.2024.01826","proceedings-article","2024","Autoregressive Queries for Adaptive Tracking with Spatio-Temporal Transformers","2024 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)",,"19300-19309",,"IEEE","https://doi.org/10.1109/cvpr52733.2024.01826","2026-08-30"
"P005","10.1109/cvpr52734.2025.00680","10.1109/cvpr52734.2025.00680","proceedings-article","2025","Autoregressive Sequential Pretraining for Visual Tracking","2025 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)",,"7254-7264",,"IEEE","https://doi.org/10.1109/cvpr52734.2025.00680","2026-08-30"
"P006","10.1109/tiv.2024.3422806","10.1109/tiv.2024.3422806","journal-article","2025","AViTMP: A Tracking-Specific Transformer for Single-Branch Visual Tracking","IEEE Transactions on Intelligent Vehicles","10","1087-1100",,"Institute of Electrical and Electronics Engineers (IEEE)","https://doi.org/10.1109/tiv.2024.3422806","2026-08-30"
"P007","10.1109/tce.2025.3547962","10.1109/tce.2025.3547962","journal-article","2025","CasCenter: A Cascaded Center Network for Visual Tracking","IEEE Transactions on Consumer Electronics","71","2864-2875",,"Institute of Electrical and Electronics Engineers (IEEE)","https://doi.org/10.1109/tce.2025.3547962","2026-08-30"
"P008","10.1109/ainit59027.2023.10212501","10.1109/ainit59027.2023.10212501","proceedings-article","2023","CATrack: Combining Convolutional and Attentional Methods for Visual Object Tracking","2023 4th International Seminar on Artificial Intelligence, Networking and Information Technology (AINIT)",,"682-686",,"IEEE","https://doi.org/10.1109/ainit59027.2023.10212501","2026-08-30"
"P009","10.1016/j.neucom.2025.132340","10.1016/j.neucom.2025.132340","journal-article","2026","CausTrack: Visual tracking via structural causality and deconfounded feature learning","Neurocomputing","668","132340","132340","Elsevier BV","https://doi.org/10.1016/j.neucom.2025.132340","2026-08-30"
"P010","10.1109/iccv51070.2023.00915","10.1109/iccv51070.2023.00915","proceedings-article","2023","CiteTracker: Correlating Image and Text for Visual Tracking","2023 IEEE/CVF International Conference on Computer Vision (ICCV)",,"9940-9949",,"IEEE","https://doi.org/10.1109/iccv51070.2023.00915","2026-08-30"
