provisional_id,candidate_scope,source_type,title,authors,year,venue_or_status,stable_url,official_repo_if_any,collision_class,used_for,important_limit
HG6N2-P01,CX044,peer_reviewed_conference,"Learning Policies for Adaptive Tracking With Deep Feature Cascades","Chen Huang; Simon Lucey; Deva Ramanan",2017,"ICCV 2017","https://openaccess.thecvf.com/content_ICCV_2017/papers/Huang_Learning_Policies_for_ICCV_2017_paper.pdf","",DIRECT_COLLISION,"frame-difficulty-conditioned feature depth in single-object tracking","pre-Transformer cascade; does not test AsymTrack T/S/B or the exact LR/VC/FM factorial"
HG6N2-P02,CX058,peer_reviewed_conference,"Depth-Adaptive Computational Policies for Efficient Visual Tracking","Chris Ying; Katerina Fragkiadaki",2017,"EMMCVPR 2017; revised LNCS 10746 published 2018","https://doi.org/10.1007/978-3-319-78199-0_8","",DIRECT_COLLISION,"clutter, scene complexity, motion and target distinctiveness as determinants of tracking depth","pre-Transformer Siamese tracker; no HiT Bridge or Route1/Route2 implementation"
HG6N2-P03,BOTH,peer_reviewed_journal,"Early Exiting-Enabled Siamese Tracking for Edge Intelligence Applications","Mohammad Fahd Hussein; Serkan Özbay",2021,"IEEE Access 9","https://doi.org/10.1109/ACCESS.2021.3119604","",PARTIAL_COLLISION,"score-threshold early exit on easier frames and deeper tracking computation on harder frames","no distractor-conditioned calibration or AsymTrack LR/VC/FM family-point coupling; reported robustness trade-off"
HG6N2-P04,CX044,peer_reviewed_conference,"POST: POlicy-Based Switch Tracking","Ning Wang; Wengang Zhou; Guojun Qi; Houqiang Li",2020,"AAAI 2020","https://ojs.aaai.org/index.php/AAAI/article/view/6899","",PARTIAL_COLLISION,"per-frame policy selection among tracker experts","switches complete experts rather than allocating depth or resolution inside AsymTrack"
HG6N2-P05,BOTH,peer_reviewed_journal,"Exploring Dynamic Transformer for Efficient Object Tracking","Jiawen Zhu; Xin Chen; Haiwen Diao; Shuai Li; Jun-Yan He; Chenyang Li; Bin Luo; Dong Wang; Huchuan Lu",2025,"IEEE TNNLS 36(8); arXiv v1 2024-03-26","https://doi.org/10.1109/TNNLS.2025.3545752","",DIRECT_COLLISION,"easy/hard route allocation and attribute-level evidence that frame conditions change useful computation","does not instantiate AsymTrack T/S/B or HiT Bridge; pre-baseline text is https://arxiv.org/abs/2403.17651v1; exact forced-route regret remains unmeasured"
HG6N2-P06,BOTH,peer_reviewed_journal,"Adaptively Bypassing Vision Transformer Blocks for Efficient Visual Tracking","Xiangyang Yang; Dan Zeng; Xucheng Wang; You Wu; Hengzhou Ye; Qijun Zhao; Shuiwang Li",2025,"Pattern Recognition 161:111278; arXiv v1 2024-06-12","https://doi.org/10.1016/j.patcog.2024.111278","https://github.com/xyyang317/ABTrack",DIRECT_COLLISION,"scene-conditioned activation or bypass of tracker Transformer blocks","same-task dynamic block allocation but not the exact AsymTrack factorial or HiT paired-route regret; repository was README-only at audit"
HG6N2-P07,BOTH,peer_reviewed_conference,"Learning Adaptive and View-Invariant Vision Transformer for Real-Time UAV Tracking","Yongxin Li; Mengyuan Liu; You Wu; Xucheng Wang; Xiangyang Yang; Shuiwang Li",2024,"ICML 2024; PMLR 235","https://proceedings.mlr.press/v235/li24ax.html","https://github.com/wuyou3474/AVTrack",PARTIAL_COLLISION,"adaptive block activation combined with separately learned view-invariant representations","UAV setting; no controlled AsymTrack family-point factorial or HiT paired-route regret"
HG6N2-P08,BOTH,peer_reviewed_conference,"Adaptive and Background-Aware Vision Transformer for Real-Time UAV Tracking","Shuiwang Li; Yangxiang Yang; Dan Zeng; Xucheng Wang",2023,"ICCV 2023","https://openaccess.thecvf.com/content/ICCV2023/html/Li_Adaptive_and_Background-Aware_Vision_Transformer_for_Real-Time_UAV_Tracking_ICCV_2023_paper.html","https://github.com/xyyang317/Aba-ViTrack",PARTIAL_COLLISION,"background-token-aware learned halting with higher prior halting probabilities for background tokens","UAV token halting rather than AsymTrack family allocation or HiT route-calibration regret"
HG6N2-P09,CX058,peer_reviewed_conference,"DiffusionTrack: Point Set Diffusion Model for Visual Object Tracking","Fei Xie; Zhongdao Wang; Chao Ma",2024,"CVPR 2024","https://openaccess.thecvf.com/content/CVPR2024/html/Xie_DiffusionTrack_Point_Set_Diffusion_Model_for_Visual_Object_Tracking_CVPR_2024_paper.html","https://github.com/VISION-SJTU/DiffusionTrack",PARTIAL_COLLISION,"multistage early-exit proposal plus confidence-based hypothesis renewal and distractor robustness","different iterative diffusion core; the supplement does not make confidence the exit trigger and released code does not establish executable early stopping"
HG6N2-P10,CX044,peer_reviewed_conference,"Similarity-Guided Layer-Adaptive Vision Transformer for UAV Tracking","Chaocan Xue; Bineng Zhong; Qihua Liang; Yaozong Zheng; Ning Li; Yuanliang Xue; Shuxiang Song",2025,"CVPR 2025","https://openaccess.thecvf.com/content/CVPR2025/html/Xue_Similarity-Guided_Layer-Adaptive_Vision_Transformer_for_UAV_Tracking_CVPR_2025_paper.html","https://github.com/GXNU-ZhongLab/SGLATrack",PARTIAL_COLLISION,"later-layer selection from inter-layer similarity between saturated search features and candidate subsequent-layer features","UAV setting; no AsymTrack T/S/B LR/VC/FM controlled comparison"
