"resource_id","provider","official_owner","display_name","resource_type","parent_context","byte_size","modified_time_or_na","stable_url","sha256_or_lfs_oid","claimed_variant","mapping_status","evidence_source","notes"
"E1-OR-001","GitHub","faicaiwawa (Qiuyang Zhang)","readme.md at 1537db51a1cc9f6e30cce469fba3e51f5721b3d0","pinned official release index","faicaiwawa/SpikeTrack","5530","2026-04-08T06:08:38Z","https://github.com/faicaiwawa/SpikeTrack/blob/1537db51a1cc9f6e30cce469fba3e51f5721b3d0/readme.md","fbca5f8203a18d2322d2f022dd2dbd16695222b8621d81d81b5f3d32e67d6012","VARIANT_UNRESOLVED","PINNED_RELEASE_INDEX","https://github.com/faicaiwawa/SpikeTrack/blob/1537db51a1cc9f6e30cce469fba3e51f5721b3d0/readme.md","FACT - cited; accessed 2026-08-25. The pinned readme links the Google Drive root as Models and Raw Results and links facaiwawa/SpikeTrack on Hugging Face as Models. Commit date is used as the pinned-source timestamp, not as a per-file upload time."
"E1-OR-002","GitHub","faicaiwawa (Qiuyang Zhang)","experiments/spiketrack/spiketrack_s256_t1.yaml","pinned YAML configuration","faicaiwawa/SpikeTrack @ 1537db51a1cc9f6e30cce469fba3e51f5721b3d0","1299","2026-04-08T06:08:38Z","https://github.com/faicaiwawa/SpikeTrack/blob/1537db51a1cc9f6e30cce469fba3e51f5721b3d0/experiments/spiketrack/spiketrack_s256_t1.yaml","sha256:9a352f3e98ecdbce2355a95399752a1bc772c90ad9ddcab2ad35951d0c6366f8; git_blob:d633e212607fa3400688cbd67840e91596fcf83b","S256_T1_CONFIRMED","CONFIG_VARIANT_CONFIRMED","https://github.com/faicaiwawa/SpikeTrack/blob/1537db51a1cc9f6e30cce469fba3e51f5721b3d0/experiments/spiketrack/spiketrack_s256_t1.yaml","FACT - inspected at pinned commit; accessed 2026-08-25. Filename and TEST.NUM_TEMPLATES=1 establish the variant; no raw-result association is inferred from accuracy."
"E1-OR-003","GitHub","faicaiwawa (Qiuyang Zhang)","experiments/spiketrack/spiketrack_s256_t3.yaml","pinned YAML configuration","faicaiwawa/SpikeTrack @ 1537db51a1cc9f6e30cce469fba3e51f5721b3d0","1386","2026-04-08T06:08:38Z","https://github.com/faicaiwawa/SpikeTrack/blob/1537db51a1cc9f6e30cce469fba3e51f5721b3d0/experiments/spiketrack/spiketrack_s256_t3.yaml","sha256:369e0ed9e237909bd693b33252068fc9a0ac447eb50a1969579602164695f240; git_blob:c229dc7d758364a0094e62b6563afb2882e88f12","S256_T3_CONFIRMED","CONFIG_VARIANT_CONFIRMED","https://github.com/faicaiwawa/SpikeTrack/blob/1537db51a1cc9f6e30cce469fba3e51f5721b3d0/experiments/spiketrack/spiketrack_s256_t3.yaml","FACT - inspected at pinned commit; accessed 2026-08-25. Filename and TEST.NUM_TEMPLATES=3 establish the variant; no raw-result association is inferred from accuracy."
"E1-OR-004","Google Drive","SpikeTrack authors (author-linked from pinned official README)","spiketrack","public release root folder","README-linked Google Drive root","NA","NA","https://drive.google.com/drive/folders/1G9DhjfhmiRz_9JxxlbHbOnuYZBAmhLOG","NA","VARIANT_UNRESOLVED","AUTHOR_LINKED_COLLECTION","https://drive.google.com/drive/folders/1G9DhjfhmiRz_9JxxlbHbOnuYZBAmhLOG","FACT - cited; accessed 2026-08-25. Public folder ID 1G9DhjfhmiRz_9JxxlbHbOnuYZBAmhLOG contains model_weight, raw_results, spike_firing_rate_excel and training_logs."
"E1-OR-005","Google Drive","SpikeTrack authors (author-linked from pinned official README)","model_weight","public folder","spiketrack/","NA","NA","https://drive.google.com/drive/folders/1FvPk3EiIBdp-AUIPVkF9WuwjLdrX67yx","NA","VARIANT_UNRESOLVED","AUTHOR_LINKED_MODEL_COLLECTION","https://drive.google.com/drive/folders/1FvPk3EiIBdp-AUIPVkF9WuwjLdrX67yx","FACT - cited; accessed 2026-08-25. Folder ID 1FvPk3EiIBdp-AUIPVkF9WuwjLdrX67yx is a direct child of the README-linked release root."
"E1-OR-006","Google Drive","SpikeTrack authors (author-linked from pinned official README)","raw_results","public folder","spiketrack/","NA","NA","https://drive.google.com/drive/folders/1HNd8EdpHLf3Ly1leuDVQDOBsDg3uaSsq","NA","VARIANT_UNRESOLVED","AUTHOR_LINKED_RAW_COLLECTION","https://drive.google.com/drive/folders/1HNd8EdpHLf3Ly1leuDVQDOBsDg3uaSsq","FACT - cited; accessed 2026-08-25. Folder ID 1HNd8EdpHLf3Ly1leuDVQDOBsDg3uaSsq is a direct child of the README-linked release root and publicly lists six variant-named raw-result ZIPs."
"E1-OR-007","Hugging Face","facaiwawa (author-linked from pinned official README)","facaiwawa/SpikeTrack","public model repository","Hugging Face model hub","786593394","2026-03-02T11:31:00Z","https://huggingface.co/facaiwawa/SpikeTrack/tree/b234055d3afd766e1b37f309bf2878dba247aa10","repo_commit:b234055d3afd766e1b37f309bf2878dba247aa10","VARIANT_UNRESOLVED","AUTHOR_LINKED_MODEL_COLLECTION","https://huggingface.co/api/models/facaiwawa/SpikeTrack/tree/main?recursive=true&expand=true","FACT - cited; accessed 2026-08-25. Public API lists exactly six variant-named checkpoint files; usedStorage is repository-level and is not a file transfer."
"E1-OR-008","Google Drive","SpikeTrack authors (author-linked from pinned official README)","spiketrack_s256_t1.pth.tar","checkpoint","spiketrack/model_weight/ (folder 1FvPk3EiIBdp-AUIPVkF9WuwjLdrX67yx)","47912371","2026-02-25T08:48:26.342Z","https://drive.google.com/file/d/1lYRgqBezTBVo9mGiISGH3rMb3R7m4Ezj/view","DRIVE_CHECKSUM_NOT_EXPOSED; corresponding author-linked HF LFS sha256:cf5c078ef7741109b8db8f8dd66b322b0814bf787ad56a5cdd5594dd2a8b85df","S256_T1_CONFIRMED","CHECKPOINT_NAME_AND_FOLDER_CONFIRMED","https://drive.google.com/drive/folders/1FvPk3EiIBdp-AUIPVkF9WuwjLdrX67yx","FACT - cited; accessed 2026-08-25. MIME application/x-tar and exact byte size come from public Drive metadata. Not downloaded in E1."
"E1-OR-009","Google Drive","SpikeTrack authors (author-linked from pinned official README)","spiketrack_s256_t3.pth.tar","checkpoint","spiketrack/model_weight/ (folder 1FvPk3EiIBdp-AUIPVkF9WuwjLdrX67yx)","51865011","2026-02-25T08:48:47.722Z","https://drive.google.com/file/d/179vAViU-gEglLfg0B-_c2e_sL2XgVK0M/view","DRIVE_CHECKSUM_NOT_EXPOSED; corresponding author-linked HF LFS sha256:ccf04aa90521b21a78b12f4b978c03d8a69b5f6de3ee3498a3594e13e98aa491","S256_T3_CONFIRMED","CHECKPOINT_NAME_AND_FOLDER_CONFIRMED","https://drive.google.com/drive/folders/1FvPk3EiIBdp-AUIPVkF9WuwjLdrX67yx","FACT - cited; accessed 2026-08-25. MIME application/x-tar and exact byte size come from public Drive metadata. Not downloaded in E1."
"E1-OR-010","Hugging Face","facaiwawa (author-linked from pinned official README)","spiketrack_s256_t1.pth.tar","Git LFS checkpoint","facaiwawa/SpikeTrack @ b234055d3afd766e1b37f309bf2878dba247aa10","47912371","2026-03-02T11:05:42Z","https://huggingface.co/facaiwawa/SpikeTrack/blob/b234055d3afd766e1b37f309bf2878dba247aa10/spiketrack_s256_t1.pth.tar","lfs_sha256:cf5c078ef7741109b8db8f8dd66b322b0814bf787ad56a5cdd5594dd2a8b85df","S256_T1_CONFIRMED","CHECKPOINT_BYTES_IDENTIFIED_BY_LFS","https://huggingface.co/api/models/facaiwawa/SpikeTrack/tree/main?recursive=true&expand=true","FACT - cited; accessed 2026-08-25. API path, size and LFS OID explicitly identify S256-T1; no E1 checkpoint download."
