comparison_id,sequence,copy_id,copy_role,acquired_sequence_path,existing_sequence_path,official_start_frame,official_end_frame,comparison_end_frame,acquired_frame_count,existing_frame_count,acquired_raw_image_sha256,existing_raw_image_sha256,raw_image_identical,acquired_decoded_bgr_sha256,existing_decoded_bgr_sha256,decoded_bgr_identical,acquired_decoded_rgb_sha256,existing_decoded_rgb_sha256,decoded_rgb_identical,acquired_raw_gt_sha256,existing_raw_gt_sha256,raw_gt_identical,acquired_normalized_gt_sha256,existing_normalized_gt_sha256,normalized_gt_identical,first_gt_box,last_gt_box,classification,duplicate_copy_identity,notes
E2-ID-001,Deer,DEER_TRACA_ACTIVE,PREEXISTING_ACTIVE,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Deer,E:\Robot_Backup\TrackingResearch-master\OtherTracker\verified\TRACA-master\sequence\Deer,1,71,71,71,71,f37846c88f99a51b51c58b291132961a505fc4b81290341c2bfc0155ba8eee74,f37846c88f99a51b51c58b291132961a505fc4b81290341c2bfc0155ba8eee74,true,2adabee524086e86279de9b8037dd8d54c7a476e7f8ad7dd936aa4a545f4a64a,2adabee524086e86279de9b8037dd8d54c7a476e7f8ad7dd936aa4a545f4a64a,true,48f5599eb6b3be4bc5f61aea417b01c6581f84c0b469f7497a20436e10cccbf4,48f5599eb6b3be4bc5f61aea417b01c6581f84c0b469f7497a20436e10cccbf4,true,f22bd21c55d23f24371993e4e5f36b09b744a204953a7de4654e99358900ad59,f22bd21c55d23f24371993e4e5f36b09b744a204953a7de4654e99358900ad59,true,f22bd21c55d23f24371993e4e5f36b09b744a204953a7de4654e99358900ad59,f22bd21c55d23f24371993e4e5f36b09b744a204953a7de4654e99358900ad59,true,"[306,5,95,65]","[371,58,80,50]",BYTE_IDENTICAL_TO_ACQUIRED,DUP-DEER-f2e9fbae1fb81746,complete official range 1-71; hash_window=1-71; local_numeric_jpg_count=71; local_gt_rows=71; duplicate_group_size=3
E2-ID-002,Deer,DEER_SCT4_ACTIVE,PREEXISTING_ACTIVE,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Deer,E:\Robot_Backup\TrackingResearch-master\OtherTracker\verified\SCT4\SCT4\Deer,1,71,71,71,71,f37846c88f99a51b51c58b291132961a505fc4b81290341c2bfc0155ba8eee74,f37846c88f99a51b51c58b291132961a505fc4b81290341c2bfc0155ba8eee74,true,2adabee524086e86279de9b8037dd8d54c7a476e7f8ad7dd936aa4a545f4a64a,2adabee524086e86279de9b8037dd8d54c7a476e7f8ad7dd936aa4a545f4a64a,true,48f5599eb6b3be4bc5f61aea417b01c6581f84c0b469f7497a20436e10cccbf4,48f5599eb6b3be4bc5f61aea417b01c6581f84c0b469f7497a20436e10cccbf4,true,f22bd21c55d23f24371993e4e5f36b09b744a204953a7de4654e99358900ad59,f22bd21c55d23f24371993e4e5f36b09b744a204953a7de4654e99358900ad59,true,f22bd21c55d23f24371993e4e5f36b09b744a204953a7de4654e99358900ad59,f22bd21c55d23f24371993e4e5f36b09b744a204953a7de4654e99358900ad59,true,"[306,5,95,65]","[371,58,80,50]",BYTE_IDENTICAL_TO_ACQUIRED,DUP-DEER-f2e9fbae1fb81746,complete official range 1-71; hash_window=1-71; local_numeric_jpg_count=71; local_gt_rows=71; duplicate_group_size=3
E2-ID-003,Deer,DEER_TRACA_ARCHIVE,PREEXISTING_ARCHIVE,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Deer,E:\Robot_Backup\Crash_NotUse_Yet\TrackingResearch\OtherTracker\verified\TRACA-master\sequence\Deer,1,71,71,71,71,f37846c88f99a51b51c58b291132961a505fc4b81290341c2bfc0155ba8eee74,f37846c88f99a51b51c58b291132961a505fc4b81290341c2bfc0155ba8eee74,true,2adabee524086e86279de9b8037dd8d54c7a476e7f8ad7dd936aa4a545f4a64a,2adabee524086e86279de9b8037dd8d54c7a476e7f8ad7dd936aa4a545f4a64a,true,48f5599eb6b3be4bc5f61aea417b01c6581f84c0b469f7497a20436e10cccbf4,48f5599eb6b3be4bc5f61aea417b01c6581f84c0b469f7497a20436e10cccbf4,true,f22bd21c55d23f24371993e4e5f36b09b744a204953a7de4654e99358900ad59,e775d1f305ce0f22043a13c4ca4437e01c3b7e661189b4b3f56fc8fe81686a83,false,f22bd21c55d23f24371993e4e5f36b09b744a204953a7de4654e99358900ad59,f22bd21c55d23f24371993e4e5f36b09b744a204953a7de4654e99358900ad59,true,"[306,5,95,65]","[371,58,80,50]",PIXEL_IDENTICAL_GT_IDENTICAL,DUP-DEER-8f8d5d5427f49761,complete official range 1-71; hash_window=1-71; local_numeric_jpg_count=71; local_gt_rows=71; duplicate_group_size=2
E2-ID-004,Deer,DEER_SCT4_ARCHIVE,PREEXISTING_ARCHIVE,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Deer,E:\Robot_Backup\Crash_NotUse_Yet\TrackingResearch\OtherTracker\verified\SCT4\SCT4\Deer,1,71,71,71,71,f37846c88f99a51b51c58b291132961a505fc4b81290341c2bfc0155ba8eee74,f37846c88f99a51b51c58b291132961a505fc4b81290341c2bfc0155ba8eee74,true,2adabee524086e86279de9b8037dd8d54c7a476e7f8ad7dd936aa4a545f4a64a,2adabee524086e86279de9b8037dd8d54c7a476e7f8ad7dd936aa4a545f4a64a,true,48f5599eb6b3be4bc5f61aea417b01c6581f84c0b469f7497a20436e10cccbf4,48f5599eb6b3be4bc5f61aea417b01c6581f84c0b469f7497a20436e10cccbf4,true,f22bd21c55d23f24371993e4e5f36b09b744a204953a7de4654e99358900ad59,e775d1f305ce0f22043a13c4ca4437e01c3b7e661189b4b3f56fc8fe81686a83,false,f22bd21c55d23f24371993e4e5f36b09b744a204953a7de4654e99358900ad59,f22bd21c55d23f24371993e4e5f36b09b744a204953a7de4654e99358900ad59,true,"[306,5,95,65]","[371,58,80,50]",PIXEL_IDENTICAL_GT_IDENTICAL,DUP-DEER-8f8d5d5427f49761,complete official range 1-71; hash_window=1-71; local_numeric_jpg_count=71; local_gt_rows=71; duplicate_group_size=2
E2-ID-005,Deer,DEER_STAGE4A_R_DERIVED,STAGED_DERIVED,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Deer,E:\Robot_Backup\tmp\stage4A_R_otb3\Deer,1,71,71,71,71,f37846c88f99a51b51c58b291132961a505fc4b81290341c2bfc0155ba8eee74,f37846c88f99a51b51c58b291132961a505fc4b81290341c2bfc0155ba8eee74,true,2adabee524086e86279de9b8037dd8d54c7a476e7f8ad7dd936aa4a545f4a64a,2adabee524086e86279de9b8037dd8d54c7a476e7f8ad7dd936aa4a545f4a64a,true,48f5599eb6b3be4bc5f61aea417b01c6581f84c0b469f7497a20436e10cccbf4,48f5599eb6b3be4bc5f61aea417b01c6581f84c0b469f7497a20436e10cccbf4,true,f22bd21c55d23f24371993e4e5f36b09b744a204953a7de4654e99358900ad59,f22bd21c55d23f24371993e4e5f36b09b744a204953a7de4654e99358900ad59,true,f22bd21c55d23f24371993e4e5f36b09b744a204953a7de4654e99358900ad59,f22bd21c55d23f24371993e4e5f36b09b744a204953a7de4654e99358900ad59,true,"[306,5,95,65]","[371,58,80,50]",BYTE_IDENTICAL_TO_ACQUIRED,DUP-DEER-f2e9fbae1fb81746,complete staged derivative of official range 1-71; hash_window=1-71; local_numeric_jpg_count=71; local_gt_rows=71; duplicate_group_size=3
E2-ID-006,Crossing,CROSSING_ECO_ACTIVE,PREEXISTING_ACTIVE,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Crossing,E:\Robot_Backup\TrackingResearch-master\OtherTracker\verified\ECO-master\sequences\Crossing,1,120,120,120,120,a437afa353ceeadd8e40cb22fa5cce70b393a1f06d60a4cdbc75af656bdcca31,a437afa353ceeadd8e40cb22fa5cce70b393a1f06d60a4cdbc75af656bdcca31,true,3a3adb4c377e8659aef540174adb5655745778f9be3c5ac4a42cc080a3a41202,3a3adb4c377e8659aef540174adb5655745778f9be3c5ac4a42cc080a3a41202,true,5e70f8944f1d232887b32c4e8f83901c03d180b5f3ab9b0b73afde8bc5e5f708,5e70f8944f1d232887b32c4e8f83901c03d180b5f3ab9b0b73afde8bc5e5f708,true,3588d1821b80f8bc7f88645cbfca32454d474135d7841f85b304615fecf54ac4,327f7a5ad6f5f84a9ba1c7d35c77e1bf60bb5bf93d10a092876a35bbc8bc68a8,false,e4e611770e13ce9e25c03d4fad30957b7717228f1e28415058d0fc53c90b62e1,e4e611770e13ce9e25c03d4fad30957b7717228f1e28415058d0fc53c90b62e1,true,"[205,151,17,50]","[56,93,14,36]",PIXEL_IDENTICAL_GT_IDENTICAL,DUP-CROSSING-d8ba399855825477,complete official range 1-120; hash_window=1-120; local_numeric_jpg_count=120; local_gt_rows=120; duplicate_group_size=2
E2-ID-007,Crossing,CROSSING_ECO_ARCHIVE,PREEXISTING_ARCHIVE,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Crossing,E:\Robot_Backup\Crash_NotUse_Yet\TrackingResearch\OtherTracker\verified\ECO-master\sequences\Crossing,1,120,120,120,120,a437afa353ceeadd8e40cb22fa5cce70b393a1f06d60a4cdbc75af656bdcca31,a437afa353ceeadd8e40cb22fa5cce70b393a1f06d60a4cdbc75af656bdcca31,true,3a3adb4c377e8659aef540174adb5655745778f9be3c5ac4a42cc080a3a41202,3a3adb4c377e8659aef540174adb5655745778f9be3c5ac4a42cc080a3a41202,true,5e70f8944f1d232887b32c4e8f83901c03d180b5f3ab9b0b73afde8bc5e5f708,5e70f8944f1d232887b32c4e8f83901c03d180b5f3ab9b0b73afde8bc5e5f708,true,3588d1821b80f8bc7f88645cbfca32454d474135d7841f85b304615fecf54ac4,517efde603176e40e9c6b50520900d9dbfa1e18bcb4c2b1ea66c9fe141057b90,false,e4e611770e13ce9e25c03d4fad30957b7717228f1e28415058d0fc53c90b62e1,e4e611770e13ce9e25c03d4fad30957b7717228f1e28415058d0fc53c90b62e1,true,"[205,151,17,50]","[56,93,14,36]",PIXEL_IDENTICAL_GT_IDENTICAL,DUP-CROSSING-2493e917c4908ed2,complete official range 1-120; hash_window=1-120; local_numeric_jpg_count=120; local_gt_rows=120; duplicate_group_size=1
E2-ID-008,Crossing,CROSSING_STAGE4A_R_DERIVED,STAGED_DERIVED,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Crossing,E:\Robot_Backup\tmp\stage4A_R_otb3\Crossing,1,120,120,120,120,a437afa353ceeadd8e40cb22fa5cce70b393a1f06d60a4cdbc75af656bdcca31,a437afa353ceeadd8e40cb22fa5cce70b393a1f06d60a4cdbc75af656bdcca31,true,3a3adb4c377e8659aef540174adb5655745778f9be3c5ac4a42cc080a3a41202,3a3adb4c377e8659aef540174adb5655745778f9be3c5ac4a42cc080a3a41202,true,5e70f8944f1d232887b32c4e8f83901c03d180b5f3ab9b0b73afde8bc5e5f708,5e70f8944f1d232887b32c4e8f83901c03d180b5f3ab9b0b73afde8bc5e5f708,true,3588d1821b80f8bc7f88645cbfca32454d474135d7841f85b304615fecf54ac4,327f7a5ad6f5f84a9ba1c7d35c77e1bf60bb5bf93d10a092876a35bbc8bc68a8,false,e4e611770e13ce9e25c03d4fad30957b7717228f1e28415058d0fc53c90b62e1,e4e611770e13ce9e25c03d4fad30957b7717228f1e28415058d0fc53c90b62e1,true,"[205,151,17,50]","[56,93,14,36]",PIXEL_IDENTICAL_GT_IDENTICAL,DUP-CROSSING-d8ba399855825477,complete staged derivative of official range 1-120; hash_window=1-120; local_numeric_jpg_count=120; local_gt_rows=120; duplicate_group_size=2
E2-ID-009,Couple,COUPLE_SRDCF_ACTIVE,PREEXISTING_ACTIVE,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Couple,E:\Robot_Backup\TrackingResearch-master\OtherTracker\verified\SRDCF\SRDCF\sequences\Couple,1,140,140,140,140,9bed301d06b232b68663644b3f33185de2dc94a9478106d5c54683dab55aaca4,9bed301d06b232b68663644b3f33185de2dc94a9478106d5c54683dab55aaca4,true,c84f66885c431e279ee0e3d87dbc01721526826db9e791f6d98dd3cee797473b,c84f66885c431e279ee0e3d87dbc01721526826db9e791f6d98dd3cee797473b,true,8d372bd441ac969ce419a39012ef252a12e6a553916a8b4b5a2fa4535fd4c86a,8d372bd441ac969ce419a39012ef252a12e6a553916a8b4b5a2fa4535fd4c86a,true,43c6d304f9f65b28940389429dfdbd33e544075c6b8d3c00e0c72558dac55d10,87e15af91c0799149f5098bcd6182acd239a3ea08791653639ba9f2f44bd3bda,false,3d0a6d4e112f3c4c309871c28475d4d42877219c7aee56a4faf4c027e5f4f0f1,3d0a6d4e112f3c4c309871c28475d4d42877219c7aee56a4faf4c027e5f4f0f1,true,"[51,47,25,62]","[130,25,39,90]",PIXEL_IDENTICAL_GT_IDENTICAL,DUP-COUPLE-4657a235c23c45d1,complete official range 1-140; hash_window=1-140; local_numeric_jpg_count=140; local_gt_rows=140; duplicate_group_size=2
E2-ID-010,Couple,COUPLE_SRDCF_ARCHIVE,PREEXISTING_ARCHIVE,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Couple,E:\Robot_Backup\Crash_NotUse_Yet\TrackingResearch\OtherTracker\verified\SRDCF\SRDCF\sequences\Couple,1,140,140,140,140,9bed301d06b232b68663644b3f33185de2dc94a9478106d5c54683dab55aaca4,9bed301d06b232b68663644b3f33185de2dc94a9478106d5c54683dab55aaca4,true,c84f66885c431e279ee0e3d87dbc01721526826db9e791f6d98dd3cee797473b,c84f66885c431e279ee0e3d87dbc01721526826db9e791f6d98dd3cee797473b,true,8d372bd441ac969ce419a39012ef252a12e6a553916a8b4b5a2fa4535fd4c86a,8d372bd441ac969ce419a39012ef252a12e6a553916a8b4b5a2fa4535fd4c86a,true,43c6d304f9f65b28940389429dfdbd33e544075c6b8d3c00e0c72558dac55d10,ff297d420c3ca8c658e3f605af7c2674cd86522a12e771e4e8574c32781b19b2,false,3d0a6d4e112f3c4c309871c28475d4d42877219c7aee56a4faf4c027e5f4f0f1,3d0a6d4e112f3c4c309871c28475d4d42877219c7aee56a4faf4c027e5f4f0f1,true,"[51,47,25,62]","[130,25,39,90]",PIXEL_IDENTICAL_GT_IDENTICAL,DUP-COUPLE-3158023b7f5812d9,complete official range 1-140; hash_window=1-140; local_numeric_jpg_count=140; local_gt_rows=140; duplicate_group_size=1
