record_id,record_type,dataset,provider,provider_record_or_file_id,display_name_or_sequence,external_path,byte_count_or_na,md5_or_na,sha256_or_na,frame_count_or_na,ground_truth_filename_or_na,status,evidence_source,notes
E2-SRC-001,SOURCE_RECORD,OTB100 / OTB-2015,Figshare,24427468 / 42879853,Figshare OTB2015 v1 source record,https://doi.org/10.6084/m9.figshare.24427468.v1,NA,NA,NA,NA,NA,VERIFIED,https://api.figshare.com/v2/articles/24427468,Public Figshare API confirms sole file 42879853 named OTB2015.zip; recorded licence CC BY 4.0.
E2-SRC-002,ARCHIVE,OTB100 / OTB-2015,Figshare,42879853,OTB2015.zip,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\archive\OTB2015.zip,2722980405,342b7dcb81142462b8ae9bb835cba6b4,aad6be170d417777a5cee0b99bdd367e540b81f9020ac08b5c96d4d5d5094be5,NA,NA,PASS,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\archive_integrity.json,Exact provider byte count and MD5 match; archive_member_count=58961; file_members=58764; directory_members=197; top_level=OTB2015|Dataset credit.docx; unsafe_entries=0; archive retained externally.
E2-SRC-003,DOWNLOAD,OTB100 / OTB-2015,Figshare,42879853,Authorized Figshare transfer,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\archive\OTB2015.zip,2722980405,342b7dcb81142462b8ae9bb835cba6b4,aad6be170d417777a5cee0b99bdd367e540b81f9020ac08b5c96d4d5d5094be5,NA,NA,PASS,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\manifests\download_response_headers.txt; F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\manifests\download_end.json,curl exit 0; HTTP 200; 602.911 s elapsed; only file ID 42879853 downloaded.
E2-SRC-004,INTEGRITY,OTB100 / OTB-2015,Figshare,42879853,Archive and per-file integrity verification,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\per_file_integrity_summary.json,2730715850,342b7dcb81142462b8ae9bb835cba6b4,aad6be170d417777a5cee0b99bdd367e540b81f9020ac08b5c96d4d5d5094be5,NA,NA,PASS,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\manifests\extracted_file_manifest.csv,ZIP CRC stream test PASS; 58764 non-directory members; missing=0; extra=0; size/CRC/byte mismatches=0; external manifest SHA-256 a58329bea07dc96f9d35ad5d2a22785e23198f90c451da6369f7eaa985625032.
E2-SRC-005,EXTRACTION,OTB100 / OTB-2015,Figshare,42879853,Byte-preserved extracted source,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted,2730715850,NA,NA,NA,NA,CONTENT_COMPLETE_BYTE_VERIFIED_WITH_TIMESTAMP_METADATA_WARNINGS,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\extraction_content_validation.json,bsdtar 3.8.4 wrote 58764 files and 197 directory entries. Exit 1 reflects 58764 exFAT timestamp-restoration warnings and no other error; every file then matched ZIP size and CRC32. Source payload was not renamed or rewritten.
E2-SRC-006,FREE_SPACE,OTB100 / OTB-2015,Local external storage,F:,F: free-space evidence,F:\,966337495040,NA,NA,NA,NA,RECORDED,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\manifests\before_state.json; F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\pre_acquisition_space_reconciliation.json; F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\free_space_after.json,Planning probe at 16:13:35.9741325Z observed 984562270208 free bytes; destination-state record at 16:13:49.8426803Z observed 984560697344; both exceed 6.127 GB. After extraction 966346670080; after full audit 966337495040; exFAT total 999058046976 bytes.
E2-SRC-007,LAYOUT,OTB100 / OTB-2015,Figshare,pinned SpikeTrack OTBDataset,Acquired layout versus pinned evaluator,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015,NA,NA,NA,59035,NA,READY_WITH_NONMUTATING_ALIAS_FOR_5_ENTRIES,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\manifests\otb_evaluator_sequence_inventory.csv; pinned commit 1537db51a1cc9f6e30cce469fba3e51f5721b3d0 lib/test/evaluation/otbdataset.py,"98 physical sequence directories; 100 evaluator entries all source-ready; 95 direct layout matches and 5 nonmutating aliases required: Human4_2, Jogging_1, Jogging_2, Skating2_1, Skating2_2. 102 ground-truth files present."
E2-OTB-001,EVALUATOR_SEQUENCE,OTB100 / OTB-2015,Figshare,24427468 / 42879853,Basketball,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Basketball\img,NA,NA,NA,725,groundtruth_rect.txt,READY_DIRECT,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\manifests\otb_evaluator_sequence_inventory.csv; pinned commit 1537db51a1cc9f6e30cce469fba3e51f5721b3d0 lib/test/evaluation/otbdataset.py,evaluator_path=Basketball/img; evaluator_anno_path=Basketball/groundtruth_rect.txt; effective_range=1-725; layout=DIRECT_MATCH; gt_path=F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Basketball\groundtruth_rect.txt
E2-OTB-002,EVALUATOR_SEQUENCE,OTB100 / OTB-2015,Figshare,24427468 / 42879853,Biker,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Biker\img,NA,NA,NA,142,groundtruth_rect.txt,READY_DIRECT,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\manifests\otb_evaluator_sequence_inventory.csv; pinned commit 1537db51a1cc9f6e30cce469fba3e51f5721b3d0 lib/test/evaluation/otbdataset.py,evaluator_path=Biker/img; evaluator_anno_path=Biker/groundtruth_rect.txt; effective_range=1-142; layout=DIRECT_MATCH; gt_path=F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Biker\groundtruth_rect.txt
E2-OTB-003,EVALUATOR_SEQUENCE,OTB100 / OTB-2015,Figshare,24427468 / 42879853,Bird1,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Bird1\img,NA,NA,NA,408,groundtruth_rect.txt,READY_DIRECT,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\manifests\otb_evaluator_sequence_inventory.csv; pinned commit 1537db51a1cc9f6e30cce469fba3e51f5721b3d0 lib/test/evaluation/otbdataset.py,evaluator_path=Bird1/img; evaluator_anno_path=Bird1/groundtruth_rect.txt; effective_range=1-408; layout=DIRECT_MATCH; gt_path=F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Bird1\groundtruth_rect.txt
