sequence,comparison_role,run_id,runtime_mode,source_dataset_path,ground_truth_sha256,config_sha256,checkpoint_sha256,prediction_path,prediction_sha256,row_count,first_five_rows,last_row,success_auc_percent,released_success_auc_percent,difference_from_released_percentage_points,first_frame_different_from_released,first_iou_below_0_95_frame,first_iou_below_0_75_frame,maximum_component_divergence,maximum_component_divergence_frame,byte_identical_to_released,box_identical_to_released,default_deterministic_identical,byte_identical_to_prior_local,acquired_data_changed_local_prediction,notes
Deer,acquired_source_default,E2-RUN-001,official_default,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\Deer,f22bd21c55d23f24371993e4e5f36b09b744a204953a7de4654e99358900ad59,9a352f3e98ecdbce2355a95399752a1bc772c90ad9ddcab2ad35951d0c6366f8,cf5c078ef7741109b8db8f8dd66b322b0814bf787ad56a5cdd5594dd2a8b85df,screening/codex/artifacts/stage4A_E2/reproduction/predictions/acquired_default/Deer.txt,88a49dcd23393584e5b7a42061a9a3b89dcb851ae308694a130b3f24e54fdf5d,71,"[[306,5,95,65],[307,4,105,81],[318,25,92,87],[325,45,109,93],[326,76,118,99]]","[361,34,126,96]",47.9543930248156,18.0415828303152,29.9128101945003,2,2,6,363,17,False,False,True,True,False,Verified byte-identical staging copy of the newly acquired Figshare source; official process-default runtime. Difference is absolute percentage points; frame indices are one-based; IoU uses inclusive OTB box geometry.
Deer,acquired_source_deterministic,E2-RUN-004,deterministic,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\Deer,f22bd21c55d23f24371993e4e5f36b09b744a204953a7de4654e99358900ad59,9a352f3e98ecdbce2355a95399752a1bc772c90ad9ddcab2ad35951d0c6366f8,cf5c078ef7741109b8db8f8dd66b322b0814bf787ad56a5cdd5594dd2a8b85df,screening/codex/artifacts/stage4A_E2/reproduction/predictions/acquired_deterministic/Deer.txt,88a49dcd23393584e5b7a42061a9a3b89dcb851ae308694a130b3f24e54fdf5d,71,"[[306,5,95,65],[307,4,105,81],[318,25,92,87],[325,45,109,93],[326,76,118,99]]","[361,34,126,96]",47.9543930248156,18.0415828303152,29.9128101945003,2,2,6,363,17,False,False,True,True,False,Verified byte-identical staging copy of the newly acquired Figshare source; locked deterministic characterization runtime. Difference is absolute percentage points; frame indices are one-based; IoU uses inclusive OTB box geometry.
Deer,prior_committed_local_official,STAGE4A_R_OFFICIAL_DEFAULT_RUN1,official_default,E:\Robot_Backup\TrackingResearch-master\OtherTracker\verified\TRACA-master\sequence\Deer,f22bd21c55d23f24371993e4e5f36b09b744a204953a7de4654e99358900ad59,9a352f3e98ecdbce2355a95399752a1bc772c90ad9ddcab2ad35951d0c6366f8,cf5c078ef7741109b8db8f8dd66b322b0814bf787ad56a5cdd5594dd2a8b85df,screening/codex/artifacts/stage4A_reproduction/official_runner_default_run1/Deer.txt,88a49dcd23393584e5b7a42061a9a3b89dcb851ae308694a130b3f24e54fdf5d,71,"[[306,5,95,65],[307,4,105,81],[318,25,92,87],[325,45,109,93],[326,76,118,99]]","[361,34,126,96]",47.9543930248156,18.0415828303152,29.9128101945003,2,2,6,363,17,False,False,True,True,False,Previously committed local official-runner prediction; metric recomputed against acquired GT. Difference is absolute percentage points; frame indices are one-based; IoU uses inclusive OTB box geometry.
Deer,author_released_s256_t1,AUTHOR_RELEASED_S256_T1_RAW,unknown_author_mode,UNKNOWN_NOT_RECORDED_IN_RELEASE,f22bd21c55d23f24371993e4e5f36b09b744a204953a7de4654e99358900ad59,UNKNOWN_NOT_IN_RELEASED_ARCHIVE,UNKNOWN_NOT_IN_RELEASED_ARCHIVE,screening/codex/artifacts/stage4A_reproduction/released_raw/Deer.txt,ad1f83563b33df88524358c5d5e2f6bf7eb59c6d90b083a95ad6d8a5bbd618c7,71,"[[306,5,95,65],[308,6,99,86],[315,15,105,95],[322,42,110,97],[333,77,109,100]]","[357,38,143,99]",18.0415828303152,18.0415828303152,0,NA,NA,NA,NA,NA,True,True,True,False,False,Author-released S256-T1 raw prediction; release contains no runtime manifest. Difference is absolute percentage points; frame indices are one-based; IoU uses inclusive OTB box geometry.
Crossing,acquired_source_default,E2-RUN-002,official_default,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\Crossing,3588d1821b80f8bc7f88645cbfca32454d474135d7841f85b304615fecf54ac4,9a352f3e98ecdbce2355a95399752a1bc772c90ad9ddcab2ad35951d0c6366f8,cf5c078ef7741109b8db8f8dd66b322b0814bf787ad56a5cdd5594dd2a8b85df,screening/codex/artifacts/stage4A_E2/reproduction/predictions/acquired_default/Crossing.txt,039d9ca96e1ecf9f0714c88337e4eebd826e2cb78842984e33c5de775f28f65f,120,"[[205,151,17,50],[202,149,19,51],[201,152,21,45],[199,150,20,49],[198,148,20,52]]","[55,93,14,35]",80,79.5238095238095,0.476190476190467,2,2,41,7,43,False,False,True,True,False,Verified byte-identical staging copy of the newly acquired Figshare source; official process-default runtime. Difference is absolute percentage points; frame indices are one-based; IoU uses inclusive OTB box geometry.
Crossing,acquired_source_deterministic,E2-RUN-005,deterministic,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\Crossing,3588d1821b80f8bc7f88645cbfca32454d474135d7841f85b304615fecf54ac4,9a352f3e98ecdbce2355a95399752a1bc772c90ad9ddcab2ad35951d0c6366f8,cf5c078ef7741109b8db8f8dd66b322b0814bf787ad56a5cdd5594dd2a8b85df,screening/codex/artifacts/stage4A_E2/reproduction/predictions/acquired_deterministic/Crossing.txt,039d9ca96e1ecf9f0714c88337e4eebd826e2cb78842984e33c5de775f28f65f,120,"[[205,151,17,50],[202,149,19,51],[201,152,21,45],[199,150,20,49],[198,148,20,52]]","[55,93,14,35]",80,79.5238095238095,0.476190476190467,2,2,41,7,43,False,False,True,True,False,Verified byte-identical staging copy of the newly acquired Figshare source; locked deterministic characterization runtime. Difference is absolute percentage points; frame indices are one-based; IoU uses inclusive OTB box geometry.
Crossing,prior_committed_local_official,STAGE4A_R_OFFICIAL_DEFAULT_RUN1,official_default,E:\Robot_Backup\TrackingResearch-master\OtherTracker\verified\ECO-master\sequences\Crossing,3588d1821b80f8bc7f88645cbfca32454d474135d7841f85b304615fecf54ac4,9a352f3e98ecdbce2355a95399752a1bc772c90ad9ddcab2ad35951d0c6366f8,cf5c078ef7741109b8db8f8dd66b322b0814bf787ad56a5cdd5594dd2a8b85df,screening/codex/artifacts/stage4A_reproduction/official_runner_default_run1/Crossing.txt,039d9ca96e1ecf9f0714c88337e4eebd826e2cb78842984e33c5de775f28f65f,120,"[[205,151,17,50],[202,149,19,51],[201,152,21,45],[199,150,20,49],[198,148,20,52]]","[55,93,14,35]",80,79.5238095238095,0.476190476190467,2,2,41,7,43,False,False,True,True,False,Previously committed local official-runner prediction; metric recomputed against acquired GT. Difference is absolute percentage points; frame indices are one-based; IoU uses inclusive OTB box geometry.
Crossing,author_released_s256_t1,AUTHOR_RELEASED_S256_T1_RAW,unknown_author_mode,UNKNOWN_NOT_RECORDED_IN_RELEASE,3588d1821b80f8bc7f88645cbfca32454d474135d7841f85b304615fecf54ac4,UNKNOWN_NOT_IN_RELEASED_ARCHIVE,UNKNOWN_NOT_IN_RELEASED_ARCHIVE,screening/codex/artifacts/stage4A_reproduction/released_raw/Crossing.txt,db3a37edc91171fc1572533c89ee879f33e2e19851039a7f7ac59e7548458aff,120,"[[205,151,17,50],[201,150,20,50],[198,151,23,46],[199,148,20,52],[198,150,21,51]]","[56,93,14,36]",79.5238095238095,79.5238095238095,0,NA,NA,NA,NA,NA,True,True,True,False,False,Author-released S256-T1 raw prediction; release contains no runtime manifest. Difference is absolute percentage points; frame indices are one-based; IoU uses inclusive OTB box geometry.
Couple,acquired_source_default,E2-RUN-003,official_default,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\Couple,43c6d304f9f65b28940389429dfdbd33e544075c6b8d3c00e0c72558dac55d10,9a352f3e98ecdbce2355a95399752a1bc772c90ad9ddcab2ad35951d0c6366f8,cf5c078ef7741109b8db8f8dd66b322b0814bf787ad56a5cdd5594dd2a8b85df,screening/codex/artifacts/stage4A_E2/reproduction/predictions/acquired_default/Couple.txt,ced31cb5af587bbe069415163ef0d9a3d47779e5b116e4f619b5a0b80b7efe38,140,"[[51,47,25,62],[49,40,23,66],[35,36,24,66],[34,40,23,67],[38,34,24,72]]","[133,23,40,90]",77.6530612244898,76.1904761904762,1.4625850340136,2,2,6,16,116,False,False,True,True,False,Verified byte-identical staging copy of the newly acquired Figshare source; official process-default runtime. Difference is absolute percentage points; frame indices are one-based; IoU uses inclusive OTB box geometry.
Couple,acquired_source_deterministic,E2-RUN-006,deterministic,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\Couple,43c6d304f9f65b28940389429dfdbd33e544075c6b8d3c00e0c72558dac55d10,9a352f3e98ecdbce2355a95399752a1bc772c90ad9ddcab2ad35951d0c6366f8,cf5c078ef7741109b8db8f8dd66b322b0814bf787ad56a5cdd5594dd2a8b85df,screening/codex/artifacts/stage4A_E2/reproduction/predictions/acquired_deterministic/Couple.txt,ced31cb5af587bbe069415163ef0d9a3d47779e5b116e4f619b5a0b80b7efe38,140,"[[51,47,25,62],[49,40,23,66],[35,36,24,66],[34,40,23,67],[38,34,24,72]]","[133,23,40,90]",77.6530612244898,76.1904761904762,1.4625850340136,2,2,6,16,116,False,False,True,True,False,Verified byte-identical staging copy of the newly acquired Figshare source; locked deterministic characterization runtime. Difference is absolute percentage points; frame indices are one-based; IoU uses inclusive OTB box geometry.
