sheet_id,proposal_or_control_id,relative_path,sha256,byte_size,width,height,source_sequence,source_frame_ids,overlays,manager_review_status
SHEET-R1-P01,R1-P01,screening/codex/artifacts/stage4A_S1_R1/contact_sheets/R1-P01_Basketball_397_435.jpg,858b096f0456b25b1c0759209e651746d19320d9f52e7299b15b3ad3eb2dd750,181717,1700,300,Basketball,397|407|416|425|435,GT_TARGET_GREEN|NOMINAL_SEARCH_BLUE|MIDPOINT_DISTRACTOR_RED,PENDING
SHEET-R1-P02,R1-P02,screening/codex/artifacts/stage4A_S1_R1/contact_sheets/R1-P02_Bolt_31_49.jpg,d3bc6667387f10658f224389ec6670588585f265fe8a0e4871705ad739b627fe,153996,1700,300,Bolt,31|35|40|45|49,GT_TARGET_GREEN|NOMINAL_SEARCH_BLUE|MIDPOINT_DISTRACTOR_RED,PENDING
SHEET-R1-P03,R1-P03,screening/codex/artifacts/stage4A_S1_R1/contact_sheets/R1-P03_Crowds_33_37.jpg,81b3d8c5855ba4f6cadb525e0d7025ccc7c0b937b7371e2b1b9a3b34e95ea0d4,136080,1700,300,Crowds,33|34|35|36|37,GT_TARGET_GREEN|NOMINAL_SEARCH_BLUE|MIDPOINT_DISTRACTOR_RED,PENDING
SHEET-R1-P04,R1-P04,screening/codex/artifacts/stage4A_S1_R1/contact_sheets/R1-P04_BlurCar2_420_440.jpg,ca5c540d74048c73f04789421f1a50342a380c9ac9db42b3203fd699413a4fb2,118236,1700,300,BlurCar2,420|425|430|435|440,GT_TARGET_GREEN|NOMINAL_SEARCH_BLUE|MIDPOINT_DISTRACTOR_RED,PENDING
SHEET-R1-P05,R1-P05,screening/codex/artifacts/stage4A_S1_R1/contact_sheets/R1-P05_BlurCar4_255_279.jpg,3c391f4f93e8591179ac5e4a89afb1bbf2d86e63d5bfa98327698f74fb5d584e,109925,1700,300,BlurCar4,255|261|267|273|279,GT_TARGET_GREEN|NOMINAL_SEARCH_BLUE|MIDPOINT_DISTRACTOR_RED,PENDING
SHEET-R1-P06,R1-P06,screening/codex/artifacts/stage4A_S1_R1/contact_sheets/R1-P06_Car24_640_678.jpg,39da2e11189c787663a74f4c92c427cf34d5b82827402c110eb99eb156774d3e,131386,1700,300,Car24,640|650|659|668|678,GT_TARGET_GREEN|NOMINAL_SEARCH_BLUE|MIDPOINT_DISTRACTOR_RED,PENDING
SHEET-R1-P07,R1-P07,screening/codex/artifacts/stage4A_S1_R1/contact_sheets/R1-P07_Bird1_194_198.jpg,effb77f93db9ae066641644107db725d6f5ce4a6e8a06983b0693c85990757c1,76993,1700,300,Bird1,194|195|196|197|198,GT_TARGET_GREEN|NOMINAL_SEARCH_BLUE|MIDPOINT_DISTRACTOR_RED,PENDING
SHEET-R1-P08,R1-P08,screening/codex/artifacts/stage4A_S1_R1/contact_sheets/R1-P08_Board_493_511.jpg,56d2a10206dac9ce9ed5daf00cc0fc68ae9c4c869a29a4e574520eb8095274c4,150479,1700,300,Board,493|497|502|507|511,GT_TARGET_GREEN|NOMINAL_SEARCH_BLUE|MIDPOINT_DISTRACTOR_RED,PENDING
SHEET-R1-P09,R1-P09,screening/codex/artifacts/stage4A_S1_R1/contact_sheets/R1-P09_Liquor_565_589.jpg,af5b0d6aebf0ccc60c9a434b277cd590aba0d209691fe582239da9fb2bbea138,143019,1700,300,Liquor,565|571|577|583|589,GT_TARGET_GREEN|NOMINAL_SEARCH_BLUE|MIDPOINT_DISTRACTOR_RED,PENDING
SHEET-R1-P10,R1-P10,screening/codex/artifacts/stage4A_S1_R1/contact_sheets/R1-P10_Football_130_154.jpg,e9a6a81f993ee1ecfd18ddfcca1c04eb123fc81177f87024fd38b7be1e9bb9ee,130979,1700,300,Football,130|136|142|148|154,GT_TARGET_GREEN|NOMINAL_SEARCH_BLUE|MIDPOINT_DISTRACTOR_RED,PENDING
SHEET-R1-P11,R1-P11,screening/codex/artifacts/stage4A_S1_R1/contact_sheets/R1-P11_Football1_26_50.jpg,55904ef48678d8a719fe31503c8797e5ca2af7fcbf6e53f8433bfa13c83c4165,161873,1700,300,Football1,26|32|38|44|50,GT_TARGET_GREEN|NOMINAL_SEARCH_BLUE|MIDPOINT_DISTRACTOR_RED,PENDING
SHEET-R1-P12,R1-P12,screening/codex/artifacts/stage4A_S1_R1/contact_sheets/R1-P12_Soccer_170_180.jpg,e1cdf95b669f3159420aa11096ee46157d8599aaba39ce55c28ac1e02bc73782,101886,1700,300,Soccer,170|172|175|178|180,GT_TARGET_GREEN|NOMINAL_SEARCH_BLUE|MIDPOINT_DISTRACTOR_RED,PENDING
SHEET-R1-C01,R1-C01,screening/codex/artifacts/stage4A_S1_R1/contact_sheets/R1-C01_Gym_20_40.jpg,b1fc2477ee8347f18513dd3aa1e138ae2904bc198f2c1223c7e409c189806e8c,92344,1700,300,Gym,20|25|30|35|40,GT_TARGET_GREEN|NOMINAL_SEARCH_BLUE,PENDING
SHEET-R1-C02,R1-C02,screening/codex/artifacts/stage4A_S1_R1/contact_sheets/R1-C02_Gym_300_320.jpg,aabbab554a908ab08b562119b9b251d1a5b2cf1dbaaf2947fcab2495880cdcb9,98672,1700,300,Gym,300|305|310|315|320,GT_TARGET_GREEN|NOMINAL_SEARCH_BLUE,PENDING
SHEET-R1-C03,R1-C03,screening/codex/artifacts/stage4A_S1_R1/contact_sheets/R1-C03_Skiing_20_27.jpg,c6bdc2e1294aab85e4ea50b71fb6ebb6afd3f948098809837c29c67e97edfdd9,99915,1700,300,Skiing,20|22|24|25|27,GT_TARGET_GREEN|NOMINAL_SEARCH_BLUE,PENDING
SHEET-R1-C04,R1-C04,screening/codex/artifacts/stage4A_S1_R1/contact_sheets/R1-C04_CarScale_20_40.jpg,828c7e0b765262d451fc17a8d8275b8b446e63de13f43956f905327671339f59,96155,1700,300,CarScale,20|25|30|35|40,GT_TARGET_GREEN|NOMINAL_SEARCH_BLUE,PENDING
