control_id,linked_proposal_id,dataset,sequence,interval_start,interval_end,interval_length,same_sequence,object_class,broad_superclass,target_area_ratio_summary,gt_motion_summary,scale_change_summary,occlusion_match,attribute_match,no_similar_distractor_evidence,matching_basis,contact_sheet_path,manager_review_status,notes
R1-C01,R1-P01,OTB100,Gym,20,40,21,false,person,PERSON,median=0.070182;min=0.059408;max=0.085059,median_px=4.257;p90_px=6.387;p90_target_norm=0.070,end_to_start_area=0.899;max_to_min_area=1.432;median_abs_log_step=0.0470,Both targets remain unoccluded full-body athletes,PERSON; DEF shared; dynamic articulated sports motion,Every frame 20-40 reviewed; no individually discernible comparable person in source frames,cross-sequence sports-person control; comparable full-body target scale and articulated pose motion,screening/codex/artifacts/stage4A_S1_R1/contact_sheets/R1-C01_Gym_20_40.jpg,PENDING,Tiny audience texture is not an individually discernible similar distractor
R1-C02,R1-P02,OTB100,Gym,300,320,21,false,person,PERSON,median=0.049717;min=0.038732;max=0.062076,median_px=2.689;p90_px=6.403;p90_target_norm=0.094,end_to_start_area=1.154;max_to_min_area=1.603;median_abs_log_step=0.0873,Both targets unoccluded with articulated pose change,PERSON; DEF shared; stable medium full-body scale,Every frame 300-320 reviewed; no similar non-target person visible,cross-sequence PERSON control; isolated athlete with pose and center motion from GT,screening/codex/artifacts/stage4A_S1_R1/contact_sheets/R1-C02_Gym_300_320.jpg,PENDING,Visual scene differs from track race; retained as a provisional class/motion control
R1-C03,R1-P03,OTB100,Skiing,20,27,8,false,person,PERSON,median=0.004306;min=0.004028;max=0.006597,median_px=5.523;p90_px=8.944;p90_target_norm=0.275,end_to_start_area=1.532;max_to_min_area=1.638;median_abs_log_step=0.0000,No target loss; fast airborne target without person overlap,PERSON; DEF shared; small moving full-body target,Every frame 20-27 reviewed; no person or skier-like non-target visible,cross-sequence small-person control; fast GT motion and low-resolution scale,screening/codex/artifacts/stage4A_S1_R1/contact_sheets/R1-C03_Skiing_20_27.jpg,PENDING,Frames 28-40 were excluded because person-like figures later appear near the landing area
R1-C04,R1-P04,OTB100,CarScale,20,40,21,false,car,VEHICLE,median=0.006606;min=0.005308;max=0.007290,median_px=1.500;p90_px=2.079;p90_target_norm=0.066,end_to_start_area=0.927;max_to_min_area=1.373;median_abs_log_step=0.0797,Both vehicle targets visible and unoccluded,VEHICLE/car; SV and FM match; small road target,Every frame 20-40 reviewed; no second vehicle visible,cross-sequence isolated-car control; small target with lateral GT motion,screening/codex/artifacts/stage4A_S1_R1/contact_sheets/R1-C04_CarScale_20_40.jpg,PENDING,No tracker evidence used
R1-C05,R1-P05,OTB100,CarScale,100,120,21,false,car,VEHICLE,median=0.012305;min=0.009823;max=0.013971,median_px=1.266;p90_px=2.500;p90_target_norm=0.051,end_to_start_area=1.292;max_to_min_area=1.422;median_abs_log_step=0.0313,Targets visible; foreground branches do not materially obscure control,VEHICLE/car; SV and FM match; road motion,Every frame 100-120 reviewed; no second vehicle visible,cross-sequence isolated-car control; similar scale and motion attributes,screening/codex/artifacts/stage4A_S1_R1/contact_sheets/R1-C05_CarScale_100_120.jpg,PENDING,Slight scale variation retained
R1-C06,R1-P06,OTB100,CarScale,200,220,21,false,car,VEHICLE,median=0.135673;min=0.100954;max=0.189798,median_px=4.320;p90_px=8.920;p90_target_norm=0.061,end_to_start_area=1.707;max_to_min_area=1.880;median_abs_log_step=0.0456,Control lower wheels intermittently covered by vegetation; target body visible,VEHICLE/car; SV and FM match; larger road target,Every frame 200-220 reviewed; no second vehicle visible,cross-sequence isolated-car control; larger target and background motion blur,screening/codex/artifacts/stage4A_S1_R1/contact_sheets/R1-C06_CarScale_200_220.jpg,PENDING,Occlusion match is approximate and explicitly recorded
R1-C07,R1-P07,OTB100,Dog1,20,40,21,false,dog,ANIMAL,median=0.021484;min=0.020833;max=0.022578,median_px=1.000;p90_px=2.050;p90_target_norm=0.050,end_to_start_area=0.952;max_to_min_area=1.084;median_abs_log_step=0.0202,Control plush-dog target fully visible; supporting hand below tracked head/body,ANIMAL broad superclass; isolated animal-form target; stable scale,Every frame 20-40 reviewed; no second dog or animal-form non-target visible,cross-sequence ANIMAL control; source-only no-distractor interval,screening/codex/artifacts/stage4A_S1_R1/contact_sheets/R1-C07_Dog1_20_40.jpg,PENDING,Class and scale match are weaker than same-sequence control; Panda and Dog leads were rejected after visual review
R1-C08,R1-P08,OTB100,Toy,100,120,21,false,other,OBJECT_OTHER,median=0.040729;min=0.034023;max=0.049414,median_px=3.857;p90_px=9.014;p90_target_norm=0.160,end_to_start_area=1.294;max_to_min_area=1.452;median_abs_log_step=0.0551,Control toy remains visible while hand supports lower body,OBJECT_OTHER; SV FM IPR OPR overlap with Board motion/pose attributes,Every frame 100-120 reviewed; no second comparable toy visible,cross-sequence isolated object control; rotating small object with hand interaction,screening/codex/artifacts/stage4A_S1_R1/contact_sheets/R1-C08_Toy_100_120.jpg,PENDING,Functional class differs; provisional attribute/scale control
R1-C09,R1-P09,OTB100,Liquor,20,40,21,true,other,OBJECT_OTHER,median=0.049902;min=0.049902;max=0.049902,median_px=0.000;p90_px=0.000;p90_target_norm=0.000,end_to_start_area=1.000;max_to_min_area=1.000;median_abs_log_step=0.0000,Same target and scene; no target occlusion,Exact same sequence attributes scale and object identity,Every frame 20-40 reviewed; only the annotated bottle is present,same-sequence pre-distractor control with exact target/scene identity,screening/codex/artifacts/stage4A_S1_R1/contact_sheets/R1-C09_Liquor_20_40.jpg,PENDING,Preferred same-sequence control
R1-C10,R1-P10,OTB100,Biker,30,50,21,false,person head,FACE_HEAD,median=0.004063;min=0.003099;max=0.004965,median_px=2.091;p90_px=2.906;p90_target_norm=0.101,end_to_start_area=1.602;max_to_min_area=1.602;median_abs_log_step=0.0000,Both head targets visible; no comparable head overlap,FACE_HEAD; OCC and OPR shared; moving outdoor subject,Every frame 30-50 reviewed; no second cyclist or comparable head visible,cross-sequence person-head control; comparable head scale with GT motion,screening/codex/artifacts/stage4A_S1_R1/contact_sheets/R1-C10_Biker_30_50.jpg,PENDING,Bicycle/body context differs from football scrum
