linked_proposal_id,linked_control_id,group,proposal_sequence,control_sequence,proposal_length,control_length,length_difference,length_match_pass,proposal_median_area,control_median_area,median_area_ratio,area_match_pass,proposal_p90_motion_normalized,control_p90_motion_normalized,motion_ratio_or_abs_difference,motion_match_pass,proposal_max_to_min_area_ratio,control_max_to_min_area_ratio,scale_dynamic_ratio,scale_match_pass,occlusion_match,fast_motion_match,low_resolution_match,broad_superclass_match,visual_subtype_match,official_attribute_overlap,control_sequence_reuse_count,cross_group_leakage,no_distractor_pass,overall_state,notes
R1-P01,R2-C01,DISCOVERY,Basketball,David3,39,39,0,true,0.011068,0.013311,1.202647,true,0.070960,0.074784,ratio=1.053888,true,1.000,1.137,1.137197,true,MATCH,true,true,true,true,BC|DEF|OCC|OPR,1,false,true,MATCH_PASS,All locked pair requirements pass.
R1-P02,R2-C02,DISCOVERY,Bolt,Human8,19,19,0,true,0.006884,0.010846,1.575662,true,0.061903,0.069002,ratio=1.114694,true,1.000,1.109,1.108696,true,MATCH,true,true,true,true,DEF,1,false,true,MATCH_PASS,All locked pair requirements pass.
R1-P03,R2-C03,HOLDOUT,Crowds,Crowds,5,5,0,true,0.003896,0.003896,1.000000,true,0.124516,0.121780,ratio=1.022466,true,1.000,1.000,1.000000,true,PARTIAL_VS_NONE_DISCLOSED,true,true,true,true,BC|DEF|IV,1,false,true,MATCH_PASS,same-sequence quantitative exemptions applied; partial/no-occlusion difference disclosed
R1-P04,R2-C04,DISCOVERY,BlurCar2,CarScale,21,21,0,true,0.027829,0.024816,1.121397,true,0.495366,0.050189,ratio=9.870092,false,1.439,1.591,1.105629,true,NONE_VS_PARTIAL_DISCLOSED,true,true,true,true,FM|SV,1,false,true,EXCEPTION_PENDING_MANAGER,partial/no-occlusion difference disclosed; normalized p90 motion target failed (ratio=9.870092; required <=2)
R1-P05,R2-C05,HOLDOUT,BlurCar4,Suv,25,25,0,true,0.069863,0.047396,1.474038,true,0.228103,0.134762,ratio=1.692633,true,1.292,1.011,1.277986,true,MATCH,true,true,true,true,NONE,1,false,true,MATCH_PASS,All locked pair requirements pass.
R1-P07,R2-C07,DISCOVERY,Bird1,Panda,5,5,0,true,0.003983,0.005145,1.291785,true,0.082675,0.073127,ratio=1.130569,true,1.000,1.000,1.000000,true,PARTIAL_VS_NONE_DISCLOSED,true,true,true,false,DEF|OV,1,false,true,EXCEPTION_PENDING_MANAGER,partial/no-occlusion difference disclosed; bird-to-live-panda subtype exception; same-sequence and bird alternatives failed
R1-P09,R2-C09,DISCOVERY,Liquor,Liquor,25,21,-4,true,0.049902,0.049902,1.000000,true,0.000000,0.000000,abs_difference=0.000000,true,1.000,1.000,1.000000,true,MATCH,true,true,true,true,BC|FM|IV|MB|OCC|OPR|OV|SV,1,false,true,MATCH_PASS,same-sequence quantitative exemptions applied
R1-P10,R2-C10,DISCOVERY,Football,Biker,25,25,0,true,0.007171,0.006042,1.186852,true,0.140517,0.154851,ratio=1.102005,true,1.291,1.381,1.069309,true,PARTIAL_VS_NONE_DISCLOSED,true,true,true,false,OCC|OPR,1,false,true,EXCEPTION_PENDING_MANAGER,partial/no-occlusion difference disclosed; football helmet-to-novelty-mask/headgear subtype exception; failed searches recorded
R1-P11,R2-C11,HOLDOUT,Football1,Surfer,25,25,0,true,0.012301,0.009375,1.312079,true,0.212389,0.213803,ratio=1.006661,true,1.346,1.468,1.090323,true,PARTIAL_VS_NONE_DISCLOSED,true,true,true,false,IPR|OPR,1,false,true,EXCEPTION_PENDING_MANAGER,partial/no-occlusion difference disclosed; football helmet-to-bare-head subtype exception; failed searches recorded
R1-P12,R2-C12,HOLDOUT,Soccer,Man,11,11,0,true,0.019913,0.021800,1.094769,true,0.101066,0.100803,ratio=1.002613,true,1.163,1.000,1.163435,true,PARTIAL_VS_NONE_DISCLOSED,true,true,true,true,IV,1,false,true,MATCH_PASS,partial/no-occlusion difference disclosed
