pair_sheet_id,linked_proposal_id,linked_control_id,relative_path,sha256,byte_size,width,height,proposal_sequence,control_sequence,proposal_frame_ids,control_frame_ids,overlays,manager_review_status
PAIR-R1-P01,R1-P01,R2-C01,screening/codex/artifacts/stage4A_S1_R2/pair_sheets/R2_PAIR_P01.jpg,120b229fb2739bf4c36ca5e14d71a356a1c56ae6b4304fe1b25be6496cefd8ef,282944,2000,590,Basketball,David3,397|407|416|425|435,195|205|214|223|233,GT_TARGET_GREEN|NOMINAL_SEARCH_BLUE|PROPOSAL_MIDPOINT_DISTRACTOR_RED|IDS|PAIR_METRICS,PENDING_R2_REVIEW
PAIR-R1-P02,R1-P02,R2-C02,screening/codex/artifacts/stage4A_S1_R2/pair_sheets/R2_PAIR_P02.jpg,c9b95314db9273b62eb5a4175644d6afa35fed27bcda591426d5fafc18e4a907,237962,2000,590,Bolt,Human8,31|35|40|45|49,108|112|117|122|126,GT_TARGET_GREEN|NOMINAL_SEARCH_BLUE|PROPOSAL_MIDPOINT_DISTRACTOR_RED|IDS|PAIR_METRICS,PENDING_R2_REVIEW
PAIR-R1-P03,R1-P03,R2-C03,screening/codex/artifacts/stage4A_S1_R2/pair_sheets/R2_PAIR_P03.jpg,50885c89fa2fbf5056abda13e3825235ee92b15bf6d672a54d66e007219314f0,216649,2000,590,Crowds,Crowds,33|34|35|36|37,161|162|163|164|165,GT_TARGET_GREEN|NOMINAL_SEARCH_BLUE|PROPOSAL_MIDPOINT_DISTRACTOR_RED|IDS|PAIR_METRICS,PENDING_R2_REVIEW
PAIR-R1-P04,R1-P04,R2-C04,screening/codex/artifacts/stage4A_S1_R2/pair_sheets/R2_PAIR_P04.jpg,2e2b28e6a1da79c9bc4c77cb7f472332a9e335c23b92288d7b8ebb1081f5f4b2,205030,2000,590,BlurCar2,CarScale,420|425|430|435|440,143|148|153|158|163,GT_TARGET_GREEN|NOMINAL_SEARCH_BLUE|PROPOSAL_MIDPOINT_DISTRACTOR_RED|IDS|PAIR_METRICS,PENDING_R2_REVIEW
PAIR-R1-P05,R1-P05,R2-C05,screening/codex/artifacts/stage4A_S1_R2/pair_sheets/R2_PAIR_P05.jpg,2772ba63590bed7bab59098206b28bd91121248269dc007ce35f8721aab7e15e,178604,2000,590,BlurCar4,Suv,255|261|267|273|279,726|732|738|744|750,GT_TARGET_GREEN|NOMINAL_SEARCH_BLUE|PROPOSAL_MIDPOINT_DISTRACTOR_RED|IDS|PAIR_METRICS,PENDING_R2_REVIEW
PAIR-R1-P07,R1-P07,R2-C07,screening/codex/artifacts/stage4A_S1_R2/pair_sheets/R2_PAIR_P07.jpg,f678dec286d666ea6485fb8e74e3163af8322fe0ff6e092c9ce547b04411801a,232338,2000,590,Bird1,Panda,194|195|196|197|198,426|427|428|429|430,GT_TARGET_GREEN|NOMINAL_SEARCH_BLUE|PROPOSAL_MIDPOINT_DISTRACTOR_RED|IDS|PAIR_METRICS,PENDING_R2_REVIEW
PAIR-R1-P09,R1-P09,R2-C09,screening/codex/artifacts/stage4A_S1_R2/pair_sheets/R2_PAIR_P09.jpg,eef7600d2366ef93d85ff04b860c3bd7b235e1dc16c4fa08710523bd2e0b697a,220476,2000,590,Liquor,Liquor,565|571|577|583|589,20|25|30|35|40,GT_TARGET_GREEN|NOMINAL_SEARCH_BLUE|PROPOSAL_MIDPOINT_DISTRACTOR_RED|IDS|PAIR_METRICS,PENDING_R2_REVIEW
PAIR-R1-P10,R1-P10,R2-C10,screening/codex/artifacts/stage4A_S1_R2/pair_sheets/R2_PAIR_P10.jpg,c1abd6856419c7a70d900b28f1ca56be511fa92ccd80fcd5a6e698059d4c233d,241203,2000,590,Football,Biker,130|136|142|148|154,41|47|53|59|65,GT_TARGET_GREEN|NOMINAL_SEARCH_BLUE|PROPOSAL_MIDPOINT_DISTRACTOR_RED|IDS|PAIR_METRICS,PENDING_R2_REVIEW
PAIR-R1-P11,R1-P11,R2-C11,screening/codex/artifacts/stage4A_S1_R2/pair_sheets/R2_PAIR_P11.jpg,0ecd90c4462a82167bccd7afffd7e813ae494c5febfe80982c166fa35ef0598f,208835,2000,590,Football1,Surfer,26|32|38|44|50,304|310|316|322|328,GT_TARGET_GREEN|NOMINAL_SEARCH_BLUE|PROPOSAL_MIDPOINT_DISTRACTOR_RED|IDS|PAIR_METRICS,PENDING_R2_REVIEW
PAIR-R1-P12,R1-P12,R2-C12,screening/codex/artifacts/stage4A_S1_R2/pair_sheets/R2_PAIR_P12.jpg,438f478b43a15345007579caaeb65c77ec729664dfc78199ec96778f01f8a218,200925,2000,590,Soccer,Man,170|172|175|178|180,106|108|111|114|116,GT_TARGET_GREEN|NOMINAL_SEARCH_BLUE|PROPOSAL_MIDPOINT_DISTRACTOR_RED|IDS|PAIR_METRICS,PENDING_R2_REVIEW
