linked_r3_interval_id,linked_r3_control_id,group,proposal_sequence,control_sequence,proposal_length,control_length,length_difference,length_match_pass,proposal_median_area,control_median_area,median_area_ratio,area_match_pass,proposal_p90_motion_normalized,control_p90_motion_normalized,motion_ratio_or_abs_difference,motion_match_pass,proposal_max_to_min_area_ratio,control_max_to_min_area_ratio,scale_dynamic_ratio,scale_match_pass,occlusion_match,full_occlusion_mismatch,fast_motion_match,low_resolution_match,broad_superclass_match,visual_subtype_match,official_attribute_overlap,control_sequence_reuse_count,cross_group_leakage,no_distractor_pass,primary_event_distinctness_pass,control_interval_reuse_pass,control_sequence_split_pass,same_split_pass,analysis_eligibility,held_replacement_trace,overall_state,notes
R3-D01,R3-CD01,DISCOVERY,Basketball,David3,39,39,0,true,0.011068,0.013311,1.202647,true,0.070960,0.074784,ratio=1.053888,true,1.000000,1.137197,1.137197,true,MATCH,false,true,true,true,true,BC|DEF|OCC|OPR,1,false,true,true,true,true,true,true,LOCKED_R2_ANCHOR_PRESERVED,MATCH_PASS,All locked R3 gates pass.
R3-D02,R3-CD02,DISCOVERY,Bolt,Human8,19,19,0,true,0.006884,0.010846,1.575662,true,0.061903,0.069002,ratio=1.114694,true,1.000000,1.108696,1.108696,true,MATCH,false,true,true,true,true,DEF,2,false,true,true,true,true,true,true,LOCKED_R2_ANCHOR_PRESERVED,MATCH_PASS,All locked R3 gates pass.
R3-D03,R3-CD03,DISCOVERY,Liquor,Liquor,25,25,0,true,0.049902,0.049902,1.000000,true,0.000000,0.000000,abs_difference=0.000000,true,1.000000,1.000000,1.000000,true,MATCH,false,true,true,true,true,BC|FM|IV|MB|OCC|OPR|OV|SV,2,false,true,true,true,true,true,true,LOCKED_R2_ANCHOR_PRESERVED; R2-C09 expanded 20-40 to 20-44 solely to equalize same-sequence control length after full source-only review.,MATCH_PASS,All locked R3 gates pass.
R3-D04,R3-CD04,DISCOVERY,Liquor,Liquor,25,25,0,true,0.049902,0.049902,1.000000,true,0.000000,0.000000,abs_difference=0.000000,true,1.000000,1.000000,1.000000,true,MATCH,false,true,true,true,true,BC|FM|IV|MB|OCC|OPR|OV|SV,2,false,true,true,true,true,true,true,"COVERAGE_SLOT_REPLACEMENT_FOR_R1-P07_AFTER_NO_COMPATIBLE_LIVE_BIRD_CONTROL; animal-superclass loss disclosed; this is a count-slot replacement, not a semantic subtype replacement.",MATCH_PASS,All locked R3 gates pass.
R3-D05,R3-CD05,DISCOVERY,Car4,Car4,25,25,0,true,0.074780,0.040926,1.827206,true,0.031456,0.031300,ratio=1.005003,true,1.234416,1.194030,1.033824,true,MATCH,false,true,true,true,true,IV|SV,1,false,true,true,true,true,true,true,"COVERAGE_SLOT_REPLACEMENT_FOR_R1-P04_AFTER_NO_CLEAN_COMPATIBLE_BLURCAR2_CONTROL; same VEHICLE superclass, but no claim of exact scene identity.",MATCH_PASS,All locked R3 gates pass.
R3-D06,R3-CD06,DISCOVERY,Jogging_1,Human8,25,25,0,true,0.030362,0.030234,1.004228,true,0.091653,0.053483,ratio=1.713693,true,1.368116,1.280488,1.068433,true,MATCH,false,true,true,true,true,DEF,2,false,true,true,true,true,true,true,ADDITIONAL_DISCOVERY_COUNT_EXPANSION_FROM_LOCKED_RESERVE,MATCH_PASS,All locked R3 gates pass.
R3-D07,R3-CD07,DISCOVERY,Shaking,David2,25,25,0,true,0.017774,0.013594,1.307505,true,0.093796,0.061898,ratio=1.515323,true,1.230921,1.174603,1.047947,true,MATCH,false,true,true,true,true,IPR|OPR,2,false,true,true,true,true,true,true,COVERAGE_SLOT_REPLACEMENT_FOR_R1-P10_AFTER_NO_CLEAN_COMPATIBLE_FOOTBALL_HELMET_CONTROL; FACE_HEAD coverage retained without asserting helmet-subtype equivalence.,MATCH_PASS,All locked R3 gates pass.
R3-D08,R3-CD08,DISCOVERY,CarDark,CarScale,25,25,0,true,0.009284,0.009995,1.076644,true,0.027044,0.028339,abs_difference=0.001295,true,1.166144,1.358025,1.164543,true,MATCH,false,true,true,true,true,NONE,1,false,true,true,true,true,true,true,ADDITIONAL_DISCOVERY_COUNT_EXPANSION_FROM_LOCKED_RESERVE,MATCH_PASS,All locked R3 gates pass.
R3-D09,R3-CD09,DISCOVERY,Skating1,Human7,25,25,0,true,0.025195,0.041680,1.654264,true,0.037781,0.066499,ratio=1.760094,true,1.178571,1.418561,1.203627,true,PARTIAL_VS_NONE_DISCLOSED,false,true,true,true,true,DEF|IV|OCC|SV,1,false,true,true,true,true,true,true,ADDITIONAL_DISCOVERY_COUNT_EXPANSION_FROM_LOCKED_RESERVE,MATCH_PASS,All locked R3 gates pass.
R3-D10,R3-CD10,DISCOVERY,Subway,Woman,15,15,0,true,0.009184,0.015743,1.714286,true,0.101827,0.083958,ratio=1.212833,true,1.456000,1.454023,1.001360,true,NONE_VS_PARTIAL_DISCLOSED,false,true,true,true,true,DEF|OCC,1,false,true,true,true,true,true,true,ADDITIONAL_DISCOVERY_COUNT_EXPANSION_FROM_LOCKED_RESERVE,MATCH_PASS,All locked R3 gates pass.
R3-D11,R3-CD11,DISCOVERY,Freeman3,David2,25,25,0,true,0.011076,0.010898,1.016328,true,0.124760,0.122959,ratio=1.014648,true,1.389946,1.148718,1.209997,true,MATCH,false,true,true,true,true,IPR|OPR,2,false,true,true,true,true,true,true,ADDITIONAL_DISCOVERY_COUNT_EXPANSION_FROM_LOCKED_RESERVE,MATCH_PASS,All locked R3 gates pass.
R3-D12,R3-CD12,DISCOVERY,Singer1,Dancer,25,25,0,true,0.099077,0.091527,1.082487,true,0.034373,0.056580,ratio=1.646056,true,1.345945,1.370098,1.017945,true,MATCH,false,true,true,true,true,OPR|SV,1,false,true,true,true,true,true,true,ADDITIONAL_DISCOVERY_COUNT_EXPANSION_FROM_LOCKED_RESERVE; governance-sensitive source/inventory interpretation.,MATCH_PASS,Source/inventory gates pass provisionally; Manager acceptance of the Singer1 full-body PERSON interpretation remains required.
R3-H01,R3-CH01,HOLDOUT,Crowds,Crowds,5,5,0,true,0.003896,0.003896,1.000000,true,0.124516,0.121780,ratio=1.022466,true,1.000000,1.000000,1.000000,true,PARTIAL_VS_NONE_DISCLOSED,false,true,true,true,true,BC|DEF|IV,1,false,true,true,true,true,true,true,LOCKED_R2_ANCHOR_PRESERVED,MATCH_PASS,All locked R3 gates pass.
R3-H02,R3-CH02,HOLDOUT,BlurCar4,Suv,25,25,0,true,0.069863,0.047396,1.474038,true,0.228103,0.134762,ratio=1.692633,true,1.292030,1.010989,1.277986,true,MATCH,false,true,true,true,true,NONE,2,false,true,true,true,true,true,true,LOCKED_R2_ANCHOR_PRESERVED,MATCH_PASS,All locked R3 gates pass.
