pair_sheet_id,linked_r3_interval_id,linked_r3_control_id,relative_path,sha256,byte_size,width,height,proposal_sequence,control_sequence,proposal_frame_ids,control_frame_ids,proposal_distractor_bboxes,overlays,analysis_eligible,manager_review_status
PAIR-R3-D01,R3-D01,R3-CD01,screening/codex/artifacts/stage4A_S1_R3/pair_sheets/R3_PAIR_D01.jpg,46ce9bed88b1760d8c75b2dbcd1ef38953629a9e03537abfad093219bb606439,289958,2000,620,Basketball,David3,397|407|416|425|435,195|205|214|223|233,397:84 141 84 148|407:111 145 62 113|416:130 137 72 93|425:127 119 59 103|435:99 112 72 110,GT_TARGET_GREEN|NOMINAL_SEARCH_BLUE|PROPOSAL_DISTRACTOR_RED_ALL_5|IDS|EVENT|PAIR_METRICS|ALL_GATES,true,PENDING_R3_FINAL_REVIEW
PAIR-R3-D02,R3-D02,R3-CD02,screening/codex/artifacts/stage4A_S1_R3/pair_sheets/R3_PAIR_D02.jpg,176858fd0df8d859f5636e9b31b45249be6063faf52635294e30f70b79c38de7,243883,2000,620,Bolt,Human8,31|35|40|45|49,108|112|117|122|126,31:283 150 46 67|35:279 150 46 66|40:279 151 45 61|45:277 151 46 59|49:276 150 47 63,GT_TARGET_GREEN|NOMINAL_SEARCH_BLUE|PROPOSAL_DISTRACTOR_RED_ALL_5|IDS|EVENT|PAIR_METRICS|ALL_GATES,true,PENDING_R3_FINAL_REVIEW
PAIR-R3-D03,R3-D03,R3-CD03,screening/codex/artifacts/stage4A_S1_R3/pair_sheets/R3_PAIR_D03.jpg,492f877a4e979d04b8437f4d1f3ab50bb4c881ba1297cafd2a552b7a4b81d5af,224556,2000,620,Liquor,Liquor,565|571|577|583|589,20|26|32|38|44,565:354 190 93 147|571:354 190 93 147|577:354 190 93 147|583:354 190 93 147|589:354 190 93 147,GT_TARGET_GREEN|NOMINAL_SEARCH_BLUE|PROPOSAL_DISTRACTOR_RED_ALL_5|IDS|EVENT|PAIR_METRICS|ALL_GATES,true,PENDING_R3_FINAL_REVIEW
PAIR-R3-D04,R3-D04,R3-CD04,screening/codex/artifacts/stage4A_S1_R3/pair_sheets/R3_PAIR_D04.jpg,532ee4c1c5cd6dcb6b26cc58cbcb1c00c0bf6565698745550abe5faea8b98a7b,216226,2000,620,Liquor,Liquor,106|112|118|124|130,60|66|72|78|84,106:16 143 105 163|112:96 208 84 142|118:139 221 80 141|124:139 220 82 141|130:139 220 82 141,GT_TARGET_GREEN|NOMINAL_SEARCH_BLUE|PROPOSAL_DISTRACTOR_RED_ALL_5|IDS|EVENT|PAIR_METRICS|ALL_GATES,true,PENDING_R3_FINAL_REVIEW
PAIR-R3-D05,R3-D05,R3-CD05,screening/codex/artifacts/stage4A_S1_R3/pair_sheets/R3_PAIR_D05.jpg,5348166567d510ffd41a8b533027a2674016dc0828c249caaa9e3c0b2829a1f9,239014,2000,620,Car4,Car4,113|119|125|131|137,221|227|233|239|245,113:244 76 110 60|119:248 78 109 60|125:252 80 108 61|131:257 81 103 62|137:263 77 97 62,GT_TARGET_GREEN|NOMINAL_SEARCH_BLUE|PROPOSAL_DISTRACTOR_RED_ALL_5|IDS|EVENT|PAIR_METRICS|ALL_GATES,true,PENDING_R3_FINAL_REVIEW
PAIR-R3-D06,R3-D06,R3-CD06,screening/codex/artifacts/stage4A_S1_R3/pair_sheets/R3_PAIR_D06.jpg,ba07b96c4da08097c3dc713b57339ecac51427f0e2a35b6ee1d6ae9e7812dd51,207644,2000,620,Jogging_1,Human8,150|156|162|168|174,1|7|13|19|25,150:179 72 42 127|156:181 75 42 124|162:182 78 42 119|168:185 82 42 117|174:187 85 42 116,GT_TARGET_GREEN|NOMINAL_SEARCH_BLUE|PROPOSAL_DISTRACTOR_RED_ALL_5|IDS|EVENT|PAIR_METRICS|ALL_GATES,true,PENDING_R3_FINAL_REVIEW
PAIR-R3-D07,R3-D07,R3-CD07,screening/codex/artifacts/stage4A_S1_R3/pair_sheets/R3_PAIR_D07.jpg,e317640fa571755f3fe93b6a6c0612b537dd84e9c3d3c0fabf14941f452e35db,194489,2000,620,Shaking,David2,1|7|13|19|25,36|42|48|54|60,1:347 111 51 67|7:344 110 52 68|13:342 110 54 71|19:344 111 53 70|25:347 113 52 69,GT_TARGET_GREEN|NOMINAL_SEARCH_BLUE|PROPOSAL_DISTRACTOR_RED_ALL_5|IDS|EVENT|PAIR_METRICS|ALL_GATES,true,PENDING_R3_FINAL_REVIEW
PAIR-R3-D08,R3-D08,R3-CD08,screening/codex/artifacts/stage4A_S1_R3/pair_sheets/R3_PAIR_D08.jpg,a0cc18478b1f3d074effc091e7f8fea0b1357feabe19cf7a40772c7232c60b86,210487,2000,620,CarDark,CarScale,121|127|133|139|145,81|87|93|99|105,121:143 113 31 25|127:147 114 32 25|133:151 113 34 25|139:156 113 35 26|145:161 112 36 27,GT_TARGET_GREEN|NOMINAL_SEARCH_BLUE|PROPOSAL_DISTRACTOR_RED_ALL_5|IDS|EVENT|PAIR_METRICS|ALL_GATES,true,PENDING_R3_FINAL_REVIEW
PAIR-R3-D09,R3-D09,R3-CD09,screening/codex/artifacts/stage4A_S1_R3/pair_sheets/R3_PAIR_D09.jpg,22e1f93d4d35cd0181299cbb97b972a337f96a2ef9208faeea22b0bf0a475db0,251669,2000,620,Skating1,Human7,113|119|125|131|137,13|19|25|31|37,113:263 154 45 137|119:268 151 43 140|125:274 151 42 140|131:278 151 43 139|137:282 153 44 137,GT_TARGET_GREEN|NOMINAL_SEARCH_BLUE|PROPOSAL_DISTRACTOR_RED_ALL_5|IDS|EVENT|PAIR_METRICS|ALL_GATES,true,PENDING_R3_FINAL_REVIEW
PAIR-R3-D10,R3-D10,R3-CD10,screening/codex/artifacts/stage4A_S1_R3/pair_sheets/R3_PAIR_D10.jpg,ceab2d8b176a6d5fe85095c8305e1c2c07de3f51a85db6287bb416a2efdeb35f,233397,2000,620,Subway,Woman,31|34|38|42|45,193|197|200|203|207,31:96 101 29 67|34:89 104 29 64|38:79 109 28 59|42:70 112 29 57|45:62 114 29 54,GT_TARGET_GREEN|NOMINAL_SEARCH_BLUE|PROPOSAL_DISTRACTOR_RED_ALL_5|IDS|EVENT|PAIR_METRICS|ALL_GATES,true,PENDING_R3_FINAL_REVIEW
