pair_id,primary_sequence,control_sequence,primary_start,primary_end,control_start,control_end,primary_frame_count,control_frame_count,broad_superclass,final_ambiguity_level,sensitivity_stratum,control_relation,primary_mean_iou,control_mean_iou,iou_weakness,primary_failure_rate,control_failure_rate,failure_weakness,primary_mean_center_error,control_mean_center_error,center_error_primary_minus_control
R3-D01,Basketball,David3,397,435,195,233,39,39,PERSON,2,CROSS_SCENE_ACTIVITY,CROSS_SEQUENCE_CONTROL,0.17921851082221207,0.71125498440595214,0.53203647358374007,1,0,1,54.857625310864222,4.1019999113969687,50.755625399467256
R3-D02,Bolt,Human8,31,49,108,126,19,19,PERSON,1,CROSS_SCENE_ACTIVITY,CROSS_SEQUENCE_CONTROL,0,0.80539786985908801,0.80539786985908801,1,0,1,100.26957483696367,2.3120119514201085,97.957562885543567
R3-D03,Liquor,Liquor,565,589,20,44,25,25,OBJECT_OTHER,2,STRONG_SAME_SEQUENCE,SAME_SEQUENCE_CONTROL,0.84324604956282856,0.87832041531590632,0.035074365753077763,0,0,0,3.2467745742830116,3.8705250785749481,-0.62375050429193646
R3-D04,Liquor,Liquor,106,130,60,84,25,25,OBJECT_OTHER,2,STRONG_SAME_SEQUENCE,SAME_SEQUENCE_CONTROL,0.85719991295977593,0.87284509381400088,0.015645180854224949,0,0,0,3.9063210639351009,3.6724238419392616,0.23389722199583929
R3-D05,Car4,Car4,113,137,221,245,25,25,VEHICLE,1,COLOR_DIFFERENCE,SAME_SEQUENCE_CONTROL,0.89977084574055699,0.90337638174456591,0.0036055360040089246,0,0,0,2.1139155437459758,1.4546745899294502,0.65924095381652559
R3-D06,Jogging_1,Human8,150,174,1,25,25,25,PERSON,2,CROSS_SCENE_ACTIVITY,CROSS_SEQUENCE_CONTROL,0.67614894575573703,0.86999781762657746,0.19384887187084043,0.040000000000000001,0,0.040000000000000001,3.8823131823172528,1.9695232889194847,1.9127898933977681
R3-D07,Shaking,David2,1,25,36,60,25,25,FACE_HEAD,1,APPEARANCE_DIFFERENCE,CROSS_SEQUENCE_CONTROL,0.7104126991335924,0.82772382020810009,0.1173111210745077,0,0,0,7.1948399234829354,1.7435230888479507,5.4513168346349845
R3-D08,CarDark,CarScale,121,145,81,105,25,25,VEHICLE,1,LOW_LIGHT_MULTI_TRAFFIC,CROSS_SEQUENCE_CONTROL,0.85767265585377894,0.87945642927930312,0.021783773425524178,0,0,0,1.3450481397835989,1.2921239496057983,0.05292419017780059
R3-D09,Skating1,Human7,113,137,13,37,25,25,PERSON,1,CROSS_SCENE_ACTIVITY,CROSS_SEQUENCE_CONTROL,0.6214060512751568,0.87220541945927055,0.25079936818411375,0,0,0,7.9302100668606759,1.9190324304307473,6.0111776364299283
R3-D10,Subway,Woman,31,45,193,207,15,15,PERSON,1,CONTROL_PARTIAL_OCCLUSION,CROSS_SEQUENCE_CONTROL,0.70906596705568292,0.53941911404818155,-0.16964685300750137,0.13333333333333333,0.33333333333333331,-0.19999999999999998,2.475949309975626,8.2467618543996295,-5.7708125444240039
R3-D11,Freeman3,David2,245,269,261,285,25,25,FACE_HEAD,1,MULTI_FACE_BACKGROUND,CROSS_SEQUENCE_CONTROL,0.83493534551655813,0.79886238904799201,-0.03607295646856612,0,0,0,1.3988945217853448,1.4248301172617315,-0.025935595476386686
R3-D12,Singer1,Dancer,1,25,71,95,25,25,PERSON,1,COSTUME_DIFFERENCE_CLASS_RESOLVED_PERSON,CROSS_SEQUENCE_CONTROL,0.87670206084658264,0.75090472412606646,-0.12579733672051618,0,0,0,4.1418409534796368,5.0342558588165378,-0.89241490533690104
