test_order,mode,mrm_members,pair_id,primary_sequence,control_sequence,broad_superclass,final_ambiguity_level,sensitivity_stratum,contribution_distractor,contribution_control,interaction
1,mrm1,1,R3-D01,Basketball,David3,PERSON,2,CROSS_SCENE_ACTIVITY,-0.18714574962027755,-0.030734611679850612,-0.15641113794042694
1,mrm1,1,R3-D02,Bolt,Human8,PERSON,1,CROSS_SCENE_ACTIVITY,0,-0.0046869477769079584,0.0046869477769079584
1,mrm1,1,R3-D03,Liquor,Liquor,OBJECT_OTHER,2,STRONG_SAME_SEQUENCE,-0.0055627975396142261,0.0013953578556264957,-0.0069581553952407218
1,mrm1,1,R3-D04,Liquor,Liquor,OBJECT_OTHER,2,STRONG_SAME_SEQUENCE,-0.015473478026109011,-0.0027973350662897057,-0.012676142959819305
1,mrm1,1,R3-D05,Car4,Car4,VEHICLE,1,COLOR_DIFFERENCE,0.0081158484074698965,0.0078274999458048944,0.00028834846166500214
1,mrm1,1,R3-D06,Jogging_1,Human8,PERSON,2,CROSS_SCENE_ACTIVITY,-0.0043272375607394742,0.028302494424982512,-0.032629731985721985
1,mrm1,1,R3-D07,Shaking,David2,FACE_HEAD,1,APPEARANCE_DIFFERENCE,-0.034545825799488811,0.0086378118437181808,-0.043183637643206992
1,mrm1,1,R3-D08,CarDark,CarScale,VEHICLE,1,LOW_LIGHT_MULTI_TRAFFIC,0.003678871345231607,-0.012820645852467151,0.016499517197698758
1,mrm1,1,R3-D09,Skating1,Human7,PERSON,1,CROSS_SCENE_ACTIVITY,-0.0055865158965258564,0.0045900980566410347,-0.01017661395316689
1,mrm1,1,R3-D10,Subway,Woman,PERSON,1,CONTROL_PARTIAL_OCCLUSION,-0.033282860451711214,-0.012107809147949181,-0.021175051303762033
1,mrm1,1,R3-D11,Freeman3,David2,FACE_HEAD,1,MULTI_FACE_BACKGROUND,-0.014904129888756258,0.020623433941907635,-0.035527563830663897
1,mrm1,1,R3-D12,Singer1,Dancer,PERSON,1,COSTUME_DIFFERENCE_CLASS_RESOLVED_PERSON,-0.018022503398023706,0.019321835438985673,-0.037344338837009383
2,mrm2,2,R3-D01,Basketball,David3,PERSON,2,CROSS_SCENE_ACTIVITY,-0.14911347880812817,0.014073361632644018,-0.1631868404407722
2,mrm2,2,R3-D02,Bolt,Human8,PERSON,1,CROSS_SCENE_ACTIVITY,0,0.024328854905483116,-0.024328854905483116
2,mrm2,2,R3-D03,Liquor,Liquor,OBJECT_OTHER,2,STRONG_SAME_SEQUENCE,-0.013798947714148602,-0.014180558203677519,0.00038161048952891664
