pair_id,side,sequence,frame_index,connected_component,oracle_label,oracle_skip_benefit,oof_skip_probability,selected_C,validation_scheme,threshold_selected,holdout
R3-D01,primary,Basketball,397,component_01,1,0.07890802466274166,0.5056193861752866,0.01,leave-one-connected-component-out,False,False
R3-D01,primary,Basketball,398,component_01,1,0.05657196377657392,0.4895804945602339,0.01,leave-one-connected-component-out,False,False
R3-D01,primary,Basketball,399,component_01,0,-0.011664018489094374,0.4981211305761426,0.01,leave-one-connected-component-out,False,False
R3-D01,primary,Basketball,400,component_01,0,-0.08028790341304853,0.5161669046162329,0.01,leave-one-connected-component-out,False,False
R3-D01,primary,Basketball,401,component_01,1,0.03944920898995041,0.5111662057448776,0.01,leave-one-connected-component-out,False,False
R3-D01,primary,Basketball,402,component_01,1,0.029595108760678612,0.4988121328389693,0.01,leave-one-connected-component-out,False,False
R3-D01,primary,Basketball,403,component_01,0,-0.07036623320596574,0.5115110041732572,0.01,leave-one-connected-component-out,False,False
R3-D01,primary,Basketball,404,component_01,0,-0.08183286412111268,0.5129913469868486,0.01,leave-one-connected-component-out,False,False
R3-D01,primary,Basketball,405,component_01,0,-0.011931339652152984,0.5050508198235266,0.01,leave-one-connected-component-out,False,False
R3-D01,primary,Basketball,406,component_01,1,0.06531106688587002,0.5072766116842183,0.01,leave-one-connected-component-out,False,False
R3-D01,primary,Basketball,407,component_01,0,-0.013783038488499377,0.493396341366199,0.01,leave-one-connected-component-out,False,False
R3-D01,primary,Basketball,408,component_01,1,0.0992071081082968,0.5133319888225143,0.01,leave-one-connected-component-out,False,False
R3-D01,primary,Basketball,409,component_01,1,0.06405607223570337,0.5218862319722006,0.01,leave-one-connected-component-out,False,False
R3-D01,primary,Basketball,410,component_01,1,0.003293325526932067,0.49529222499580483,0.01,leave-one-connected-component-out,False,False
R3-D01,primary,Basketball,411,component_01,0,-0.011658623317246652,0.5026255934672293,0.01,leave-one-connected-component-out,False,False
R3-D01,primary,Basketball,412,component_01,0,0.0,0.5068236027022425,0.01,leave-one-connected-component-out,False,False
R3-D01,primary,Basketball,413,component_01,0,-0.1432673754053766,0.5029293052973698,0.01,leave-one-connected-component-out,False,False
R3-D01,primary,Basketball,414,component_01,1,0.009562500000000002,0.5109546953416924,0.01,leave-one-connected-component-out,False,False
R3-D01,primary,Basketball,415,component_01,1,0.17536043218467975,0.4714918206657539,0.01,leave-one-connected-component-out,False,False
R3-D01,primary,Basketball,416,component_01,1,0.255950956937799,0.4572356548593761,0.01,leave-one-connected-component-out,False,False
R3-D01,primary,Basketball,417,component_01,1,0.18552339505297516,0.47448895812102404,0.01,leave-one-connected-component-out,False,False
R3-D01,primary,Basketball,418,component_01,1,0.3472887767969735,0.5152867888484742,0.01,leave-one-connected-component-out,False,False
R3-D01,primary,Basketball,419,component_01,1,0.3793388429752066,0.3940282498788265,0.01,leave-one-connected-component-out,False,False
R3-D01,primary,Basketball,420,component_01,1,0.33836841476028007,0.48734290606051767,0.01,leave-one-connected-component-out,False,False
R3-D01,primary,Basketball,421,component_01,1,0.3336159903089037,0.491383560811624,0.01,leave-one-connected-component-out,False,False
R3-D01,primary,Basketball,422,component_01,1,0.3554924486898154,0.5338429729601805,0.01,leave-one-connected-component-out,False,False
R3-D01,primary,Basketball,423,component_01,1,0.3388704318936877,0.5014738500190566,0.01,leave-one-connected-component-out,False,False
R3-D01,primary,Basketball,424,component_01,1,0.3672,0.5008350158237563,0.01,leave-one-connected-component-out,False,False
R3-D01,primary,Basketball,425,component_01,1,0.392811296534018,0.5153318689413648,0.01,leave-one-connected-component-out,False,False
R3-D01,primary,Basketball,426,component_01,1,0.3589676746611053,0.4983501985846946,0.01,leave-one-connected-component-out,False,False
R3-D01,primary,Basketball,427,component_01,1,0.4038123167155425,0.5090673537782996,0.01,leave-one-connected-component-out,False,False
R3-D01,primary,Basketball,428,component_01,1,0.411044776119403,0.5064920403441551,0.01,leave-one-connected-component-out,False,False
R3-D01,primary,Basketball,429,component_01,1,0.38636363636363635,0.48410135266059257,0.01,leave-one-connected-component-out,False,False
R3-D01,primary,Basketball,430,component_01,1,0.37382923849599564,0.5154540113825583,0.01,leave-one-connected-component-out,False,False
R3-D01,primary,Basketball,431,component_01,1,0.29805194805194807,0.5031901843840255,0.01,leave-one-connected-component-out,False,False
R3-D01,primary,Basketball,432,component_01,1,0.29360341151385927,0.49585260037292633,0.01,leave-one-connected-component-out,False,False
R3-D01,primary,Basketball,433,component_01,1,0.4156981132075472,0.48368137688948765,0.01,leave-one-connected-component-out,False,False
R3-D01,primary,Basketball,434,component_01,1,0.4509445356885832,0.4776753585893782,0.01,leave-one-connected-component-out,False,False
R3-D01,primary,Basketball,435,component_01,1,0.4153846153846154,0.470003628082491,0.01,leave-one-connected-component-out,False,False
R3-D02,primary,Bolt,31,component_02,0,0.0,0.6524767256879684,0.01,leave-one-connected-component-out,False,False
R3-D02,primary,Bolt,32,component_02,0,0.0,0.6604247468619989,0.01,leave-one-connected-component-out,False,False
R3-D02,primary,Bolt,33,component_02,0,0.0,0.6613455501702952,0.01,leave-one-connected-component-out,False,False
R3-D02,primary,Bolt,34,component_02,0,0.0,0.646219693069281,0.01,leave-one-connected-component-out,False,False
R3-D02,primary,Bolt,35,component_02,0,0.0,0.6460099285480373,0.01,leave-one-connected-component-out,False,False
R3-D02,primary,Bolt,36,component_02,0,0.0,0.6129232202676284,0.01,leave-one-connected-component-out,False,False
R3-D02,primary,Bolt,37,component_02,0,0.0,0.6116556103333112,0.01,leave-one-connected-component-out,False,False
R3-D02,primary,Bolt,38,component_02,0,0.0,0.6432048737035563,0.01,leave-one-connected-component-out,False,False
R3-D02,primary,Bolt,39,component_02,0,0.0,0.6417430699807173,0.01,leave-one-connected-component-out,False,False
