frame_index,frame_source,phase,measurement_state,bbox_x_float,bbox_y_float,bbox_w_float,bbox_h_float,bbox_x_int,bbox_y_int,bbox_w_int,bbox_h_int,encoder_forward_ms,decoder_forward_ms,model_forward_ms,end_to_end_ms
1,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Couple\img\0001.jpg,initialize,not_applicable,51.0,47.0,25.0,62.0,51,47,25,62,,,,1112.3890000017127
2,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Couple\img\0002.jpg,track,measured,49.06567573547363,40.25392150878906,23.655208587646484,66.16690063476562,49,40,23,66,,,,549.0338999952655
3,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Couple\img\0003.jpg,track,measured,35.80639934539795,36.289127349853516,24.269052505493164,66.46460723876953,35,36,24,66,,,,349.52940000221133
4,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Couple\img\0004.jpg,track,measured,34.3327054977417,40.0794792175293,23.6396427154541,67.94170379638672,34,40,23,67,,,,402.79769999324344
5,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Couple\img\0005.jpg,track,measured,38.98544883728027,34.40354919433594,24.67319107055664,72.2230224609375,38,34,24,72,,,,384.65770000766497
6,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Couple\img\0006.jpg,track,measured,28.31345558166504,36.85842514038086,26.876903533935547,69.6348648071289,28,36,26,69,,,,464.2349999921862
7,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Couple\img\0007.jpg,track,measured,32.94043731689453,34.688297271728516,24.85955810546875,69.20145416259766,32,34,24,69,,,,438.30829999933485
8,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Couple\img\0008.jpg,track,measured,38.4336576461792,38.49513626098633,26.543710708618164,70.24251556396484,38,38,26,70,,,,399.34219999122433
9,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Couple\img\0009.jpg,track,measured,42.825446128845215,34.82123947143555,25.900957107543945,72.44857025146484,42,34,25,72,,,,392.7750000002561
10,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Couple\img\0010.jpg,track,measured,41.76198673248291,31.747512817382812,22.804716110229492,68.99075317382812,41,31,22,68,,,,394.43120000942145
11,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Couple\img\0011.jpg,track,measured,42.302700996398926,30.416099548339844,27.5961971282959,69.10884094238281,42,30,27,69,,,,445.306099994923
12,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Couple\img\0012.jpg,track,measured,46.70309829711914,33.59315490722656,23.70116424560547,65.26776123046875,46,33,23,65,,,,490.46839999209624
