frame_index,frame_source,phase,measurement_state,bbox_x_float,bbox_y_float,bbox_w_float,bbox_h_float,bbox_x_int,bbox_y_int,bbox_w_int,bbox_h_int,encoder_forward_ms,decoder_forward_ms,model_forward_ms,end_to_end_ms
1,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Crossing\img\0001.jpg,initialize,not_applicable,205.0,151.0,17.0,50.0,205,151,17,50,,,,2075.950300000841
2,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Crossing\img\0002.jpg,track,measured,202.28693675994873,149.70417404174805,19.62351417541504,51.91444396972656,202,149,19,51,,,,590.7058000011602
3,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Crossing\img\0003.jpg,track,measured,201.38805389404297,152.1144618988037,21.136611938476562,45.324947357177734,201,152,21,45,,,,468.78739999374375
4,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Crossing\img\0004.jpg,track,measured,199.23315715789795,150.63543128967285,20.206071853637695,49.47861862182617,199,150,20,49,,,,469.45239999331534
5,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Crossing\img\0005.jpg,track,measured,198.25337409973145,148.93574714660645,20.197437286376953,52.329158782958984,198,148,20,52,,,,473.57970000302885
6,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Crossing\img\0006.jpg,track,measured,196.92021369934082,147.8286075592041,20.833576202392578,53.97732162475586,196,147,20,53,,,,441.63339999795426
7,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Crossing\img\0007.jpg,track,measured,195.10708808898926,148.9538803100586,21.639972686767578,52.343780517578125,195,148,21,52,,,,419.8354000109248
8,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Crossing\img\0008.jpg,track,measured,193.99391841888428,148.0391139984131,19.76841163635254,51.99203872680664,193,148,19,51,,,,357.46920001110993
9,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Crossing\img\0009.jpg,track,measured,192.75368976593018,147.9664306640625,21.02083396911621,51.473724365234375,192,147,21,51,,,,388.6038000055123
10,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Crossing\img\0010.jpg,track,measured,191.74495887756348,146.2233943939209,20.992610931396484,54.38936233520508,191,146,20,54,,,,388.6968999868259
11,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Crossing\img\0011.jpg,track,measured,187.83263111114502,145.38945198059082,21.383047103881836,51.513484954833984,187,145,21,51,,,,479.13079999852926
12,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Crossing\img\0012.jpg,track,measured,187.8670015335083,144.90477752685547,19.47554588317871,51.22178649902344,187,144,19,51,,,,435.00589999894146
13,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Crossing\img\0013.jpg,track,measured,185.6935806274414,144.53280639648438,19.967330932617188,49.91371154785156,185,144,19,49,,,,444.2328000004636
14,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Crossing\img\0014.jpg,track,measured,185.46611309051514,145.201904296875,19.639673233032227,48.487815856933594,185,145,19,48,,,,405.15570000570733
15,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Crossing\img\0015.jpg,track,measured,183.75899696350098,143.38174629211426,19.720333099365234,51.09303665161133,183,143,19,51,,,,421.1429999995744
16,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Crossing\img\0016.jpg,track,measured,181.4785213470459,142.5137119293213,20.197437286376953,52.329158782958984,181,142,20,52,,,,406.1351999989711
