frame_index,frame_source,phase,measurement_state,bbox_x_float,bbox_y_float,bbox_w_float,bbox_h_float,bbox_x_int,bbox_y_int,bbox_w_int,bbox_h_int,encoder_forward_ms,decoder_forward_ms,model_forward_ms,end_to_end_ms
1,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Couple\img\0001.jpg,initialize,not_applicable,51.0,47.0,25.0,62.0,51,47,25,62,,,,1214.8491999978432
2,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Couple\img\0002.jpg,track,warmup,49.06567573547363,40.25392150878906,23.655208587646484,66.16690063476562,49,40,23,66,392.05049999873154,130.2914999978384,522.3419999965699,528.191199991852
3,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Couple\img\0003.jpg,track,warmup,35.80639934539795,36.289127349853516,24.269052505493164,66.46460723876953,35,36,24,66,275.7036000111839,24.734299993724562,300.43790000490844,304.96449999918696
4,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Couple\img\0004.jpg,track,warmup,34.3327054977417,40.0794792175293,23.6396427154541,67.94170379638672,34,40,23,67,252.65029999718536,23.13739999954123,275.7876999967266,280.0146999943536
5,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Couple\img\0005.jpg,track,warmup,38.98544883728027,34.40354919433594,24.67319107055664,72.2230224609375,38,34,24,72,254.53940000443254,22.42649999971036,276.9659000041429,282.16620000603143
6,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Couple\img\0006.jpg,track,warmup,28.31345558166504,36.85842514038086,26.876903533935547,69.6348648071289,28,36,26,69,247.78499999956694,19.913900003302842,267.6989000028698,271.4325999986613
7,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Couple\img\0007.jpg,track,warmup,32.94043731689453,34.688297271728516,24.85955810546875,69.20145416259766,32,34,24,69,247.0029000105569,20.165499998256564,267.1684000088135,271.5645999996923
8,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Couple\img\0008.jpg,track,warmup,38.4336576461792,38.49513626098633,26.543710708618164,70.24251556396484,38,38,26,70,236.49399999703746,17.495799998869188,253.98979999590665,256.8806999915978
9,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Couple\img\0009.jpg,track,warmup,42.825446128845215,34.82123947143555,25.900957107543945,72.44857025146484,42,34,25,72,248.05530000594445,17.712299988488667,265.7675999944331,268.774600001052
10,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Couple\img\0010.jpg,track,warmup,41.76198673248291,31.747512817382812,22.804716110229492,68.99075317382812,41,31,22,68,341.98620000097435,23.621900007128716,365.60810000810307,369.7535999963293
