frame_index,frame_source,phase,measurement_state,bbox_x_float,bbox_y_float,bbox_w_float,bbox_h_float,bbox_x_int,bbox_y_int,bbox_w_int,bbox_h_int,encoder_forward_ms,decoder_forward_ms,model_forward_ms,end_to_end_ms
1,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Crossing\img\0001.jpg,initialize,not_applicable,205.0,151.0,17.0,50.0,205,151,17,50,,,,406.8893000076059
2,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Crossing\img\0002.jpg,track,warmup,202.28693675994873,149.70417404174805,19.62351417541504,51.91444396972656,202,149,19,51,118.44939998991322,52.989700008765794,171.439099998679,173.6761999927694
3,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Crossing\img\0003.jpg,track,warmup,201.38805389404297,152.1144618988037,21.136611938476562,45.324947357177734,201,152,21,45,103.90960000222549,8.30800000403542,112.21760000626091,113.66599999018945
4,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Crossing\img\0004.jpg,track,warmup,199.23315715789795,150.63543128967285,20.206071853637695,49.47861862182617,199,150,20,49,105.66990000370424,10.596599997370504,116.26650000107475,117.60250000224914
5,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Crossing\img\0005.jpg,track,warmup,198.25337409973145,148.93574714660645,20.197437286376953,52.329158782958984,198,148,20,52,102.70840000885073,10.416700009955093,113.12510001880582,114.67629999970086
6,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Crossing\img\0006.jpg,track,warmup,196.92021369934082,147.8286075592041,20.833576202392578,53.97732162475586,196,147,20,53,107.81739999947604,8.384200002183206,116.20160000165924,117.80350000481121
7,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Crossing\img\0007.jpg,track,warmup,195.10708808898926,148.9538803100586,21.639972686767578,52.343780517578125,195,148,21,52,114.84619999828283,13.174699997762218,128.02089999604505,129.6969000104582
8,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Crossing\img\0008.jpg,track,warmup,193.99391841888428,148.0391139984131,19.76841163635254,51.99203872680664,193,148,19,51,120.67190000379924,11.342700003297068,132.0146000070963,133.44389999110717
9,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Crossing\img\0009.jpg,track,warmup,192.75368976593018,147.9664306640625,21.02083396911621,51.473724365234375,192,147,21,51,128.42029999592341,7.409800004097633,135.83010000002105,137.39390000409912
10,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Crossing\img\0010.jpg,track,warmup,191.74495887756348,146.2233943939209,20.992610931396484,54.38936233520508,191,146,20,54,130.1631000096677,12.998799997149035,143.16190000681672,145.09340000222437
