frame_index,frame_source,phase,measurement_state,bbox_x_float,bbox_y_float,bbox_w_float,bbox_h_float,bbox_x_int,bbox_y_int,bbox_w_int,bbox_h_int,encoder_forward_ms,decoder_forward_ms,model_forward_ms,end_to_end_ms
1,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Deer\img\0001.jpg,initialize,not_applicable,306.0,5.0,95.0,65.0,306,5,95,65,,,,1029.111700001522
2,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Deer\img\0002.jpg,track,warmup,307.44290924072266,4.5905303955078125,105.06944274902344,81.77981567382812,307,4,105,81,396.8716000090353,162.573199995677,559.4448000047123,565.0118000048678
3,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Deer\img\0003.jpg,track,warmup,318.0632972717285,25.233673095703125,92.9092025756836,87.42294311523438,318,25,92,87,315.0030999968294,20.973999999114312,335.9770999959437,340.8597999950871
4,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Deer\img\0004.jpg,track,warmup,325.2581672668457,45.99817657470703,109.51512908935547,93.96296691894531,325,45,109,93,499.4942999910563,31.91599999263417,531.4102999836905,535.6583999964641
5,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Deer\img\0005.jpg,track,warmup,326.5519828796387,76.90557098388672,118.27692413330078,99.13621520996094,326,76,118,99,353.7910000013653,31.64799998921808,385.4389999905834,392.6812000136124
6,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Deer\img\0006.jpg,track,warmup,331.3319320678711,115.46381378173828,107.32530212402344,88.40812683105469,331,115,107,88,415.74039999977686,28.345899991109036,444.0862999908859,455.0304000003962
7,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Deer\img\0007.jpg,track,warmup,326.0150947570801,138.26458358764648,118.80989837646484,80.37195587158203,326,138,118,80,382.32620000781026,29.33050000865478,411.65670001646504,416.2609000049997
8,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Deer\img\0008.jpg,track,warmup,325.1522789001465,133.10258865356448,114.32154083251953,103.18260955810547,325,133,114,103,456.05190000787843,31.860300005064346,487.9122000129428,493.46779999905266
9,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Deer\img\0009.jpg,track,warmup,316.71197509765625,108.59791564941409,130.80657958984375,117.50286865234375,316,108,130,117,535.2339999953983,40.14589999860618,575.3798999940045,588.4931000036886
10,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Deer\img\0010.jpg,track,warmup,316.33675384521484,74.25601959228518,140.2314910888672,132.52940368652344,316,74,140,132,606.1782000033418,32.98170000198297,639.1599000053247,644.4029999984195
11,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Deer\img\0011.jpg,track,warmup,293.79505157470703,46.86294555664065,219.81324768066406,195.6016845703125,293,46,219,195,516.7449000000488,38.30359999847133,555.0484999985201,564.4499000045471
12,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Deer\img\0012.jpg,track,warmup,268.7797164916993,25.775520324707145,126.70323181152344,114.29167175292969,268,25,126,114,525.0900000100955,46.38129999511875,571.4713000052143,586.5210000047227
13,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Deer\img\0013.jpg,track,warmup,255.46401596069342,13.722148895263786,95.8627700805664,93.44721221923828,255,13,95,93,463.2914000103483,35.428199989837594,498.7196000001859,503.6404999991646
