comparison_id,scope,sequence,left_identity,left_relative_or_member_path,left_sha256,right_identity,right_relative_or_member_path,right_sha256,raw_bytes_equal,decoded_line_sequence_equal,first_differing_frame_or_na,left_row_at_first_difference_or_na,right_row_at_first_difference_or_na
E1-CMP-001,OFFICIAL_TO_OFFICIAL,Deer,spiketrack_b256_t1.zip,otb/Deer.txt,3b0f49d0b09e2cb1ace5a97e12ebec4eca444dd7edfd98386790d3ba93e50e98,spiketrack_b256_t3.zip,otb/Deer.txt,74d52861b9da271c861e4c1452f8ee66e7eac3ace306384a6011e0aeb7bf9cdb,FALSE,FALSE,2,309	4	110	83,310	12	98	78
E1-CMP-002,OFFICIAL_TO_OFFICIAL,Crossing,spiketrack_b256_t1.zip,otb/Crossing.txt,200933069627fc7f5b03a898e08ea24644058d3ee47a7a63ff791afe52103e8e,spiketrack_b256_t3.zip,otb/Crossing.txt,4950c6858adae86e97bdbbbab50fd585f352424942e532e3f948d24671147a9b,FALSE,FALSE,2,202	152	21	46,202	151	20	46
E1-CMP-003,OFFICIAL_TO_OFFICIAL,Couple,spiketrack_b256_t1.zip,otb/Couple.txt,359a45c049c6f1c4b8e12829a0b6664155c0e3aea80d5f4153891d3ebd4ef90a,spiketrack_b256_t3.zip,otb/Couple.txt,a43c3c89aa7df2218922d6c4a14b460d828a4294cc195704aa0fa0da05c37213,FALSE,FALSE,2,47	39	25	64,46	40	26	64
E1-CMP-004,OFFICIAL_TO_OFFICIAL,Deer,spiketrack_b256_t1.zip,otb/Deer.txt,3b0f49d0b09e2cb1ace5a97e12ebec4eca444dd7edfd98386790d3ba93e50e98,spiketrack_b384_t1.zip,otb/Deer.txt,b0813ee8115305a800c57ab2b7660633d13e82afecaf02a9beb8f555b40ae80d,FALSE,FALSE,2,309	4	110	83,312	2	108	83
E1-CMP-005,OFFICIAL_TO_OFFICIAL,Crossing,spiketrack_b256_t1.zip,otb/Crossing.txt,200933069627fc7f5b03a898e08ea24644058d3ee47a7a63ff791afe52103e8e,spiketrack_b384_t1.zip,otb/Crossing.txt,6ee769d07075d5cffa8bfab0a104169f758716b162a65428b0b1265b2454dbf0,FALSE,FALSE,2,202	152	21	46,201	151	21	49
E1-CMP-006,OFFICIAL_TO_OFFICIAL,Couple,spiketrack_b256_t1.zip,otb/Couple.txt,359a45c049c6f1c4b8e12829a0b6664155c0e3aea80d5f4153891d3ebd4ef90a,spiketrack_b384_t1.zip,otb/Couple.txt,1f790a6e773a80182f8baa783b44b053b604d462a2d1bcd9cca6cd45f088358a,FALSE,FALSE,3,34	36	25	64,35	35	23	67
E1-CMP-007,OFFICIAL_TO_OFFICIAL,Deer,spiketrack_b256_t1.zip,otb/Deer.txt,3b0f49d0b09e2cb1ace5a97e12ebec4eca444dd7edfd98386790d3ba93e50e98,spiketrack_b384_t3.zip,otb/Deer.txt,cab21d4d77325b67632331183b345f540604b7c160a4bf98d5160ff6b9dec726,FALSE,FALSE,2,309	4	110	83,310	13	92	76
E1-CMP-008,OFFICIAL_TO_OFFICIAL,Crossing,spiketrack_b256_t1.zip,otb/Crossing.txt,200933069627fc7f5b03a898e08ea24644058d3ee47a7a63ff791afe52103e8e,spiketrack_b384_t3.zip,otb/Crossing.txt,2ce7760a03f539aaa618484cefbc65da5ec0d18d84f8b5c0a46fb89e098503cd,FALSE,FALSE,2,202	152	21	46,202	150	20	50
E1-CMP-009,OFFICIAL_TO_OFFICIAL,Couple,spiketrack_b256_t1.zip,otb/Couple.txt,359a45c049c6f1c4b8e12829a0b6664155c0e3aea80d5f4153891d3ebd4ef90a,spiketrack_b384_t3.zip,otb/Couple.txt,cca65a6bc39524f524da3ab7577e4cf4dd64d4e2413a88bcc6ca9b67e3d523af,FALSE,FALSE,2,47	39	25	64,47	40	27	65
E1-CMP-010,OFFICIAL_TO_OFFICIAL,Deer,spiketrack_b256_t1.zip,otb/Deer.txt,3b0f49d0b09e2cb1ace5a97e12ebec4eca444dd7edfd98386790d3ba93e50e98,spiketrack_s256_t1.zip,otb/Deer.txt,ad1f83563b33df88524358c5d5e2f6bf7eb59c6d90b083a95ad6d8a5bbd618c7,FALSE,FALSE,2,309	4	110	83,308	6	99	86
