canonical_order,sequence,entry_type,loader_frame_path,loader_annotation_path,staged_sequence_root,acquired_source_root_or_na,real_image_count,ground_truth_rows,ground_truth_sha256,authorized_tracker_execution,notes
1,Basketball,METADATA_ONLY_GT_STUB,Basketball/img,Basketball/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\Basketball,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
2,Biker,METADATA_ONLY_GT_STUB,Biker/img,Biker/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\Biker,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
3,Bird1,METADATA_ONLY_GT_STUB,Bird1/img,Bird1/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\Bird1,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
4,Bird2,METADATA_ONLY_GT_STUB,Bird2/img,Bird2/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\Bird2,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
5,BlurBody,METADATA_ONLY_GT_STUB,BlurBody/img,BlurBody/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\BlurBody,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
6,BlurCar1,METADATA_ONLY_GT_STUB,BlurCar1/img,BlurCar1/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\BlurCar1,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
7,BlurCar2,METADATA_ONLY_GT_STUB,BlurCar2/img,BlurCar2/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\BlurCar2,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
8,BlurCar3,METADATA_ONLY_GT_STUB,BlurCar3/img,BlurCar3/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\BlurCar3,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
9,BlurCar4,METADATA_ONLY_GT_STUB,BlurCar4/img,BlurCar4/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\BlurCar4,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
10,BlurFace,METADATA_ONLY_GT_STUB,BlurFace/img,BlurFace/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\BlurFace,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
11,BlurOwl,METADATA_ONLY_GT_STUB,BlurOwl/img,BlurOwl/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\BlurOwl,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
12,Board,METADATA_ONLY_GT_STUB,Board/img,Board/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\Board,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
13,Bolt,METADATA_ONLY_GT_STUB,Bolt/img,Bolt/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\Bolt,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
14,Bolt2,METADATA_ONLY_GT_STUB,Bolt2/img,Bolt2/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\Bolt2,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
15,Box,METADATA_ONLY_GT_STUB,Box/img,Box/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\Box,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
16,Boy,METADATA_ONLY_GT_STUB,Boy/img,Boy/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\Boy,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
17,Car1,METADATA_ONLY_GT_STUB,Car1/img,Car1/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\Car1,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
18,Car2,METADATA_ONLY_GT_STUB,Car2/img,Car2/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\Car2,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
19,Car24,METADATA_ONLY_GT_STUB,Car24/img,Car24/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\Car24,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
20,Car4,METADATA_ONLY_GT_STUB,Car4/img,Car4/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\Car4,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
21,CarDark,METADATA_ONLY_GT_STUB,CarDark/img,CarDark/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\CarDark,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
22,CarScale,METADATA_ONLY_GT_STUB,CarScale/img,CarScale/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\CarScale,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
23,ClifBar,METADATA_ONLY_GT_STUB,ClifBar/img,ClifBar/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\ClifBar,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
24,Coke,METADATA_ONLY_GT_STUB,Coke/img,Coke/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\Coke,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
25,Couple,REAL_ACQUIRED_BYTE_COPY,Couple/img,Couple/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\Couple,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Couple,140,140,43c6d304f9f65b28940389429dfdbd33e544075c6b8d3c00e0c72558dac55d10,True,F: is exFAT and rejected New-Item -ItemType Junction with Incorrect function; Manager authorized a verified byte-copy fallback.
26,Coupon,METADATA_ONLY_GT_STUB,Coupon/img,Coupon/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\Coupon,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
27,Crossing,REAL_ACQUIRED_BYTE_COPY,Crossing/img,Crossing/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\Crossing,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Crossing,120,120,3588d1821b80f8bc7f88645cbfca32454d474135d7841f85b304615fecf54ac4,True,F: is exFAT and rejected New-Item -ItemType Junction with Incorrect function; Manager authorized a verified byte-copy fallback.
28,Crowds,METADATA_ONLY_GT_STUB,Crowds/img,Crowds/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\Crowds,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
29,Dancer,METADATA_ONLY_GT_STUB,Dancer/img,Dancer/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\Dancer,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
30,Dancer2,METADATA_ONLY_GT_STUB,Dancer2/img,Dancer2/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\Dancer2,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
31,David,METADATA_ONLY_GT_STUB,David/img,David/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\David,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
32,David2,METADATA_ONLY_GT_STUB,David2/img,David2/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\David2,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
33,David3,METADATA_ONLY_GT_STUB,David3/img,David3/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\David3,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
34,Deer,REAL_ACQUIRED_BYTE_COPY,Deer/img,Deer/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\Deer,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\extracted\OTB2015\Deer,71,71,f22bd21c55d23f24371993e4e5f36b09b744a204953a7de4654e99358900ad59,True,F: is exFAT and rejected New-Item -ItemType Junction with Incorrect function; Manager authorized a verified byte-copy fallback.
35,Diving,METADATA_ONLY_GT_STUB,Diving/img,Diving/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\Diving,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
36,Dog,METADATA_ONLY_GT_STUB,Dog/img,Dog/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\Dog,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
37,Dog1,METADATA_ONLY_GT_STUB,Dog1/img,Dog1/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\Dog1,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
38,Doll,METADATA_ONLY_GT_STUB,Doll/img,Doll/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\Doll,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
39,DragonBaby,METADATA_ONLY_GT_STUB,DragonBaby/img,DragonBaby/groundtruth_rect.txt,F:\Q1_TrackingResearch_Data\OTB100_Figshare_24427468_v1\stage4a_e2_results\evaluator_otb3\DragonBaby,NA,0,6,7bded7391d6a863c80f4efb2a283fb2b6327d01970106999dece3fd51a5286e5,False,Eager-loader annotation stub only; no source image is present.
