sequence,run_id,runtime_mode,first_any_box_difference_frame,maximum_component_difference_at_first_frame,local_box_at_first_difference,released_box_at_first_difference,first_iou_below_0_95_frame,iou_at_first_below_0_95,local_box_at_first_iou_below_0_95,released_box_at_first_iou_below_0_95,first_iou_below_0_75_frame,iou_at_first_below_0_75,local_box_at_first_iou_below_0_75,released_box_at_first_iou_below_0_75,maximum_component_difference_at_or_after_first,maximum_component_difference_frame,local_box_at_maximum_component_difference,released_box_at_maximum_component_difference
Deer,adapter_deterministic,deterministic,2,6,"[307.0,4.0,105.0,81.0]","[308.0,6.0,99.0,86.0]",2,0.85029354207436403,"[307.0,4.0,105.0,81.0]","[308.0,6.0,99.0,86.0]",6,0.69748148148148148,"[331.0,115.0,107.0,88.0]","[329.0,109.0,125.0,108.0]",363,17,"[207.0,16.0,94.0,88.0]","[236.0,21.0,457.0,226.0]"
Deer,official_runner_deterministic,deterministic,2,6,"[307.0,4.0,105.0,81.0]","[308.0,6.0,99.0,86.0]",2,0.85029354207436403,"[307.0,4.0,105.0,81.0]","[308.0,6.0,99.0,86.0]",6,0.69748148148148148,"[331.0,115.0,107.0,88.0]","[329.0,109.0,125.0,108.0]",363,17,"[207.0,16.0,94.0,88.0]","[236.0,21.0,457.0,226.0]"
Deer,official_runner_default_run1,default,2,6,"[307.0,4.0,105.0,81.0]","[308.0,6.0,99.0,86.0]",2,0.85029354207436403,"[307.0,4.0,105.0,81.0]","[308.0,6.0,99.0,86.0]",6,0.69748148148148148,"[331.0,115.0,107.0,88.0]","[329.0,109.0,125.0,108.0]",363,17,"[207.0,16.0,94.0,88.0]","[236.0,21.0,457.0,226.0]"
Deer,official_runner_default_run2,default,2,6,"[307.0,4.0,105.0,81.0]","[308.0,6.0,99.0,86.0]",2,0.85029354207436403,"[307.0,4.0,105.0,81.0]","[308.0,6.0,99.0,86.0]",6,0.69748148148148148,"[331.0,115.0,107.0,88.0]","[329.0,109.0,125.0,108.0]",363,17,"[207.0,16.0,94.0,88.0]","[236.0,21.0,457.0,226.0]"
Deer,official_runner_default_run3,default,2,6,"[307.0,4.0,105.0,81.0]","[308.0,6.0,99.0,86.0]",2,0.85029354207436403,"[307.0,4.0,105.0,81.0]","[308.0,6.0,99.0,86.0]",6,0.69748148148148148,"[331.0,115.0,107.0,88.0]","[329.0,109.0,125.0,108.0]",363,17,"[207.0,16.0,94.0,88.0]","[236.0,21.0,457.0,226.0]"
Crossing,adapter_deterministic,deterministic,2,1,"[202.0,149.0,19.0,51.0]","[201.0,150.0,20.0,50.0]",2,0.93228655544651617,"[202.0,149.0,19.0,51.0]","[201.0,150.0,20.0,50.0]",41,0.732739420935412,"[161.0,126.0,26.0,50.0]","[160.0,126.0,22.0,47.0]",7,43,"[154.0,120.0,25.0,54.0]","[156.0,123.0,23.0,47.0]"
Crossing,official_runner_deterministic,deterministic,2,1,"[202.0,149.0,19.0,51.0]","[201.0,150.0,20.0,50.0]",2,0.93228655544651617,"[202.0,149.0,19.0,51.0]","[201.0,150.0,20.0,50.0]",41,0.732739420935412,"[161.0,126.0,26.0,50.0]","[160.0,126.0,22.0,47.0]",7,43,"[154.0,120.0,25.0,54.0]","[156.0,123.0,23.0,47.0]"
Crossing,official_runner_default_run1,default,2,1,"[202.0,149.0,19.0,51.0]","[201.0,150.0,20.0,50.0]",2,0.93228655544651617,"[202.0,149.0,19.0,51.0]","[201.0,150.0,20.0,50.0]",41,0.732739420935412,"[161.0,126.0,26.0,50.0]","[160.0,126.0,22.0,47.0]",7,43,"[154.0,120.0,25.0,54.0]","[156.0,123.0,23.0,47.0]"
Crossing,official_runner_default_run2,default,2,1,"[202.0,149.0,19.0,51.0]","[201.0,150.0,20.0,50.0]",2,0.93228655544651617,"[202.0,149.0,19.0,51.0]","[201.0,150.0,20.0,50.0]",41,0.732739420935412,"[161.0,126.0,26.0,50.0]","[160.0,126.0,22.0,47.0]",7,43,"[154.0,120.0,25.0,54.0]","[156.0,123.0,23.0,47.0]"
Crossing,official_runner_default_run3,default,2,1,"[202.0,149.0,19.0,51.0]","[201.0,150.0,20.0,50.0]",2,0.93228655544651617,"[202.0,149.0,19.0,51.0]","[201.0,150.0,20.0,50.0]",41,0.732739420935412,"[161.0,126.0,26.0,50.0]","[160.0,126.0,22.0,47.0]",7,43,"[154.0,120.0,25.0,54.0]","[156.0,123.0,23.0,47.0]"
Couple,adapter_deterministic,deterministic,2,2,"[49.0,40.0,23.0,66.0]","[47.0,39.0,25.0,67.0]",2,0.90626865671641788,"[49.0,40.0,23.0,66.0]","[47.0,39.0,25.0,67.0]",6,0.74595141700404854,"[28.0,36.0,26.0,69.0]","[32.0,34.0,24.0,69.0]",16,116,"[116.0,42.0,32.0,85.0]","[113.0,39.0,36.0,101.0]"
Couple,official_runner_deterministic,deterministic,2,2,"[49.0,40.0,23.0,66.0]","[47.0,39.0,25.0,67.0]",2,0.90626865671641788,"[49.0,40.0,23.0,66.0]","[47.0,39.0,25.0,67.0]",6,0.74595141700404854,"[28.0,36.0,26.0,69.0]","[32.0,34.0,24.0,69.0]",16,116,"[116.0,42.0,32.0,85.0]","[113.0,39.0,36.0,101.0]"
Couple,official_runner_default_run1,default,2,2,"[49.0,40.0,23.0,66.0]","[47.0,39.0,25.0,67.0]",2,0.90626865671641788,"[49.0,40.0,23.0,66.0]","[47.0,39.0,25.0,67.0]",6,0.74595141700404854,"[28.0,36.0,26.0,69.0]","[32.0,34.0,24.0,69.0]",16,116,"[116.0,42.0,32.0,85.0]","[113.0,39.0,36.0,101.0]"
Couple,official_runner_default_run2,default,2,2,"[49.0,40.0,23.0,66.0]","[47.0,39.0,25.0,67.0]",2,0.90626865671641788,"[49.0,40.0,23.0,66.0]","[47.0,39.0,25.0,67.0]",6,0.74595141700404854,"[28.0,36.0,26.0,69.0]","[32.0,34.0,24.0,69.0]",16,116,"[116.0,42.0,32.0,85.0]","[113.0,39.0,36.0,101.0]"
Couple,official_runner_default_run3,default,2,2,"[49.0,40.0,23.0,66.0]","[47.0,39.0,25.0,67.0]",2,0.90626865671641788,"[49.0,40.0,23.0,66.0]","[47.0,39.0,25.0,67.0]",6,0.74595141700404854,"[28.0,36.0,26.0,69.0]","[32.0,34.0,24.0,69.0]",16,116,"[116.0,42.0,32.0,85.0]","[113.0,39.0,36.0,101.0]"
