sequence,frame_index,absolute_local_source_path,raw_file_sha256,width,height,decoded_bgr_sha256,decoded_rgb_sha256,source_copy_identifier,official_tracker_rgb_sha256,adapter_official_rgb_equal,adapter_official_diff_pixel_count,adapter_official_max_abs_pixel_diff
Deer,1,E:\Robot_Backup\TrackingResearch-master\OtherTracker\verified\TRACA-master\sequence\Deer\img\0001.jpg,3fa1932d9f04d6dfe655e60cb1f5bacdf6ebe8d0d50d4a234dd25742f2ba8442,704,400,659b872982ee6d941312b70fc4d68e9f0e43a6e917967cdc4e8b2b36b45b6e4c,d5f29da508bcf0d7fb5e9fd78a5ec3fccc707571407e19a8538e3568822c0e26,SRC1_PREVIOUS_ADAPTER,d5f29da508bcf0d7fb5e9fd78a5ec3fccc707571407e19a8538e3568822c0e26,True,0,0
Deer,2,E:\Robot_Backup\TrackingResearch-master\OtherTracker\verified\TRACA-master\sequence\Deer\img\0002.jpg,22e0d1bcd5080bdf66af162a5cb76323bce93b8361fb970f82f1998647970619,704,400,1170fff8d4337ebe38e87be74ceeb1baa349d533839c9672b26038eb69fd9ee5,8e4faa3fbb802329fbe1dde934ead769f1e9d1b215cc5e74b93588c052130d3d,SRC1_PREVIOUS_ADAPTER,8e4faa3fbb802329fbe1dde934ead769f1e9d1b215cc5e74b93588c052130d3d,True,0,0
Deer,3,E:\Robot_Backup\TrackingResearch-master\OtherTracker\verified\TRACA-master\sequence\Deer\img\0003.jpg,099acd252fd93eeb14c5f0fbd29d028a0c088550e91f7103fa9550842617a65d,704,400,8762e6543a813032c5c2563c0ae56f631fe8c8ecdfb1c8225b9d098a20f3c343,cf727371f70443721a46545b10c49a5f8ad7ad8a0bf4ea551e74c27924f54e80,SRC1_PREVIOUS_ADAPTER,cf727371f70443721a46545b10c49a5f8ad7ad8a0bf4ea551e74c27924f54e80,True,0,0
Deer,4,E:\Robot_Backup\TrackingResearch-master\OtherTracker\verified\TRACA-master\sequence\Deer\img\0004.jpg,4022080b344a26049ee831b4dc20c32f3e7d0038edb37b466cd0899d6505e8bd,704,400,ec81a4429e0b4aed099b5b67d0e666087054f5a6d73050335b60cfec211091a4,ae871f32f560c32ca0c55543023947921776f781c03b86b065f33e75738df513,SRC1_PREVIOUS_ADAPTER,ae871f32f560c32ca0c55543023947921776f781c03b86b065f33e75738df513,True,0,0
Deer,5,E:\Robot_Backup\TrackingResearch-master\OtherTracker\verified\TRACA-master\sequence\Deer\img\0005.jpg,5b1fcd4794b30353f5f67f85eb92b3982d3e6086b8bcbda134127601323a7dfa,704,400,c338ab5aad4c2ff59bf84d91fca268d56816f8da27e288f1e2d5ebc87f674463,4f4cea2b955bca0282c068c21da40a061777b0cbd172f3d6de742c327db47888,SRC1_PREVIOUS_ADAPTER,4f4cea2b955bca0282c068c21da40a061777b0cbd172f3d6de742c327db47888,True,0,0
Deer,6,E:\Robot_Backup\TrackingResearch-master\OtherTracker\verified\TRACA-master\sequence\Deer\img\0006.jpg,0a2338ec46a1a018328441cf1571698c58208ce22d22b634e23ada7a8148996b,704,400,8e7bd45e7d44950306db83f865fe4c287e6bc3f9ff953abe2a508da1f92dc64d,9aa086f8b4cda18454d27a58b0cf4d262e5e2e5a13109db2603923ce2ca86047,SRC1_PREVIOUS_ADAPTER,9aa086f8b4cda18454d27a58b0cf4d262e5e2e5a13109db2603923ce2ca86047,True,0,0
Deer,7,E:\Robot_Backup\TrackingResearch-master\OtherTracker\verified\TRACA-master\sequence\Deer\img\0007.jpg,d567523dc1e7eabe2c032e45623d7dc5a03cf98d83ccb6e36119d71cb9836339,704,400,d9fee1e1d5b55740b5c68a4c2f1e67eb54ca296ced694b826964a2a60a24a777,112e05968a8faff52f5bfe0160ecc4335b62edbab6a77db31c333337d02ec90f,SRC1_PREVIOUS_ADAPTER,112e05968a8faff52f5bfe0160ecc4335b62edbab6a77db31c333337d02ec90f,True,0,0
Deer,8,E:\Robot_Backup\TrackingResearch-master\OtherTracker\verified\TRACA-master\sequence\Deer\img\0008.jpg,ffb3b6900eebf42e2d26562f033b81c35d69780947f90fb0f23e814519826c3d,704,400,fa17622ce165307b12e7f84a3cae6db8d233e04097db643e9cf110e789fabe6e,72eeafc6fa888c5d34e9b143d80c622d5840e20272597421661b0563fffffc55,SRC1_PREVIOUS_ADAPTER,72eeafc6fa888c5d34e9b143d80c622d5840e20272597421661b0563fffffc55,True,0,0
Deer,9,E:\Robot_Backup\TrackingResearch-master\OtherTracker\verified\TRACA-master\sequence\Deer\img\0009.jpg,f589534e421ea8c280c3ae188f6d3d57a98a4ea546d2cbb72cb98b552bf75c17,704,400,db458bce6768ff645f4e292b7cead4ddd5349276c07a29808000d1cb9ea2bda0,452874bc7b60068896c38258695018af6df543cb999976f89d9d7057aa49bbe0,SRC1_PREVIOUS_ADAPTER,452874bc7b60068896c38258695018af6df543cb999976f89d9d7057aa49bbe0,True,0,0
Deer,10,E:\Robot_Backup\TrackingResearch-master\OtherTracker\verified\TRACA-master\sequence\Deer\img\0010.jpg,35fea29a4dc55c61024f83a7b4da417562d11dc5323da8e20daa81245ee25813,704,400,580d979e1d105d7828b1adb0ed57c2b8c7cd006e9984f4fe9ad5ff2c9f47f0a1,d738473d991cdabed96f2e5298d510d0842e0771ed6754aaae25e34f05bccb1b,SRC1_PREVIOUS_ADAPTER,d738473d991cdabed96f2e5298d510d0842e0771ed6754aaae25e34f05bccb1b,True,0,0
Deer,11,E:\Robot_Backup\TrackingResearch-master\OtherTracker\verified\TRACA-master\sequence\Deer\img\0011.jpg,321757619318e180336cb2d926225ba772217996942333e78c30ceaa0cd2aa75,704,400,feaf462e7376fc796dc2e8bcbdc4e6867aa8f18fd5cf0b9d9ecc394db6752b8e,2b648322bc3474ad9dbfac5b298a5f754a05ee3e054553f7bff611dd8b9b5832,SRC1_PREVIOUS_ADAPTER,2b648322bc3474ad9dbfac5b298a5f754a05ee3e054553f7bff611dd8b9b5832,True,0,0
Deer,12,E:\Robot_Backup\TrackingResearch-master\OtherTracker\verified\TRACA-master\sequence\Deer\img\0012.jpg,93e5365ba527fcfcf3a66fd1c718fe342a201a919d3478584d11d3428228ccd8,704,400,52e8e79f1da81166d8e518f4ce168aca45c3bca719835276dc006195a6e952c9,4d73e007b56933b554ca4c2dde9918d2167713aa5173e7e64268af24c4e90a1a,SRC1_PREVIOUS_ADAPTER,4d73e007b56933b554ca4c2dde9918d2167713aa5173e7e64268af24c4e90a1a,True,0,0
Deer,13,E:\Robot_Backup\TrackingResearch-master\OtherTracker\verified\TRACA-master\sequence\Deer\img\0013.jpg,3909c5a1a58f62aaa15f83734450df34010d6590ef9577ad38ebc69c11ccac21,704,400,118e6ae194a17f75c22df3695c7cd59126d9ca99a6d1e92bc22429fef02a23cd,97e4b1d64613d1abebf3e5358049d7898eb6bf0f78124b35ee60f23ba0b937b9,SRC1_PREVIOUS_ADAPTER,97e4b1d64613d1abebf3e5358049d7898eb6bf0f78124b35ee60f23ba0b937b9,True,0,0
Deer,14,E:\Robot_Backup\TrackingResearch-master\OtherTracker\verified\TRACA-master\sequence\Deer\img\0014.jpg,920e41012d8b65ab3b3f94d5032baddd5ab75707b29355a75416b3f15b70d186,704,400,401324ba9d18c9834c4e18ae1600995254e055db52df1bdd1ea633f6e63cc180,54ed1a99d05edb1cb3a0c8a59a7df5604e2b3bf946745e375c25cb151a944a5c,SRC1_PREVIOUS_ADAPTER,54ed1a99d05edb1cb3a0c8a59a7df5604e2b3bf946745e375c25cb151a944a5c,True,0,0
Deer,15,E:\Robot_Backup\TrackingResearch-master\OtherTracker\verified\TRACA-master\sequence\Deer\img\0015.jpg,efea42b1091988ac09f623d0949897d7d9fdb28204ad770a9a6b581708adeeb7,704,400,9cafebe8809297d2c953b3b8d0c18bfd6f9da4e359833588dbe7903903080c11,630442ac088378f2f436a21cf961ad7a1844e0da144ee35a7911b528d4cf9559,SRC1_PREVIOUS_ADAPTER,630442ac088378f2f436a21cf961ad7a1844e0da144ee35a7911b528d4cf9559,True,0,0
Deer,16,E:\Robot_Backup\TrackingResearch-master\OtherTracker\verified\TRACA-master\sequence\Deer\img\0016.jpg,530b30badd7aae04c591c07d2854b5c516f1039cdf3f3192e20046da16ace5d3,704,400,074f40d05c3fc1f4a84e3f9a3b133bd79efc441c0f0d96c5994e69b3394b3a19,1f6cfac226c758bb7c602771a241ee3391c485b2aba84c4348322390cb5aeb51,SRC1_PREVIOUS_ADAPTER,1f6cfac226c758bb7c602771a241ee3391c485b2aba84c4348322390cb5aeb51,True,0,0
Deer,17,E:\Robot_Backup\TrackingResearch-master\OtherTracker\verified\TRACA-master\sequence\Deer\img\0017.jpg,8d14f79cbeef03c5adce9e74008148cfd3822b8d016ccee7de1b1882654721e5,704,400,6b74dd82cbc73a8624f5616521be6e6c31459d5e084f0efab9069a0bb03b5a78,c46b920d0f88ba15c3b8fac446554768d273b6da6147add2df753ca60019ee2c,SRC1_PREVIOUS_ADAPTER,c46b920d0f88ba15c3b8fac446554768d273b6da6147add2df753ca60019ee2c,True,0,0
Deer,18,E:\Robot_Backup\TrackingResearch-master\OtherTracker\verified\TRACA-master\sequence\Deer\img\0018.jpg,3edea5ef613e7af431539a41f2bb7b796052c18fca90e080113108278d4a301f,704,400,f0b6781d13afdcb1d303176b3ea1e64c5586f6ea20589b472f19b2e276f3a0ec,9ee7262d10a8b30ba2320deeabf822f569938e9fad4e1d0ee5b230ae9ef8b6bb,SRC1_PREVIOUS_ADAPTER,9ee7262d10a8b30ba2320deeabf822f569938e9fad4e1d0ee5b230ae9ef8b6bb,True,0,0
Deer,19,E:\Robot_Backup\TrackingResearch-master\OtherTracker\verified\TRACA-master\sequence\Deer\img\0019.jpg,19888167de723a5c3b95e2c44d19f35dec506c5cbaa442e58263f4441e4103c7,704,400,66513f73c67420ee8fdfd3c973376828493cc3baa856ffed3a450f6e2b13c00a,0e56aa10bc3a47f2b0e46baf9183be77aeacdcb0ccf38b0188e3b5444605ad56,SRC1_PREVIOUS_ADAPTER,0e56aa10bc3a47f2b0e46baf9183be77aeacdcb0ccf38b0188e3b5444605ad56,True,0,0
Deer,20,E:\Robot_Backup\TrackingResearch-master\OtherTracker\verified\TRACA-master\sequence\Deer\img\0020.jpg,10a5cf5da8896707d7ef18dc27174505689d5a6c6d00387bc636dd0fb04b6bbb,704,400,9303108d8e9aebf43a8ad1d4429e80901473ec65a8cbb5452836498a447b9059,9914912173631b236174d4247b89813bd04f3aecf4f3d665fc4a3a1f9a1b1447,SRC1_PREVIOUS_ADAPTER,9914912173631b236174d4247b89813bd04f3aecf4f3d665fc4a3a1f9a1b1447,True,0,0
Deer,21,E:\Robot_Backup\TrackingResearch-master\OtherTracker\verified\TRACA-master\sequence\Deer\img\0021.jpg,cf3cbde75dabaa98b55570a071eeb33bbac6a5d3fa14b32e9d9032785220e8d3,704,400,533f1dcb2f8597d551f75d1eed57da713db3aa414a3c782828eb02a7e0ee15ff,9b743a4ec4d8a6e58afb3a65e94857b747472e618e95c2204200eaff68e04de4,SRC1_PREVIOUS_ADAPTER,9b743a4ec4d8a6e58afb3a65e94857b747472e618e95c2204200eaff68e04de4,True,0,0
