sequence,source_copy_identifier,absolute_source_path,raw_sha256,parsed_row_count,first_box,last_box,normalized_parsed_value_sha256
Deer,SRC1_PREVIOUS_ADAPTER,E:\Robot_Backup\TrackingResearch-master\OtherTracker\verified\TRACA-master\sequence\Deer\groundtruth_rect.txt,f22bd21c55d23f24371993e4e5f36b09b744a204953a7de4654e99358900ad59,71,"[306.0,5.0,95.0,65.0]","[371.0,58.0,80.0,50.0]",f22bd21c55d23f24371993e4e5f36b09b744a204953a7de4654e99358900ad59
Deer,SRC2_ARCHIVED_DUPLICATE,E:\Robot_Backup\Crash_NotUse_Yet\TrackingResearch\OtherTracker\verified\TRACA-master\sequence\Deer\groundtruth_rect.txt,e775d1f305ce0f22043a13c4ca4437e01c3b7e661189b4b3f56fc8fe81686a83,71,"[306.0,5.0,95.0,65.0]","[371.0,58.0,80.0,50.0]",f22bd21c55d23f24371993e4e5f36b09b744a204953a7de4654e99358900ad59
Deer,SRC3_SCT4_COPY,E:\Robot_Backup\TrackingResearch-master\OtherTracker\verified\SCT4\SCT4\Deer\groundtruth.txt,f22bd21c55d23f24371993e4e5f36b09b744a204953a7de4654e99358900ad59,71,"[306.0,5.0,95.0,65.0]","[371.0,58.0,80.0,50.0]",f22bd21c55d23f24371993e4e5f36b09b744a204953a7de4654e99358900ad59
Deer,SRC4_SCT4_ARCHIVED_DUPLICATE,E:\Robot_Backup\Crash_NotUse_Yet\TrackingResearch\OtherTracker\verified\SCT4\SCT4\Deer\groundtruth.txt,e775d1f305ce0f22043a13c4ca4437e01c3b7e661189b4b3f56fc8fe81686a83,71,"[306.0,5.0,95.0,65.0]","[371.0,58.0,80.0,50.0]",f22bd21c55d23f24371993e4e5f36b09b744a204953a7de4654e99358900ad59
Deer,STAGED_MINIROOT,E:\Robot_Backup\tmp\stage4A_R_otb3\Deer\groundtruth_rect.txt,f22bd21c55d23f24371993e4e5f36b09b744a204953a7de4654e99358900ad59,71,"[306.0,5.0,95.0,65.0]","[371.0,58.0,80.0,50.0]",f22bd21c55d23f24371993e4e5f36b09b744a204953a7de4654e99358900ad59
Crossing,SRC1_PREVIOUS_ADAPTER,E:\Robot_Backup\TrackingResearch-master\OtherTracker\verified\ECO-master\sequences\Crossing\groundtruth_rect.txt,327f7a5ad6f5f84a9ba1c7d35c77e1bf60bb5bf93d10a092876a35bbc8bc68a8,120,"[205.0,151.0,17.0,50.0]","[56.0,93.0,14.0,36.0]",e4e611770e13ce9e25c03d4fad30957b7717228f1e28415058d0fc53c90b62e1
Crossing,SRC2_ARCHIVED_DUPLICATE,E:\Robot_Backup\Crash_NotUse_Yet\TrackingResearch\OtherTracker\verified\ECO-master\sequences\Crossing\groundtruth_rect.txt,517efde603176e40e9c6b50520900d9dbfa1e18bcb4c2b1ea66c9fe141057b90,120,"[205.0,151.0,17.0,50.0]","[56.0,93.0,14.0,36.0]",e4e611770e13ce9e25c03d4fad30957b7717228f1e28415058d0fc53c90b62e1
Crossing,STAGED_MINIROOT,E:\Robot_Backup\tmp\stage4A_R_otb3\Crossing\groundtruth_rect.txt,327f7a5ad6f5f84a9ba1c7d35c77e1bf60bb5bf93d10a092876a35bbc8bc68a8,120,"[205.0,151.0,17.0,50.0]","[56.0,93.0,14.0,36.0]",e4e611770e13ce9e25c03d4fad30957b7717228f1e28415058d0fc53c90b62e1
Couple,SRC1_PREVIOUS_ADAPTER,E:\Robot_Backup\TrackingResearch-master\OtherTracker\verified\SRDCF\SRDCF\sequences\Couple\groundtruth_rect.txt,87e15af91c0799149f5098bcd6182acd239a3ea08791653639ba9f2f44bd3bda,140,"[51.0,47.0,25.0,62.0]","[130.0,25.0,39.0,90.0]",3d0a6d4e112f3c4c309871c28475d4d42877219c7aee56a4faf4c027e5f4f0f1
Couple,SRC2_ARCHIVED_DUPLICATE,E:\Robot_Backup\Crash_NotUse_Yet\TrackingResearch\OtherTracker\verified\SRDCF\SRDCF\sequences\Couple\groundtruth_rect.txt,ff297d420c3ca8c658e3f605af7c2674cd86522a12e771e4e8574c32781b19b2,140,"[51.0,47.0,25.0,62.0]","[130.0,25.0,39.0,90.0]",3d0a6d4e112f3c4c309871c28475d4d42877219c7aee56a4faf4c027e5f4f0f1
Couple,STAGED_MINIROOT,E:\Robot_Backup\tmp\stage4A_R_otb3\Couple\groundtruth_rect.txt,87e15af91c0799149f5098bcd6182acd239a3ea08791653639ba9f2f44bd3bda,140,"[51.0,47.0,25.0,62.0]","[130.0,25.0,39.0,90.0]",3d0a6d4e112f3c4c309871c28475d4d42877219c7aee56a4faf4c027e5f4f0f1
