sequence,run_id,runner_type,runtime_mode,prediction_repository_path,prediction_sha256,prediction_rows,success_auc_percent,released_success_auc_percent,absolute_difference_percentage_points,within_0_5_percentage_points,byte_identical_to_released,box_values_identical_to_released,box_values_identical_to_official_default_run1
Deer,released_raw,released,unknown_author_mode,released_raw\Deer.txt,ad1f83563b33df88524358c5d5e2f6bf7eb59c6d90b083a95ad6d8a5bbd618c7,71,18.0415828303152,18.0415828303152,0,True,True,True,False
Deer,adapter_deterministic,adapter,deterministic,adapter_deterministic\Deer.txt,88a49dcd23393584e5b7a42061a9a3b89dcb851ae308694a130b3f24e54fdf5d,71,47.9543930248156,18.0415828303152,29.9128101945003,False,False,False,True
Deer,official_runner_deterministic,official_runner,deterministic,official_runner_deterministic\Deer.txt,88a49dcd23393584e5b7a42061a9a3b89dcb851ae308694a130b3f24e54fdf5d,71,47.9543930248156,18.0415828303152,29.9128101945003,False,False,False,True
Deer,official_runner_default_run1,official_runner,default,official_runner_default_run1\Deer.txt,88a49dcd23393584e5b7a42061a9a3b89dcb851ae308694a130b3f24e54fdf5d,71,47.9543930248156,18.0415828303152,29.9128101945003,False,False,False,True
Deer,official_runner_default_run2,official_runner,default,official_runner_default_run2\Deer.txt,88a49dcd23393584e5b7a42061a9a3b89dcb851ae308694a130b3f24e54fdf5d,71,47.9543930248156,18.0415828303152,29.9128101945003,False,False,False,True
Deer,official_runner_default_run3,official_runner,default,official_runner_default_run3\Deer.txt,88a49dcd23393584e5b7a42061a9a3b89dcb851ae308694a130b3f24e54fdf5d,71,47.9543930248156,18.0415828303152,29.9128101945003,False,False,False,True
Crossing,released_raw,released,unknown_author_mode,released_raw\Crossing.txt,db3a37edc91171fc1572533c89ee879f33e2e19851039a7f7ac59e7548458aff,120,79.5238095238095,79.5238095238095,0,True,True,True,False
Crossing,adapter_deterministic,adapter,deterministic,adapter_deterministic\Crossing.txt,039d9ca96e1ecf9f0714c88337e4eebd826e2cb78842984e33c5de775f28f65f,120,80,79.5238095238095,0.476190476190467,True,False,False,True
Crossing,official_runner_deterministic,official_runner,deterministic,official_runner_deterministic\Crossing.txt,039d9ca96e1ecf9f0714c88337e4eebd826e2cb78842984e33c5de775f28f65f,120,80,79.5238095238095,0.476190476190467,True,False,False,True
Crossing,official_runner_default_run1,official_runner,default,official_runner_default_run1\Crossing.txt,039d9ca96e1ecf9f0714c88337e4eebd826e2cb78842984e33c5de775f28f65f,120,80,79.5238095238095,0.476190476190467,True,False,False,True
Crossing,official_runner_default_run2,official_runner,default,official_runner_default_run2\Crossing.txt,039d9ca96e1ecf9f0714c88337e4eebd826e2cb78842984e33c5de775f28f65f,120,80,79.5238095238095,0.476190476190467,True,False,False,True
Crossing,official_runner_default_run3,official_runner,default,official_runner_default_run3\Crossing.txt,039d9ca96e1ecf9f0714c88337e4eebd826e2cb78842984e33c5de775f28f65f,120,80,79.5238095238095,0.476190476190467,True,False,False,True
Couple,released_raw,released,unknown_author_mode,released_raw\Couple.txt,37307157d9ff3f30b83bfe96c362bfe66ccbccc5dad00c97ad64e77d3537ad34,140,76.1904761904762,76.1904761904762,0,True,True,True,False
Couple,adapter_deterministic,adapter,deterministic,adapter_deterministic\Couple.txt,ced31cb5af587bbe069415163ef0d9a3d47779e5b116e4f619b5a0b80b7efe38,140,77.6530612244898,76.1904761904762,1.4625850340136,False,False,False,True
Couple,official_runner_deterministic,official_runner,deterministic,official_runner_deterministic\Couple.txt,ced31cb5af587bbe069415163ef0d9a3d47779e5b116e4f619b5a0b80b7efe38,140,77.6530612244898,76.1904761904762,1.4625850340136,False,False,False,True
Couple,official_runner_default_run1,official_runner,default,official_runner_default_run1\Couple.txt,ced31cb5af587bbe069415163ef0d9a3d47779e5b116e4f619b5a0b80b7efe38,140,77.6530612244898,76.1904761904762,1.4625850340136,False,False,False,True
Couple,official_runner_default_run2,official_runner,default,official_runner_default_run2\Couple.txt,ced31cb5af587bbe069415163ef0d9a3d47779e5b116e4f619b5a0b80b7efe38,140,77.6530612244898,76.1904761904762,1.4625850340136,False,False,False,True
Couple,official_runner_default_run3,official_runner,default,official_runner_default_run3\Couple.txt,ced31cb5af587bbe069415163ef0d9a3d47779e5b116e4f619b5a0b80b7efe38,140,77.6530612244898,76.1904761904762,1.4625850340136,False,False,False,True
