sequence,run_id,runtime_mode,timing_scope,timed_frames,seconds,fps_or_na,interpretation_boundary
Deer,adapter_deterministic,deterministic,frame loop excluding initialization,70,48.9444270999957,1.4301934693604,characterization only; not a speed comparison
Deer,official_runner_deterministic,deterministic,official saved per-frame time including initialization,71,25.990002,2.73181972052176,characterization only; launch/thermal state uncontrolled; prediction repeatability is the runtime-mode test
Deer,official_runner_default_run1,default,official saved per-frame time including initialization,71,29.329246,2.42079186079315,characterization only; launch/thermal state uncontrolled; prediction repeatability is the runtime-mode test
Deer,official_runner_default_run2,default,official saved per-frame time including initialization,71,25.66241,2.76669260603349,characterization only; launch/thermal state uncontrolled; prediction repeatability is the runtime-mode test
Deer,official_runner_default_run3,default,official saved per-frame time including initialization,71,20.960818,3.38727238602997,characterization only; launch/thermal state uncontrolled; prediction repeatability is the runtime-mode test
Crossing,adapter_deterministic,deterministic,frame loop excluding initialization,119,52.2517402999947,2.27743610675513,characterization only; not a speed comparison
Crossing,official_runner_deterministic,deterministic,official saved per-frame time including initialization,120,57.916807,2.07193742569407,characterization only; launch/thermal state uncontrolled; prediction repeatability is the runtime-mode test
Crossing,official_runner_default_run1,default,official saved per-frame time including initialization,120,48.236852,2.48772453061406,characterization only; launch/thermal state uncontrolled; prediction repeatability is the runtime-mode test
Crossing,official_runner_default_run2,default,official saved per-frame time including initialization,120,38.773839,3.09487022938327,characterization only; launch/thermal state uncontrolled; prediction repeatability is the runtime-mode test
Crossing,official_runner_default_run3,default,official saved per-frame time including initialization,120,28.831595,4.16210063994032,characterization only; launch/thermal state uncontrolled; prediction repeatability is the runtime-mode test
Couple,adapter_deterministic,deterministic,frame loop excluding initialization,139,66.538555600011,2.08901438792244,characterization only; not a speed comparison
Couple,official_runner_deterministic,deterministic,official saved per-frame time including initialization,140,98.230914,1.42521324804124,characterization only; launch/thermal state uncontrolled; prediction repeatability is the runtime-mode test
Couple,official_runner_default_run1,default,official saved per-frame time including initialization,140,47.032996,2.97663368074617,characterization only; launch/thermal state uncontrolled; prediction repeatability is the runtime-mode test
Couple,official_runner_default_run2,default,official saved per-frame time including initialization,140,42.416481,3.30060383839951,characterization only; launch/thermal state uncontrolled; prediction repeatability is the runtime-mode test
Couple,official_runner_default_run3,default,official saved per-frame time including initialization,140,46.263375,3.02615189661368,characterization only; launch/thermal state uncontrolled; prediction repeatability is the runtime-mode test
