sequence,official_start_frame,executed_through_frame,initialized_once_from_official_start,frames_processed_including_initialization,prediction_path_external,prediction_sha256,elapsed_seconds_excluding_initialization,status
Basketball,1,435,True,435,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\criterionA\baseline_full_predictions\Basketball.csv,878b0b8ee75e2a00edec5c991a5a4b02f1d692eb64aae5aae3cf33d7e4c2ef9c,96.599168500019,COMPLETE
Bolt,1,49,True,49,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\criterionA\baseline_full_predictions\Bolt.csv,b25fe4f9c427bf87d446b7ac576b50e19d7e6777d081d059eeb0f0bd70968e69,11.004491400002735,COMPLETE
Car4,1,245,True,245,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\criterionA\baseline_full_predictions\Car4.csv,26cb763cac4380e2565edbabcd92d64b29e22c315fbc2921140c20fdb6fd5f7c,72.6752945999906,COMPLETE
CarDark,1,145,True,145,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\criterionA\baseline_full_predictions\CarDark.csv,65017dbf93fa83b409c141d2b19c55984064c2c2fb5ba6f6f15fff8b96a14f95,37.737716999981785,COMPLETE
CarScale,1,105,True,105,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\criterionA\baseline_full_predictions\CarScale.csv,31b9da7e95a55ad7e106ee15a7fdeb58c722f7c079371cad9db3b9cb64db5292,27.71986630000174,COMPLETE
Dancer,1,95,True,95,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\criterionA\baseline_full_predictions\Dancer.csv,305da1fa63297e1dc85c3018e6ba36db7652e0db29e61ae9c5dddd8e496038ed,24.874051699996926,COMPLETE
David2,1,285,True,285,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\criterionA\baseline_full_predictions\David2.csv,4b99a85f5cd99a1afa00cbcc672cba29d8762c7da5fe990886e66241fd3e2eff,93.37822589999996,COMPLETE
David3,1,233,True,233,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\criterionA\baseline_full_predictions\David3.csv,a70a909e1365f303158a9a8d3cacd58be5aca29cd57e1ebbe6026699f73e7d2a,75.5639807000116,COMPLETE
Freeman3,1,269,True,269,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\criterionA\baseline_full_predictions\Freeman3.csv,9f5dce8721b43f5c0f6bdae3ac27283d36fc83d8b287c3ab2aed757edd7f5b16,72.71361649999744,COMPLETE
Human7,1,37,True,37,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\criterionA\baseline_full_predictions\Human7.csv,a20ca52b25e05aba6181662912046ead5e85e4f07a05645faee128d069e7f2d1,9.417938099999446,COMPLETE
Human8,1,126,True,126,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\criterionA\baseline_full_predictions\Human8.csv,d13a543f42a4dcfe38f7183e658d29886e9eca0c52ef51af686c9c295d594cf9,30.67379090000759,COMPLETE
Jogging_1,1,174,True,174,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\criterionA\baseline_full_predictions\Jogging_1.csv,12019c05e5f0759154b81702b77d90b25910d5de6dd1ef78098b49d5e7672f75,46.48433369997656,COMPLETE
Liquor,1,589,True,589,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\criterionA\baseline_full_predictions\Liquor.csv,f3dc00c703f41f96c71c261c18b3d887759ec60076c82443ff4e43015fdfe74b,206.35624819999794,COMPLETE
Shaking,1,25,True,25,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\criterionA\baseline_full_predictions\Shaking.csv,a30b2d074521210d0648c9e9b5e4eb3185392547e705817fce6ae99c43d16504,8.922543100023177,COMPLETE
Singer1,1,25,True,25,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\criterionA\baseline_full_predictions\Singer1.csv,e385b4f4a075a55027e3f238505fb863cf330cae6a1bb04159e4497876a37595,7.317253599991091,COMPLETE
Skating1,1,137,True,137,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\criterionA\baseline_full_predictions\Skating1.csv,66ab7eaecb3a5b5309851842d52930d10a6771afd61e4dcb6cdf95d0d839afc2,34.29435359998024,COMPLETE
Subway,1,45,True,45,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\criterionA\baseline_full_predictions\Subway.csv,e54bb27466e2173e8b7a13eab22f98ca052fa66794008a9782727cfff0030c12,10.932040800020332,COMPLETE
Woman,1,207,True,207,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\criterionA\baseline_full_predictions\Woman.csv,18deb4c625c5e88e9f62c5f06bbf796cf6cec972553c095b92e5fd4ab585cebe,52.62842200000887,COMPLETE
