analysis_family,test_id,bootstrap_scheme,cluster_unit,n_clusters,n_pairs,estimate,ci_low,ci_high,p_two_sided_sign_tail,resamples,seed,decision_role
CRITERION_A,iou_weakness,PRIMARY_SEQUENCE_CLUSTERED,primary_sequence,11,12,0.1369987845343785,0.0018879570501517985,0.31711689812694338,0.047395260473952608,10000,20260826,PRIMARY_DECISION
CRITERION_A,iou_weakness,CONNECTED_SOURCE_COMPONENT,connected_source_component,9,12,0.1369987845343785,-0.013529223122019495,0.30737385877685958,0.085791420857914205,10000,20260826,REQUIRED_SENSITIVITY
CRITERION_A,failure_weakness,PRIMARY_SEQUENCE_CLUSTERED,primary_sequence,11,12,0.15333333333333335,-0.029999999999999999,0.41818181818181815,0.17218278172182783,10000,20260826,PRIMARY_DECISION
CRITERION_A,failure_weakness,CONNECTED_SOURCE_COMPONENT,connected_source_component,9,12,0.15333333333333335,-0.036363636363636362,0.38400000000000001,0.21297870212978703,10000,20260826,REQUIRED_SENSITIVITY
CRITERION_B,mrm1,PRIMARY_SEQUENCE_CLUSTERED,primary_sequence,11,12,-0.027883963367728869,-0.056569693436362728,-0.00807008117216532,0.0013998600139986002,10000,20260826,PRIMARY_DECISION
CRITERION_B,mrm1,CONNECTED_SOURCE_COMPONENT,connected_source_component,9,12,-0.027883963367728869,-0.056923559634947808,-0.0075929622434032836,0.0019998000199980001,10000,20260826,REQUIRED_SENSITIVITY
CRITERION_B,mrm2,PRIMARY_SEQUENCE_CLUSTERED,primary_sequence,11,12,-0.0019258439240279715,-0.039017153289412264,0.033750315708207482,0.96050394960503949,10000,20260826,PRIMARY_DECISION
CRITERION_B,mrm2,CONNECTED_SOURCE_COMPONENT,connected_source_component,9,12,-0.0019258439240279715,-0.041834590137686825,0.03476164822307784,0.95490450954904504,10000,20260826,REQUIRED_SENSITIVITY
CRITERION_B,mrm3,PRIMARY_SEQUENCE_CLUSTERED,primary_sequence,11,12,-0.013228439856328484,-0.043431610467148878,0.011435010222615137,0.36076392360763926,10000,20260826,PRIMARY_DECISION
CRITERION_B,mrm3,CONNECTED_SOURCE_COMPONENT,connected_source_component,9,12,-0.013228439856328484,-0.046075751356187203,0.011279372203374577,0.35916408359164081,10000,20260826,REQUIRED_SENSITIVITY
CRITERION_B,mrm4,PRIMARY_SEQUENCE_CLUSTERED,primary_sequence,11,12,-0.028699634902802754,-0.093255775279954822,0.016271124146161275,0.30576942305769422,10000,20260826,PRIMARY_DECISION
CRITERION_B,mrm4,CONNECTED_SOURCE_COMPONENT,connected_source_component,9,12,-0.028699634902802754,-0.098125066511561665,0.01232434745533138,0.31356864313568644,10000,20260826,REQUIRED_SENSITIVITY
CRITERION_B,mrm5,PRIMARY_SEQUENCE_CLUSTERED,primary_sequence,11,12,-0.067582501292569458,-0.18118317055445257,0.04443038218458923,0.23217678232176783,10000,20260826,PRIMARY_DECISION
CRITERION_B,mrm5,CONNECTED_SOURCE_COMPONENT,connected_source_component,9,12,-0.067582501292569458,-0.16940527944141734,0.053408070321432181,0.25257474252574741,10000,20260826,REQUIRED_SENSITIVITY
CRITERION_B,mrm6,PRIMARY_SEQUENCE_CLUSTERED,primary_sequence,11,12,-0.023349656679287251,-0.1100348170617745,0.046327808593587538,0.58334166583341662,10000,20260826,PRIMARY_DECISION
CRITERION_B,mrm6,CONNECTED_SOURCE_COMPONENT,connected_source_component,9,12,-0.023349656679287251,-0.11051935938240104,0.049108789030219736,0.57414258574142585,10000,20260826,REQUIRED_SENSITIVITY
CRITERION_B,early,PRIMARY_SEQUENCE_CLUSTERED,primary_sequence,11,12,-0.009654338248910467,-0.041740203140319204,0.019439771201394181,0.54494550544945508,10000,20260826,PRIMARY_DECISION
CRITERION_B,early,CONNECTED_SOURCE_COMPONENT,connected_source_component,9,12,-0.009654338248910467,-0.042757507216740764,0.020911177475973319,0.54054594540545942,10000,20260826,REQUIRED_SENSITIVITY
CRITERION_B,middle,PRIMARY_SEQUENCE_CLUSTERED,primary_sequence,11,12,-0.007911375050805013,-0.064306526847993845,0.041601862036383726,0.82171782821717831,10000,20260826,PRIMARY_DECISION
CRITERION_B,middle,CONNECTED_SOURCE_COMPONENT,connected_source_component,9,12,-0.007911375050805013,-0.06732564770659405,0.04086108253577337,0.81451854814518543,10000,20260826,REQUIRED_SENSITIVITY
CRITERION_B,late,PRIMARY_SEQUENCE_CLUSTERED,primary_sequence,11,12,-0.082247914620965659,-0.26445978923955782,0.066815909402071147,0.31156884311568844,10000,20260826,PRIMARY_DECISION
CRITERION_B,late,CONNECTED_SOURCE_COMPONENT,connected_source_component,9,12,-0.082247914620965659,-0.24458749948926295,0.0866746009204621,0.35136486351364865,10000,20260826,REQUIRED_SENSITIVITY
