pair_id,side,sequence,interval_start,interval_end,condition,selected_refinement_path,physical_skip,status,tracker_mode,ablation_control,source_row_sha256_canonical_lf,snapshot_frame,start_snapshot_sha256,restored_start_snapshot_sha256,start_restore_exact,baseline_end_snapshot_sha256,continuation_restored_snapshot_sha256,continuation_restore_exact,interval_output_frames,tracked_branch_frames,official_initialization_frames_zero_contribution,raw_jsonl_first_line,raw_jsonl_last_line,raw_jsonl_external_path
R3-D01,control,David3,195,233,retriever_only_bypass,mrm1,False,COMPLETE,T1,mrm1_retriever,0453aad83b99fee3251796bd38f5adbace837b568d5797343fb73036f84b1ae9,194,d0564da1823524445e5730334a1c920bd0e5d9d182ba7ecd48bd270138e06069,d0564da1823524445e5730334a1c920bd0e5d9d182ba7ecd48bd270138e06069,True,d3a2b4f9e5d9bed84f55f4adcdd44afd21dd53ee4bd3d6d21741f3c37a0dbdce,d3a2b4f9e5d9bed84f55f4adcdd44afd21dd53ee4bd3d6d21741f3c37a0dbdce,True,39,39,0,3263,3535,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\bounded_refinement\t1_retriever_mlp_raw_mrm.jsonl
R3-D01,primary,Basketball,397,435,retriever_only_bypass,mrm1,False,COMPLETE,T1,mrm1_retriever,0453aad83b99fee3251796bd38f5adbace837b568d5797343fb73036f84b1ae9,396,0a80108bdb05cad7253ca138700f97a096c70ff177895acaf5f51672ef7ff80d,0a80108bdb05cad7253ca138700f97a096c70ff177895acaf5f51672ef7ff80d,True,4c7635956adc56866c94393a4631f8f007077e9a1b297fa2779df43081803708,4c7635956adc56866c94393a4631f8f007077e9a1b297fa2779df43081803708,True,39,39,0,1,273,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\bounded_refinement\t1_retriever_mlp_raw_mrm.jsonl
R3-D02,control,Human8,108,126,retriever_only_bypass,mrm1,False,COMPLETE,T1,mrm1_retriever,b920b86b680c3a99b54b48e7a1f5f2e90d962f986deb75ebf5df3f48dd1e3a40,107,792013ffd7e644e365a0d96a546f5c0882d70a1e76d142bea4fede586d69566c,792013ffd7e644e365a0d96a546f5c0882d70a1e76d142bea4fede586d69566c,True,176f512569d60891b99540c7f995a33136c19495d56d4744a83d1186915b873e,176f512569d60891b99540c7f995a33136c19495d56d4744a83d1186915b873e,True,19,19,0,4845,4977,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\bounded_refinement\t1_retriever_mlp_raw_mrm.jsonl
R3-D02,primary,Bolt,31,49,retriever_only_bypass,mrm1,False,COMPLETE,T1,mrm1_retriever,b920b86b680c3a99b54b48e7a1f5f2e90d962f986deb75ebf5df3f48dd1e3a40,30,1aec4d39d3fd4a1854e91a367080695f091d94cb6813fb69b294aeda270f4318,1aec4d39d3fd4a1854e91a367080695f091d94cb6813fb69b294aeda270f4318,True,e14ce24713bd1ea51a53a0656b1a6dd8f35b7216173e7335c7f23e3a68e71bf2,e14ce24713bd1ea51a53a0656b1a6dd8f35b7216173e7335c7f23e3a68e71bf2,True,19,19,0,547,679,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\bounded_refinement\t1_retriever_mlp_raw_mrm.jsonl
R3-D03,control,Liquor,20,44,retriever_only_bypass,mrm1,False,COMPLETE,T1,mrm1_retriever,40c786ed1d68e3bdf44492222ec95ed9d51ada70242971147a9aabd7f47eb733,19,1ce66f22da24affdc743ee06a825a4fe0e5c58bf76c72b1a03519654f85f022f,1ce66f22da24affdc743ee06a825a4fe0e5c58bf76c72b1a03519654f85f022f,True,505a5f96542cc33497ca335b5df9b4d63a0562f02af4e69a5c4e3d4d4c64ecd5,505a5f96542cc33497ca335b5df9b4d63a0562f02af4e69a5c4e3d4d4c64ecd5,True,25,25,0,5461,5635,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\bounded_refinement\t1_retriever_mlp_raw_mrm.jsonl
R3-D03,primary,Liquor,565,589,retriever_only_bypass,mrm1,False,COMPLETE,T1,mrm1_retriever,40c786ed1d68e3bdf44492222ec95ed9d51ada70242971147a9aabd7f47eb733,564,6fb69ec88a0ed30a43e78f5844b4472de3a985e5dadf806291cf6d4d10b83c30,6fb69ec88a0ed30a43e78f5844b4472de3a985e5dadf806291cf6d4d10b83c30,True,d05f715e552584813d8c7a4f46b4275b2e9a3acfd8d705d8a1f2e374545ea4bd,d05f715e552584813d8c7a4f46b4275b2e9a3acfd8d705d8a1f2e374545ea4bd,True,25,25,0,6511,6685,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\bounded_refinement\t1_retriever_mlp_raw_mrm.jsonl
R3-D04,control,Liquor,60,84,retriever_only_bypass,mrm1,False,COMPLETE,T1,mrm1_retriever,9813c90e37e9425d853de303e8994f517b17ca9bc04a57fcb7904036c9e1f2df,59,bfc55512688f362f533799c466e3a72547466901b2a64932bd07e322506c107f,bfc55512688f362f533799c466e3a72547466901b2a64932bd07e322506c107f,True,19a55b1becfc364fb8130427fb52c0cb59de33e296185ae4b583ff1b3bc375dd,19a55b1becfc364fb8130427fb52c0cb59de33e296185ae4b583ff1b3bc375dd,True,25,25,0,5811,5985,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\bounded_refinement\t1_retriever_mlp_raw_mrm.jsonl
R3-D04,primary,Liquor,106,130,retriever_only_bypass,mrm1,False,COMPLETE,T1,mrm1_retriever,9813c90e37e9425d853de303e8994f517b17ca9bc04a57fcb7904036c9e1f2df,105,7eee24947fd4c84ee4271a4838806059a8dd7b79dc237e7d718c699fe4d083a5,7eee24947fd4c84ee4271a4838806059a8dd7b79dc237e7d718c699fe4d083a5,True,e54d46846741ef98063308633e089bad6659a58a6b9ad04b30912792db3d9d5d,e54d46846741ef98063308633e089bad6659a58a6b9ad04b30912792db3d9d5d,True,25,25,0,6161,6335,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\bounded_refinement\t1_retriever_mlp_raw_mrm.jsonl
R3-D05,control,Car4,221,245,retriever_only_bypass,mrm1,False,COMPLETE,T1,mrm1_retriever,931e23dfa1fac0bb1c7a923f6830bd1e0913048e7d1a4393a9c2cc07cafa79bf,220,216dfc85413c972c8a67639327cbac2415a6ec0a6a6cb4d296e42e076956b022,216dfc85413c972c8a67639327cbac2415a6ec0a6a6cb4d296e42e076956b022,True,77d729979b7c33b158a3dd520472e04910e5418f5ff1f88dddb6381c61391d73,77d729979b7c33b158a3dd520472e04910e5418f5ff1f88dddb6381c61391d73,True,25,25,0,1163,1337,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\bounded_refinement\t1_retriever_mlp_raw_mrm.jsonl
R3-D05,primary,Car4,113,137,retriever_only_bypass,mrm1,False,COMPLETE,T1,mrm1_retriever,931e23dfa1fac0bb1c7a923f6830bd1e0913048e7d1a4393a9c2cc07cafa79bf,112,630445a0e21e495e08e94cb352d41ba238be89b211def295f98efd137a803678,630445a0e21e495e08e94cb352d41ba238be89b211def295f98efd137a803678,True,04982f1479dc12376d926e4f2505763527822548fbc53dc893135ef21f30edcf,04982f1479dc12376d926e4f2505763527822548fbc53dc893135ef21f30edcf,True,25,25,0,813,987,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\bounded_refinement\t1_retriever_mlp_raw_mrm.jsonl
