pair_id,side,sequence,start,end,event_id,source_row_sha256_canonical_lf,status
R3-D01,primary,Basketball,397,435,BASK-E01,0453aad83b99fee3251796bd38f5adbace837b568d5797343fb73036f84b1ae9,EXECUTED_STAGE4B_CRITERION_A
R3-D01,control,David3,195,233,R3-CD01,0453aad83b99fee3251796bd38f5adbace837b568d5797343fb73036f84b1ae9,EXECUTED_STAGE4B_CRITERION_A
R3-D02,primary,Bolt,31,49,BOLT-E01,b920b86b680c3a99b54b48e7a1f5f2e90d962f986deb75ebf5df3f48dd1e3a40,EXECUTED_STAGE4B_CRITERION_A
R3-D02,control,Human8,108,126,R3-CD02,b920b86b680c3a99b54b48e7a1f5f2e90d962f986deb75ebf5df3f48dd1e3a40,EXECUTED_STAGE4B_CRITERION_A
R3-D03,primary,Liquor,565,589,LIQ-E01,40c786ed1d68e3bdf44492222ec95ed9d51ada70242971147a9aabd7f47eb733,EXECUTED_STAGE4B_CRITERION_A
R3-D03,control,Liquor,20,44,R3-CD03,40c786ed1d68e3bdf44492222ec95ed9d51ada70242971147a9aabd7f47eb733,EXECUTED_STAGE4B_CRITERION_A
R3-D04,primary,Liquor,106,130,LIQ-E02,9813c90e37e9425d853de303e8994f517b17ca9bc04a57fcb7904036c9e1f2df,EXECUTED_STAGE4B_CRITERION_A
R3-D04,control,Liquor,60,84,R3-CD04,9813c90e37e9425d853de303e8994f517b17ca9bc04a57fcb7904036c9e1f2df,EXECUTED_STAGE4B_CRITERION_A
R3-D05,primary,Car4,113,137,CAR4-E01,931e23dfa1fac0bb1c7a923f6830bd1e0913048e7d1a4393a9c2cc07cafa79bf,EXECUTED_STAGE4B_CRITERION_A
R3-D05,control,Car4,221,245,R3-CD05,931e23dfa1fac0bb1c7a923f6830bd1e0913048e7d1a4393a9c2cc07cafa79bf,EXECUTED_STAGE4B_CRITERION_A
R3-D06,primary,Jogging_1,150,174,JOG-E01,791c3093fe9c9df532c84dd02d543da51d97236b7193569423e3f8d52dbcf6d9,EXECUTED_STAGE4B_CRITERION_A
R3-D06,control,Human8,1,25,R3-CD06,791c3093fe9c9df532c84dd02d543da51d97236b7193569423e3f8d52dbcf6d9,EXECUTED_STAGE4B_CRITERION_A
R3-D07,primary,Shaking,1,25,SHAK-E01,6ed8bac2a211b7e279eeadbde6f9feffe7045b650719ed45daa495fe7932e61f,EXECUTED_STAGE4B_CRITERION_A
R3-D07,control,David2,36,60,R3-CD07,6ed8bac2a211b7e279eeadbde6f9feffe7045b650719ed45daa495fe7932e61f,EXECUTED_STAGE4B_CRITERION_A
R3-D08,primary,CarDark,121,145,CARD-E01,d9dd3a9ed8970b8458b3872fb7967de046b61e6bf46074ef00985d3fe37ddcca,EXECUTED_STAGE4B_CRITERION_A
R3-D08,control,CarScale,81,105,R3-CD08,d9dd3a9ed8970b8458b3872fb7967de046b61e6bf46074ef00985d3fe37ddcca,EXECUTED_STAGE4B_CRITERION_A
R3-D09,primary,Skating1,113,137,SKAT-E01,e6c55a424c51672668391c63e5aa766783fdd748a4d364191dfa86422e1593a4,EXECUTED_STAGE4B_CRITERION_A
R3-D09,control,Human7,13,37,R3-CD09,e6c55a424c51672668391c63e5aa766783fdd748a4d364191dfa86422e1593a4,EXECUTED_STAGE4B_CRITERION_A
R3-D10,primary,Subway,31,45,SUB-E01,a70eefca2a065702872201bdc7026881d4fcee0ec6aafe4a1492f26038f906bb,EXECUTED_STAGE4B_CRITERION_A
R3-D10,control,Woman,193,207,R3-CD10,a70eefca2a065702872201bdc7026881d4fcee0ec6aafe4a1492f26038f906bb,EXECUTED_STAGE4B_CRITERION_A
R3-D11,primary,Freeman3,245,269,FRE3-E01,7c77cc87d301074996e5f2830490987a2d5c53f73babe8a08262efe3df6b2432,EXECUTED_STAGE4B_CRITERION_A
R3-D11,control,David2,261,285,R3-CD11,7c77cc87d301074996e5f2830490987a2d5c53f73babe8a08262efe3df6b2432,EXECUTED_STAGE4B_CRITERION_A
R3-D12,primary,Singer1,1,25,SING-E01,f749e4ef3b782b8be89cf69a02cd98173ed4ad04c634dbf67250220b4103b8ea,EXECUTED_STAGE4B_CRITERION_A
R3-D12,control,Dancer,71,95,R3-CD12,f749e4ef3b782b8be89cf69a02cd98173ed4ad04c634dbf67250220b4103b8ea,EXECUTED_STAGE4B_CRITERION_A
