source_artifact,evidence_kind,path,size_bytes,recorded_sha256,observed_sha256,verification_status
artifacts/stage4B_discovery/bounded_refinement_execution_summary.json,external_raw_log,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\bounded_refinement\t1_retriever_mlp_raw_mrm.jsonl,23582085,fcfefb21999b1b460479000ce0e8cb9c7e16d8ea93bdbe401be954b3925aa13a,,RECORDED_HASH_NOT_REOPENED_BOUNDARY_SAFE
artifacts/stage4B_discovery/bounded_refinement_execution_summary.json,external_raw_log,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\bounded_refinement\t3_baseline_template_controls_raw_mrm.jsonl,56532981,b9c83c4fe73aa54f303738af3cba3b2a7f954f13c719551b4b73a26e797d6e70,,RECORDED_HASH_NOT_REOPENED_BOUNDARY_SAFE
screening/codex/artifacts/stage4B_discovery/baseline_sequence_execution.csv,external_prediction,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\criterionA\baseline_full_predictions\Basketball.csv,45439,878b0b8ee75e2a00edec5c991a5a4b02f1d692eb64aae5aae3cf33d7e4c2ef9c,878b0b8ee75e2a00edec5c991a5a4b02f1d692eb64aae5aae3cf33d7e4c2ef9c,VERIFIED
screening/codex/artifacts/stage4B_discovery/baseline_sequence_execution.csv,external_prediction,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\criterionA\baseline_full_predictions\Bolt.csv,4794,b25fe4f9c427bf87d446b7ac576b50e19d7e6777d081d059eeb0f0bd70968e69,b25fe4f9c427bf87d446b7ac576b50e19d7e6777d081d059eeb0f0bd70968e69,VERIFIED
screening/codex/artifacts/stage4B_discovery/baseline_sequence_execution.csv,external_prediction,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\criterionA\baseline_full_predictions\Car4.csv,23121,26cb763cac4380e2565edbabcd92d64b29e22c315fbc2921140c20fdb6fd5f7c,26cb763cac4380e2565edbabcd92d64b29e22c315fbc2921140c20fdb6fd5f7c,VERIFIED
screening/codex/artifacts/stage4B_discovery/baseline_sequence_execution.csv,external_prediction,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\criterionA\baseline_full_predictions\CarDark.csv,14563,65017dbf93fa83b409c141d2b19c55984064c2c2fb5ba6f6f15fff8b96a14f95,65017dbf93fa83b409c141d2b19c55984064c2c2fb5ba6f6f15fff8b96a14f95,VERIFIED
screening/codex/artifacts/stage4B_discovery/baseline_sequence_execution.csv,external_prediction,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\criterionA\baseline_full_predictions\CarScale.csv,10475,31b9da7e95a55ad7e106ee15a7fdeb58c722f7c079371cad9db3b9cb64db5292,31b9da7e95a55ad7e106ee15a7fdeb58c722f7c079371cad9db3b9cb64db5292,VERIFIED
screening/codex/artifacts/stage4B_discovery/baseline_sequence_execution.csv,external_prediction,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\criterionA\baseline_full_predictions\Dancer.csv,9358,305da1fa63297e1dc85c3018e6ba36db7652e0db29e61ae9c5dddd8e496038ed,305da1fa63297e1dc85c3018e6ba36db7652e0db29e61ae9c5dddd8e496038ed,VERIFIED
screening/codex/artifacts/stage4B_discovery/baseline_sequence_execution.csv,external_prediction,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\criterionA\baseline_full_predictions\David2.csv,28009,4b99a85f5cd99a1afa00cbcc672cba29d8762c7da5fe990886e66241fd3e2eff,4b99a85f5cd99a1afa00cbcc672cba29d8762c7da5fe990886e66241fd3e2eff,VERIFIED
screening/codex/artifacts/stage4B_discovery/baseline_sequence_execution.csv,external_prediction,F:\Q1_TrackingResearch_Data\Stage4B_SpikeTrack_Discovery_2026-08-26\criterionA\baseline_full_predictions\David3.csv,23449,a70a909e1365f303158a9a8d3cacd58be5aca29cd57e1ebbe6026699f73e7d2a,a70a909e1365f303158a9a8d3cacd58be5aca29cd57e1ebbe6026699f73e7d2a,VERIFIED
