analysis_family,sensitivity_dimension,sensitivity_group,selection_rule,metric_or_mode,effect_definition,n_pairs,pair_ids,estimate,n_primary_clusters,primary_ci_low,primary_ci_high,primary_p_two_sided_sign_tail,n_connected_components,component_ci_low,component_ci_high,component_p_two_sided_sign_tail,decision_role
CRITERION_A,final_ambiguity_level,AMBIGUITY_LEVEL_2,final_ambiguity_level=2,iou_weakness,mean_pair(control_mean_iou-primary_mean_iou),4,R3-D01;R3-D03;R3-D04;R3-D06,0.1941512230154708,3,0.025359773303651356,0.53203647358374007,0.00019998000199980003,3,0.025359773303651356,0.53203647358374007,0.00019998000199980003,LOCKED_DESCRIPTIVE_SENSITIVITY_ONLY
CRITERION_A,final_ambiguity_level,AMBIGUITY_LEVEL_2,final_ambiguity_level=2,failure_weakness,mean_pair(primary_failure_rate-control_failure_rate); failure=iou<0.5,4,R3-D01;R3-D03;R3-D04;R3-D06,0.26000000000000001,3,0,1,0.073392660733926612,3,0,1,0.073992600739926001,LOCKED_DESCRIPTIVE_SENSITIVITY_ONLY
CRITERION_B,final_ambiguity_level,AMBIGUITY_LEVEL_2,final_ambiguity_level=2,mrm1,mean_pair(mean_primary(baseline_iou-ablation_iou)-mean_control(baseline_iou-ablation_iou)),4,R3-D01;R3-D03;R3-D04;R3-D06,-0.052168792070302235,3,-0.15641113794042694,-0.009817149177530014,0.00019998000199980003,3,-0.15641113794042694,-0.009817149177530014,0.00019998000199980003,LOCKED_DESCRIPTIVE_SENSITIVITY_ONLY
CRITERION_B,final_ambiguity_level,AMBIGUITY_LEVEL_2,final_ambiguity_level=2,mrm2,mean_pair(mean_primary(baseline_iou-ablation_iou)-mean_control(baseline_iou-ablation_iou)),4,R3-D01;R3-D03;R3-D04;R3-D06,-0.050498251234403768,3,-0.1631868404407722,-0.0097032551399488572,0.00019998000199980003,3,-0.1631868404407722,-0.0097032551399488572,0.00019998000199980003,LOCKED_DESCRIPTIVE_SENSITIVITY_ONLY
CRITERION_B,final_ambiguity_level,AMBIGUITY_LEVEL_2,final_ambiguity_level=2,mrm3,mean_pair(mean_primary(baseline_iou-ablation_iou)-mean_control(baseline_iou-ablation_iou)),4,R3-D01;R3-D03;R3-D04;R3-D06,-0.046597771570527587,3,-0.15182951949831819,0.010147908192939032,0.073992600739926001,3,-0.15182951949831819,0.010147908192939032,0.073392660733926612,LOCKED_DESCRIPTIVE_SENSITIVITY_ONLY
CRITERION_B,final_ambiguity_level,AMBIGUITY_LEVEL_2,final_ambiguity_level=2,mrm4,mean_pair(mean_primary(baseline_iou-ablation_iou)-mean_control(baseline_iou-ablation_iou)),4,R3-D01;R3-D03;R3-D04;R3-D06,-0.093417993510898939,3,-0.33485176247963483,-0.0067730249564421077,0.00019998000199980003,3,-0.33485176247963483,-0.0067730249564421077,0.00019998000199980003,LOCKED_DESCRIPTIVE_SENSITIVITY_ONLY
CRITERION_B,final_ambiguity_level,AMBIGUITY_LEVEL_2,final_ambiguity_level=2,mrm5,mean_pair(mean_primary(baseline_iou-ablation_iou)-mean_control(baseline_iou-ablation_iou)),4,R3-D01;R3-D03;R3-D04;R3-D06,-0.14033424395979388,3,-0.42260961407530245,-0.00082620229804595408,0.00019998000199980003,3,-0.42260961407530245,-0.00082620229804595408,0.00019998000199980003,LOCKED_DESCRIPTIVE_SENSITIVITY_ONLY
CRITERION_B,final_ambiguity_level,AMBIGUITY_LEVEL_2,final_ambiguity_level=2,mrm6,mean_pair(mean_primary(baseline_iou-ablation_iou)-mean_control(baseline_iou-ablation_iou)),4,R3-D01;R3-D03;R3-D04;R3-D06,-0.11756135362693773,3,-0.40949778645040147,-0.005795328475469437,0.00019998000199980003,3,-0.40949778645040147,-0.005795328475469437,0.00019998000199980003,LOCKED_DESCRIPTIVE_SENSITIVITY_ONLY
CRITERION_B,final_ambiguity_level,AMBIGUITY_LEVEL_2,final_ambiguity_level=2,early,mean_pair(mean_primary(baseline_iou-ablation_iou)-mean_control(baseline_iou-ablation_iou)),4,R3-D01;R3-D03;R3-D04;R3-D06,-0.045717519308854815,3,-0.14748763418179497,-0.0059067663983959932,0.00019998000199980003,3,-0.14748763418179497,-0.0059067663983959932,0.00019998000199980003,LOCKED_DESCRIPTIVE_SENSITIVITY_ONLY
CRITERION_B,final_ambiguity_level,AMBIGUITY_LEVEL_2,final_ambiguity_level=2,middle,mean_pair(mean_primary(baseline_iou-ablation_iou)-mean_control(baseline_iou-ablation_iou)),4,R3-D01;R3-D03;R3-D04;R3-D06,-0.071450571660946538,3,-0.25593861621974279,0.0032422485688280347,0.073992600739926001,3,-0.25593861621974279,0.0032422485688280347,0.073392660733926612,LOCKED_DESCRIPTIVE_SENSITIVITY_ONLY
