pair_id,side,sequence,interval_start,interval_end,branch_kind,mode,snapshot_frame,start_snapshot_sha256,restored_start_snapshot_sha256,start_restore_exact,baseline_end_snapshot_sha256,continuation_restored_snapshot_sha256,continuation_restore_exact,maximum_float_prediction_abs_diff,maximum_score_map_abs_diff,maximum_confidence_abs_diff,integer_prediction_exact,tolerance,official_initialization_zero_contribution,captured_state,status
R3-D01,control,David3,195,233,baseline,none,194,d0564da1823524445e5730334a1c920bd0e5d9d182ba7ecd48bd270138e06069,d0564da1823524445e5730334a1c920bd0e5d9d182ba7ecd48bd270138e06069,True,1a1cf746e71be394f44a7b8d719ca7237015f32d7c766311db772528031e0ce2,1a1cf746e71be394f44a7b8d719ca7237015f32d7c766311db772528031e0ce2,True,0.0,0.0,0.0,True,1e-06,False,tracker.state;tracker.frame_id;tracker.template_list;tracker.cache;tracker.spike_rate_dict_temp;tracker.last_template_refresh_frame;tracker.window_penalty;tracker.stage4a flags/records;network.current_image_idx;network.spike_rate_dict;encoder._stage4a flags/forward_id/current+completed records;MRM retriever capture flags/buffers;template_encoder.current_image_idx+spike_rate_dict_temp;Python+NumPy+Torch CPU+all CUDA RNG,PASS
R3-D01,control,David3,195,233,mode,mrm1,194,d0564da1823524445e5730334a1c920bd0e5d9d182ba7ecd48bd270138e06069,d0564da1823524445e5730334a1c920bd0e5d9d182ba7ecd48bd270138e06069,True,1a1cf746e71be394f44a7b8d719ca7237015f32d7c766311db772528031e0ce2,1a1cf746e71be394f44a7b8d719ca7237015f32d7c766311db772528031e0ce2,True,,,,,1e-06,False,tracker.state;tracker.frame_id;tracker.template_list;tracker.cache;tracker.spike_rate_dict_temp;tracker.last_template_refresh_frame;tracker.window_penalty;tracker.stage4a flags/records;network.current_image_idx;network.spike_rate_dict;encoder._stage4a flags/forward_id/current+completed records;MRM retriever capture flags/buffers;template_encoder.current_image_idx+spike_rate_dict_temp;Python+NumPy+Torch CPU+all CUDA RNG,PASS
R3-D01,control,David3,195,233,mode,mrm2,194,d0564da1823524445e5730334a1c920bd0e5d9d182ba7ecd48bd270138e06069,d0564da1823524445e5730334a1c920bd0e5d9d182ba7ecd48bd270138e06069,True,1a1cf746e71be394f44a7b8d719ca7237015f32d7c766311db772528031e0ce2,1a1cf746e71be394f44a7b8d719ca7237015f32d7c766311db772528031e0ce2,True,,,,,1e-06,False,tracker.state;tracker.frame_id;tracker.template_list;tracker.cache;tracker.spike_rate_dict_temp;tracker.last_template_refresh_frame;tracker.window_penalty;tracker.stage4a flags/records;network.current_image_idx;network.spike_rate_dict;encoder._stage4a flags/forward_id/current+completed records;MRM retriever capture flags/buffers;template_encoder.current_image_idx+spike_rate_dict_temp;Python+NumPy+Torch CPU+all CUDA RNG,PASS
R3-D01,control,David3,195,233,mode,mrm3,194,d0564da1823524445e5730334a1c920bd0e5d9d182ba7ecd48bd270138e06069,d0564da1823524445e5730334a1c920bd0e5d9d182ba7ecd48bd270138e06069,True,1a1cf746e71be394f44a7b8d719ca7237015f32d7c766311db772528031e0ce2,1a1cf746e71be394f44a7b8d719ca7237015f32d7c766311db772528031e0ce2,True,,,,,1e-06,False,tracker.state;tracker.frame_id;tracker.template_list;tracker.cache;tracker.spike_rate_dict_temp;tracker.last_template_refresh_frame;tracker.window_penalty;tracker.stage4a flags/records;network.current_image_idx;network.spike_rate_dict;encoder._stage4a flags/forward_id/current+completed records;MRM retriever capture flags/buffers;template_encoder.current_image_idx+spike_rate_dict_temp;Python+NumPy+Torch CPU+all CUDA RNG,PASS
R3-D01,control,David3,195,233,mode,mrm4,194,d0564da1823524445e5730334a1c920bd0e5d9d182ba7ecd48bd270138e06069,d0564da1823524445e5730334a1c920bd0e5d9d182ba7ecd48bd270138e06069,True,1a1cf746e71be394f44a7b8d719ca7237015f32d7c766311db772528031e0ce2,1a1cf746e71be394f44a7b8d719ca7237015f32d7c766311db772528031e0ce2,True,,,,,1e-06,False,tracker.state;tracker.frame_id;tracker.template_list;tracker.cache;tracker.spike_rate_dict_temp;tracker.last_template_refresh_frame;tracker.window_penalty;tracker.stage4a flags/records;network.current_image_idx;network.spike_rate_dict;encoder._stage4a flags/forward_id/current+completed records;MRM retriever capture flags/buffers;template_encoder.current_image_idx+spike_rate_dict_temp;Python+NumPy+Torch CPU+all CUDA RNG,PASS
R3-D01,control,David3,195,233,mode,mrm5,194,d0564da1823524445e5730334a1c920bd0e5d9d182ba7ecd48bd270138e06069,d0564da1823524445e5730334a1c920bd0e5d9d182ba7ecd48bd270138e06069,True,1a1cf746e71be394f44a7b8d719ca7237015f32d7c766311db772528031e0ce2,1a1cf746e71be394f44a7b8d719ca7237015f32d7c766311db772528031e0ce2,True,,,,,1e-06,False,tracker.state;tracker.frame_id;tracker.template_list;tracker.cache;tracker.spike_rate_dict_temp;tracker.last_template_refresh_frame;tracker.window_penalty;tracker.stage4a flags/records;network.current_image_idx;network.spike_rate_dict;encoder._stage4a flags/forward_id/current+completed records;MRM retriever capture flags/buffers;template_encoder.current_image_idx+spike_rate_dict_temp;Python+NumPy+Torch CPU+all CUDA RNG,PASS
R3-D01,control,David3,195,233,mode,mrm6,194,d0564da1823524445e5730334a1c920bd0e5d9d182ba7ecd48bd270138e06069,d0564da1823524445e5730334a1c920bd0e5d9d182ba7ecd48bd270138e06069,True,1a1cf746e71be394f44a7b8d719ca7237015f32d7c766311db772528031e0ce2,1a1cf746e71be394f44a7b8d719ca7237015f32d7c766311db772528031e0ce2,True,,,,,1e-06,False,tracker.state;tracker.frame_id;tracker.template_list;tracker.cache;tracker.spike_rate_dict_temp;tracker.last_template_refresh_frame;tracker.window_penalty;tracker.stage4a flags/records;network.current_image_idx;network.spike_rate_dict;encoder._stage4a flags/forward_id/current+completed records;MRM retriever capture flags/buffers;template_encoder.current_image_idx+spike_rate_dict_temp;Python+NumPy+Torch CPU+all CUDA RNG,PASS
R3-D01,control,David3,195,233,mode,early,194,d0564da1823524445e5730334a1c920bd0e5d9d182ba7ecd48bd270138e06069,d0564da1823524445e5730334a1c920bd0e5d9d182ba7ecd48bd270138e06069,True,1a1cf746e71be394f44a7b8d719ca7237015f32d7c766311db772528031e0ce2,1a1cf746e71be394f44a7b8d719ca7237015f32d7c766311db772528031e0ce2,True,,,,,1e-06,False,tracker.state;tracker.frame_id;tracker.template_list;tracker.cache;tracker.spike_rate_dict_temp;tracker.last_template_refresh_frame;tracker.window_penalty;tracker.stage4a flags/records;network.current_image_idx;network.spike_rate_dict;encoder._stage4a flags/forward_id/current+completed records;MRM retriever capture flags/buffers;template_encoder.current_image_idx+spike_rate_dict_temp;Python+NumPy+Torch CPU+all CUDA RNG,PASS
R3-D01,control,David3,195,233,mode,middle,194,d0564da1823524445e5730334a1c920bd0e5d9d182ba7ecd48bd270138e06069,d0564da1823524445e5730334a1c920bd0e5d9d182ba7ecd48bd270138e06069,True,1a1cf746e71be394f44a7b8d719ca7237015f32d7c766311db772528031e0ce2,1a1cf746e71be394f44a7b8d719ca7237015f32d7c766311db772528031e0ce2,True,,,,,1e-06,False,tracker.state;tracker.frame_id;tracker.template_list;tracker.cache;tracker.spike_rate_dict_temp;tracker.last_template_refresh_frame;tracker.window_penalty;tracker.stage4a flags/records;network.current_image_idx;network.spike_rate_dict;encoder._stage4a flags/forward_id/current+completed records;MRM retriever capture flags/buffers;template_encoder.current_image_idx+spike_rate_dict_temp;Python+NumPy+Torch CPU+all CUDA RNG,PASS
R3-D01,control,David3,195,233,mode,late,194,d0564da1823524445e5730334a1c920bd0e5d9d182ba7ecd48bd270138e06069,d0564da1823524445e5730334a1c920bd0e5d9d182ba7ecd48bd270138e06069,True,1a1cf746e71be394f44a7b8d719ca7237015f32d7c766311db772528031e0ce2,1a1cf746e71be394f44a7b8d719ca7237015f32d7c766311db772528031e0ce2,True,,,,,1e-06,False,tracker.state;tracker.frame_id;tracker.template_list;tracker.cache;tracker.spike_rate_dict_temp;tracker.last_template_refresh_frame;tracker.window_penalty;tracker.stage4a flags/records;network.current_image_idx;network.spike_rate_dict;encoder._stage4a flags/forward_id/current+completed records;MRM retriever capture flags/buffers;template_encoder.current_image_idx+spike_rate_dict_temp;Python+NumPy+Torch CPU+all CUDA RNG,PASS
