pair_id,side,sequence,condition,repetition,execution_order,interval_end_to_end_ms,tracked_frames,start_snapshot_sha256
R3-D01,primary,Basketball,whole_mrm1_physical_skip,1,1,20472.38120000111,39,bd2171a1cb7405fc220e794f64e62ba74f8e962ad7842530b2591e4e3ca4981d
R3-D01,primary,Basketball,baseline,1,2,24612.804700002016,39,bd2171a1cb7405fc220e794f64e62ba74f8e962ad7842530b2591e4e3ca4981d
R3-D01,primary,Basketball,baseline,2,3,22107.80320000049,39,bd2171a1cb7405fc220e794f64e62ba74f8e962ad7842530b2591e4e3ca4981d
R3-D01,primary,Basketball,whole_mrm1_physical_skip,2,4,22174.975300004007,39,bd2171a1cb7405fc220e794f64e62ba74f8e962ad7842530b2591e4e3ca4981d
R3-D01,primary,Basketball,whole_mrm1_physical_skip,3,5,18204.233799995563,39,bd2171a1cb7405fc220e794f64e62ba74f8e962ad7842530b2591e4e3ca4981d
R3-D01,primary,Basketball,baseline,3,6,15286.111400004302,39,bd2171a1cb7405fc220e794f64e62ba74f8e962ad7842530b2591e4e3ca4981d
R3-D02,primary,Bolt,whole_mrm1_physical_skip,1,7,7139.0188000004855,19,77fc4e110d86ed59b5a5c5448cc24003d031a1281850d8038a2c30b1a3834ccf
R3-D02,primary,Bolt,baseline,1,8,6498.928299995896,19,77fc4e110d86ed59b5a5c5448cc24003d031a1281850d8038a2c30b1a3834ccf
R3-D02,primary,Bolt,baseline,2,9,6032.321700004104,19,77fc4e110d86ed59b5a5c5448cc24003d031a1281850d8038a2c30b1a3834ccf
R3-D02,primary,Bolt,whole_mrm1_physical_skip,2,10,5838.010200001008,19,77fc4e110d86ed59b5a5c5448cc24003d031a1281850d8038a2c30b1a3834ccf
R3-D02,primary,Bolt,whole_mrm1_physical_skip,3,11,5667.292500002077,19,77fc4e110d86ed59b5a5c5448cc24003d031a1281850d8038a2c30b1a3834ccf
R3-D02,primary,Bolt,baseline,3,12,6119.858900005056,19,77fc4e110d86ed59b5a5c5448cc24003d031a1281850d8038a2c30b1a3834ccf
R3-D05,primary,Car4,whole_mrm1_physical_skip,1,13,8751.474099997722,25,1f0ec2848fe16df87c3d5b2fc1a99e2946c5c58ccaf64c46b79e2a445974a4ef
R3-D05,primary,Car4,baseline,1,14,10296.027800002776,25,1f0ec2848fe16df87c3d5b2fc1a99e2946c5c58ccaf64c46b79e2a445974a4ef
R3-D05,primary,Car4,baseline,2,15,10304.788900000858,25,1f0ec2848fe16df87c3d5b2fc1a99e2946c5c58ccaf64c46b79e2a445974a4ef
R3-D05,primary,Car4,whole_mrm1_physical_skip,2,16,7890.091599998414,25,1f0ec2848fe16df87c3d5b2fc1a99e2946c5c58ccaf64c46b79e2a445974a4ef
R3-D05,primary,Car4,whole_mrm1_physical_skip,3,17,7317.491299996618,25,1f0ec2848fe16df87c3d5b2fc1a99e2946c5c58ccaf64c46b79e2a445974a4ef
R3-D05,primary,Car4,baseline,3,18,7739.2114999966,25,1f0ec2848fe16df87c3d5b2fc1a99e2946c5c58ccaf64c46b79e2a445974a4ef
R3-D05,control,Car4,whole_mrm1_physical_skip,1,19,8273.004700000456,25,86a25cb9972e1426cfde9188af76e7d0f598f53e5b95cbecc0885b13a558870a
R3-D05,control,Car4,baseline,1,20,7373.594799995772,25,86a25cb9972e1426cfde9188af76e7d0f598f53e5b95cbecc0885b13a558870a
R3-D05,control,Car4,baseline,2,21,11236.273800001072,25,86a25cb9972e1426cfde9188af76e7d0f598f53e5b95cbecc0885b13a558870a
R3-D05,control,Car4,whole_mrm1_physical_skip,2,22,11534.503499999119,25,86a25cb9972e1426cfde9188af76e7d0f598f53e5b95cbecc0885b13a558870a
R3-D05,control,Car4,whole_mrm1_physical_skip,3,23,7611.925000004703,25,86a25cb9972e1426cfde9188af76e7d0f598f53e5b95cbecc0885b13a558870a
R3-D05,control,Car4,baseline,3,24,5671.82490000414,25,86a25cb9972e1426cfde9188af76e7d0f598f53e5b95cbecc0885b13a558870a
R3-D08,primary,CarDark,whole_mrm1_physical_skip,1,25,5362.664000000223,25,82e3fadadbb5668ab48652710b588e6315efd1759bef5a6bef3d57e2d8a3140b
R3-D08,primary,CarDark,baseline,1,26,7620.9688000017195,25,82e3fadadbb5668ab48652710b588e6315efd1759bef5a6bef3d57e2d8a3140b
R3-D08,primary,CarDark,baseline,2,27,10259.085999998206,25,82e3fadadbb5668ab48652710b588e6315efd1759bef5a6bef3d57e2d8a3140b
R3-D08,primary,CarDark,whole_mrm1_physical_skip,2,28,6486.393799998041,25,82e3fadadbb5668ab48652710b588e6315efd1759bef5a6bef3d57e2d8a3140b
R3-D08,primary,CarDark,whole_mrm1_physical_skip,3,29,6246.826200003852,25,82e3fadadbb5668ab48652710b588e6315efd1759bef5a6bef3d57e2d8a3140b
R3-D08,primary,CarDark,baseline,3,30,6002.402400001301,25,82e3fadadbb5668ab48652710b588e6315efd1759bef5a6bef3d57e2d8a3140b
R3-D08,control,CarScale,baseline,1,31,8519.001599997864,25,88585e705faccd268bf03be718fa40a7b59612a58a2eb88d7090ca633430a172
R3-D08,control,CarScale,whole_mrm1_physical_skip,1,32,7615.999099994951,25,88585e705faccd268bf03be718fa40a7b59612a58a2eb88d7090ca633430a172
R3-D08,control,CarScale,whole_mrm1_physical_skip,2,33,8857.231100002537,25,88585e705faccd268bf03be718fa40a7b59612a58a2eb88d7090ca633430a172
R3-D08,control,CarScale,baseline,2,34,18841.816000000108,25,88585e705faccd268bf03be718fa40a7b59612a58a2eb88d7090ca633430a172
R3-D08,control,CarScale,baseline,3,35,11760.065899994515,25,88585e705faccd268bf03be718fa40a7b59612a58a2eb88d7090ca633430a172
R3-D08,control,CarScale,whole_mrm1_physical_skip,3,36,7755.247100001725,25,88585e705faccd268bf03be718fa40a7b59612a58a2eb88d7090ca633430a172
R3-D12,control,Dancer,baseline,1,37,8155.000400001882,25,1de807ec9735ee5e7515fc0c6f8ca130b924637dbbbe2947682afe79771f5f91
R3-D12,control,Dancer,whole_mrm1_physical_skip,1,38,8711.70169999823,25,1de807ec9735ee5e7515fc0c6f8ca130b924637dbbbe2947682afe79771f5f91
R3-D12,control,Dancer,whole_mrm1_physical_skip,2,39,8678.641299993615,25,1de807ec9735ee5e7515fc0c6f8ca130b924637dbbbe2947682afe79771f5f91
