pair_id,side,sequence,frame_index,condition,physical_skip,mrm1_forward,mrm2_forward,mrm3_forward,mrm4_forward,mrm5_forward,mrm6_forward,mrm1_retriever_forward,mrm1_mlp_forward,mrm1_internal_operator_count,encoder_forward_id,physical_mode,record_call_counts
R3-D01,primary,Basketball,397,baseline,False,1,1,1,1,1,1,1,1,2,855,none,True
R3-D01,primary,Basketball,398,baseline,False,1,1,1,1,1,1,1,1,2,856,none,True
R3-D01,primary,Basketball,399,baseline,False,1,1,1,1,1,1,1,1,2,857,none,True
R3-D01,primary,Basketball,400,baseline,False,1,1,1,1,1,1,1,1,2,858,none,True
R3-D01,primary,Basketball,401,baseline,False,1,1,1,1,1,1,1,1,2,859,none,True
R3-D01,primary,Basketball,402,baseline,False,1,1,1,1,1,1,1,1,2,860,none,True
R3-D01,primary,Basketball,403,baseline,False,1,1,1,1,1,1,1,1,2,861,none,True
R3-D01,primary,Basketball,404,baseline,False,1,1,1,1,1,1,1,1,2,862,none,True
R3-D01,primary,Basketball,405,baseline,False,1,1,1,1,1,1,1,1,2,863,none,True
R3-D01,primary,Basketball,406,baseline,False,1,1,1,1,1,1,1,1,2,864,none,True
R3-D01,primary,Basketball,407,baseline,False,1,1,1,1,1,1,1,1,2,865,none,True
R3-D01,primary,Basketball,408,baseline,False,1,1,1,1,1,1,1,1,2,866,none,True
R3-D01,primary,Basketball,409,baseline,False,1,1,1,1,1,1,1,1,2,867,none,True
R3-D01,primary,Basketball,410,baseline,False,1,1,1,1,1,1,1,1,2,868,none,True
R3-D01,primary,Basketball,411,baseline,False,1,1,1,1,1,1,1,1,2,869,none,True
R3-D01,primary,Basketball,412,baseline,False,1,1,1,1,1,1,1,1,2,870,none,True
R3-D01,primary,Basketball,413,baseline,False,1,1,1,1,1,1,1,1,2,871,none,True
R3-D01,primary,Basketball,414,baseline,False,1,1,1,1,1,1,1,1,2,872,none,True
R3-D01,primary,Basketball,415,baseline,False,1,1,1,1,1,1,1,1,2,873,none,True
