pair_id,side,sequence,frame_index,condition,repetition,iou,iou_float,physical_skip,pred_x_float,pred_y_float,pred_w_float,pred_h_float,pred_x_int,pred_y_int,pred_w_int,pred_h_int,gt_x,gt_y,gt_w,gt_h,initialization_frame,branch_frame_executed
R3-D01,primary,Basketball,397,whole_mrm1_physical_skip,1,0.3608490566037736,0.35758830891154647,True,143.7389030456543,213.31537628173828,53.374046325683594,144.29473876953125,143,213,53,144,154.0,237.0,34.0,81.0,False,True
R3-D01,primary,Basketball,398,whole_mrm1_physical_skip,1,0.30303697183098594,0.3004378576834533,True,138.47420501708984,213.08556365966797,64.40936279296875,142.31814575195312,138,213,64,142,153.0,237.0,34.0,81.0,False,True
R3-D01,primary,Basketball,399,whole_mrm1_physical_skip,1,0.3695652173913043,0.3670543771580388,True,145.9023265838623,219.32430267333984,54.12117385864258,138.63290405273438,145,219,54,138,153.0,240.0,34.0,81.0,False,True
R3-D01,primary,Basketball,400,whole_mrm1_physical_skip,1,0.3197120965869515,0.3168087694741079,True,142.1965274810791,215.57147216796875,59.37411117553711,146.4096221923828,142,215,59,146,149.0,238.0,34.0,81.0,False,True
R3-D01,primary,Basketball,401,whole_mrm1_physical_skip,1,0.3860386879730866,0.3827840031904652,True,143.79902458190918,216.8984832763672,58.04744338989258,123.94444274902344,143,216,58,123,150.0,239.0,34.0,81.0,False,True
R3-D01,primary,Basketball,402,whole_mrm1_physical_skip,1,0.3893129770992366,0.3833114981483485,True,142.45873260498047,215.75857543945312,54.50067138671875,131.8287811279297,142,215,54,131,152.0,238.0,34.0,81.0,False,True
R3-D01,primary,Basketball,403,whole_mrm1_physical_skip,1,0.3394551953654628,0.33667158637741945,True,136.72663116455078,215.87284088134766,61.223388671875,133.6103515625,136,215,61,133,152.0,236.0,34.0,81.0,False,True
R3-D01,primary,Basketball,404,whole_mrm1_physical_skip,1,0.311820652173913,0.30686213135785645,True,134.63376998901367,213.6319122314453,64.9779281616211,138.1194305419922,134,213,64,138,155.0,236.0,34.0,81.0,False,True
R3-D01,primary,Basketball,405,whole_mrm1_physical_skip,1,0.3896434634974533,0.3836443556417596,True,140.68725776672363,220.31278610229492,57.7752799987793,124.2490463256836,140,220,57,124,155.0,234.0,34.0,81.0,False,True
R3-D01,primary,Basketball,406,whole_mrm1_physical_skip,1,0.4015748031496063,0.3985186874073425,True,141.88622856140137,221.5278434753418,54.1636848449707,127.5871810913086,141,221,54,127,155.0,233.0,34.0,81.0,False,True
