pair_id,side,sequence,frame_index,condition,repetition,execution_order,model_forward_ms,peak_allocated_bytes,peak_reserved_bytes,batch_size,dtype,diagnostic_logging,record_call_counts,physical_skip
R3-D01,primary,Basketball,397,whole_mrm1_physical_skip,1,1,520.6038999967859,139509248,163577856,1,torch.float32,False,False,True
R3-D01,primary,Basketball,398,whole_mrm1_physical_skip,1,1,564.1471999988426,139509248,163577856,1,torch.float32,False,False,True
R3-D01,primary,Basketball,399,whole_mrm1_physical_skip,1,1,537.4769999980344,139509248,163577856,1,torch.float32,False,False,True
R3-D01,primary,Basketball,400,whole_mrm1_physical_skip,1,1,476.0353000019677,139509248,163577856,1,torch.float32,False,False,True
R3-D01,primary,Basketball,401,whole_mrm1_physical_skip,1,1,492.70719999913126,139509248,163577856,1,torch.float32,False,False,True
R3-D01,primary,Basketball,402,whole_mrm1_physical_skip,1,1,620.2865000013844,139509248,163577856,1,torch.float32,False,False,True
R3-D01,primary,Basketball,403,whole_mrm1_physical_skip,1,1,588.6332000009133,139509248,163577856,1,torch.float32,False,False,True
R3-D01,primary,Basketball,404,whole_mrm1_physical_skip,1,1,446.0502000001725,139509248,163577856,1,torch.float32,False,False,True
R3-D01,primary,Basketball,405,whole_mrm1_physical_skip,1,1,421.2039000049117,139509248,163577856,1,torch.float32,False,False,True
R3-D01,primary,Basketball,406,whole_mrm1_physical_skip,1,1,450.5048999999417,139509248,163577856,1,torch.float32,False,False,True
R3-D01,primary,Basketball,407,whole_mrm1_physical_skip,1,1,461.7839999991702,139509248,163577856,1,torch.float32,False,False,True
R3-D01,primary,Basketball,408,whole_mrm1_physical_skip,1,1,451.3431000013952,139509248,163577856,1,torch.float32,False,False,True
R3-D01,primary,Basketball,409,whole_mrm1_physical_skip,1,1,366.5596999999252,139509248,163577856,1,torch.float32,False,False,True
R3-D01,primary,Basketball,410,whole_mrm1_physical_skip,1,1,557.843700000376,139509248,163577856,1,torch.float32,False,False,True
R3-D01,primary,Basketball,411,whole_mrm1_physical_skip,1,1,565.4180000055931,139509248,163577856,1,torch.float32,False,False,True
R3-D01,primary,Basketball,412,whole_mrm1_physical_skip,1,1,549.3014000021503,139509248,163577856,1,torch.float32,False,False,True
R3-D01,primary,Basketball,413,whole_mrm1_physical_skip,1,1,451.50119999743765,139509248,163577856,1,torch.float32,False,False,True
R3-D01,primary,Basketball,414,whole_mrm1_physical_skip,1,1,477.34449999552453,139509248,163577856,1,torch.float32,False,False,True
R3-D01,primary,Basketball,415,whole_mrm1_physical_skip,1,1,380.2508999942802,139509248,163577856,1,torch.float32,False,False,True
R3-D01,primary,Basketball,416,whole_mrm1_physical_skip,1,1,507.012100002612,139509248,163577856,1,torch.float32,False,False,True
R3-D01,primary,Basketball,417,whole_mrm1_physical_skip,1,1,531.9854999979725,139509248,163577856,1,torch.float32,False,False,True
R3-D01,primary,Basketball,418,whole_mrm1_physical_skip,1,1,765.1616000002832,139509248,163577856,1,torch.float32,False,False,True
R3-D01,primary,Basketball,419,whole_mrm1_physical_skip,1,1,711.1504999993485,139509248,163577856,1,torch.float32,False,False,True
R3-D01,primary,Basketball,420,whole_mrm1_physical_skip,1,1,612.5382000027457,139509248,163577856,1,torch.float32,False,False,True
R3-D01,primary,Basketball,421,whole_mrm1_physical_skip,1,1,478.65160000219475,139509248,163577856,1,torch.float32,False,False,True
R3-D01,primary,Basketball,422,whole_mrm1_physical_skip,1,1,492.4523000008776,139509248,163577856,1,torch.float32,False,False,True
R3-D01,primary,Basketball,423,whole_mrm1_physical_skip,1,1,466.4228000037838,139509248,163577856,1,torch.float32,False,False,True
R3-D01,primary,Basketball,424,whole_mrm1_physical_skip,1,1,521.4275999969686,139509248,163577856,1,torch.float32,False,False,True
R3-D01,primary,Basketball,425,whole_mrm1_physical_skip,1,1,679.9396999995224,139509248,163577856,1,torch.float32,False,False,True
R3-D01,primary,Basketball,426,whole_mrm1_physical_skip,1,1,545.674399996642,139509248,163577856,1,torch.float32,False,False,True
R3-D01,primary,Basketball,427,whole_mrm1_physical_skip,1,1,457.4642000006861,139509248,163577856,1,torch.float32,False,False,True
R3-D01,primary,Basketball,428,whole_mrm1_physical_skip,1,1,426.41050000383984,139509248,163577856,1,torch.float32,False,False,True
R3-D01,primary,Basketball,429,whole_mrm1_physical_skip,1,1,368.3941999988747,139509248,163577856,1,torch.float32,False,False,True
R3-D01,primary,Basketball,430,whole_mrm1_physical_skip,1,1,379.07000000268454,139509248,163577856,1,torch.float32,False,False,True
R3-D01,primary,Basketball,431,whole_mrm1_physical_skip,1,1,482.54679999809014,139509248,163577856,1,torch.float32,False,False,True
R3-D01,primary,Basketball,432,whole_mrm1_physical_skip,1,1,498.1733000022359,139509248,163577856,1,torch.float32,False,False,True
