pair_id,split,primary_sequence,primary_start,primary_end,primary_event_id,control_id,control_sequence,control_start,control_end,broad_superclass,object_class,final_evidence_tier,final_ambiguity_level,search_context_status,sensitivity_stratum,r3_pair_sheet_path,source_commit,manager_status
R3-D01,DISCOVERY,Basketball,397,435,BASK-E01,R3-CD01,David3,195,233,PERSON,person,TIER_A,2,INSIDE_NOMINAL_SEARCH,CROSS_SCENE_ACTIVITY,screening/codex/artifacts/stage4A_S1_R3/pair_sheets/R3_PAIR_D01.jpg,b747065de2f2c39db5aafb37231bef53d9568cac,FROZEN
R3-D02,DISCOVERY,Bolt,31,49,BOLT-E01,R3-CD02,Human8,108,126,PERSON,person,TIER_B,1,INSIDE_NOMINAL_SEARCH,CROSS_SCENE_ACTIVITY,screening/codex/artifacts/stage4A_S1_R3/pair_sheets/R3_PAIR_D02.jpg,b747065de2f2c39db5aafb37231bef53d9568cac,FROZEN
R3-D03,DISCOVERY,Liquor,565,589,LIQ-E01,R3-CD03,Liquor,20,44,OBJECT_OTHER,other,TIER_A,2,INSIDE_NOMINAL_SEARCH,STRONG_SAME_SEQUENCE,screening/codex/artifacts/stage4A_S1_R3/pair_sheets/R3_PAIR_D03.jpg,b747065de2f2c39db5aafb37231bef53d9568cac,FROZEN
R3-D04,DISCOVERY,Liquor,106,130,LIQ-E02,R3-CD04,Liquor,60,84,OBJECT_OTHER,other,TIER_A,2,INSIDE_NOMINAL_SEARCH,STRONG_SAME_SEQUENCE,screening/codex/artifacts/stage4A_S1_R3/pair_sheets/R3_PAIR_D04.jpg,b747065de2f2c39db5aafb37231bef53d9568cac,FROZEN
R3-D05,DISCOVERY,Car4,113,137,CAR4-E01,R3-CD05,Car4,221,245,VEHICLE,car,TIER_B,1,INSIDE_OR_NEAR_NOMINAL_SEARCH,COLOR_DIFFERENCE,screening/codex/artifacts/stage4A_S1_R3/pair_sheets/R3_PAIR_D05.jpg,b747065de2f2c39db5aafb37231bef53d9568cac,FROZEN
R3-D06,DISCOVERY,Jogging_1,150,174,JOG-E01,R3-CD06,Human8,1,25,PERSON,person,TIER_A,2,INSIDE_NOMINAL_SEARCH,CROSS_SCENE_ACTIVITY,screening/codex/artifacts/stage4A_S1_R3/pair_sheets/R3_PAIR_D06.jpg,b747065de2f2c39db5aafb37231bef53d9568cac,FROZEN
R3-D07,DISCOVERY,Shaking,1,25,SHAK-E01,R3-CD07,David2,36,60,FACE_HEAD,face,TIER_B,1,INSIDE_NOMINAL_SEARCH,APPEARANCE_DIFFERENCE,screening/codex/artifacts/stage4A_S1_R3/pair_sheets/R3_PAIR_D07.jpg,b747065de2f2c39db5aafb37231bef53d9568cac,FROZEN
R3-D08,DISCOVERY,CarDark,121,145,CARD-E01,R3-CD08,CarScale,81,105,VEHICLE,car,TIER_B,1,INSIDE_OR_NEAR_NOMINAL_SEARCH,LOW_LIGHT_MULTI_TRAFFIC,screening/codex/artifacts/stage4A_S1_R3/pair_sheets/R3_PAIR_D08.jpg,b747065de2f2c39db5aafb37231bef53d9568cac,FROZEN
R3-D09,DISCOVERY,Skating1,113,137,SKAT-E01,R3-CD09,Human7,13,37,PERSON,person,TIER_B,1,INSIDE_NOMINAL_SEARCH,CROSS_SCENE_ACTIVITY,screening/codex/artifacts/stage4A_S1_R3/pair_sheets/R3_PAIR_D09.jpg,b747065de2f2c39db5aafb37231bef53d9568cac,FROZEN
R3-D10,DISCOVERY,Subway,31,45,SUB-E01,R3-CD10,Woman,193,207,PERSON,person,TIER_B,1,INSIDE_OR_NEAR_NOMINAL_SEARCH,CONTROL_PARTIAL_OCCLUSION,screening/codex/artifacts/stage4A_S1_R3/pair_sheets/R3_PAIR_D10.jpg,b747065de2f2c39db5aafb37231bef53d9568cac,FROZEN
